http://movie.douban.com/subject/2300194/	甜蜜蜜
(5星)	 实在是好看。妈妈说要找就找邓超这样的相貌喜庆，陈小春那样的就别再想了没戏。            
(3星)	 有点罗嗦。结局太惨了            
(NA)	 孫麗鄧超!!!            
(NA)	 爱情~            
(4星)	 无意在大巴上看到的~回来就追了~我想说~爱就爱~不要gin~~            
(NA)	 补遗             
(NA)	 。。。            
(NA)	 天生一对!            
(4星)	 感觉还是《幸福像花儿一样》好些。            
(4星)	 邓超演得很饱满            
(NA)	 一点也不甜蜜。            
(4星)	 “我就不想好好活着！”“你是我什么人？凭什么来管我？凭什么！可不可笑？！”            
(4星)	 他们俩真配            
(4星)	 雷雷……            
(4星)	 主演都是我喜欢的，但是受不了那种爱情在时间里煎熬的感觉！所以每次看的时候都是断断续续。            
(NA)	 真实            
(NA)	 喜欢 真的很喜欢            
(4星)	 喜欢            
(3星)	 孙俪的唇齿。            
(4星)	 邓超通过这部戏一定就和孙俪一样红了            
(4星)	 挺好的            
(1星)	 太面了，太恶了，太不要脸了，怎么有那么忘恩负义的狗男女，我算见识了……            
(NA)	 这种爱情，痛苦并甜蜜着，真希望雷雷能醒来            
(5星)	 仍觉得爱本来应该是这样子的。            
(5星)	 孙俪演得很好，只是情节有点不连贯             
(4星)	 &#34;你好虚伪&#34;            
(4星)	 我超超超喜欢那个胖子哥们儿            
(5星)	 欲罢不能 我很爱雷雷~            
(3星)	 一直悲到尾            
(4星)	 现实死了 什么编剧嘛 最后的结局我不接受不接受！&gt;&lt;那两人还是满配的说~            
(4星)	 其实我们羡慕的，不是一见钟情，而是两个人深爱的勇气，是即使分开多年之后依然不能释怀的想念。            
(3星)	 开头挺好 越编越费劲            
(1星)	 “我才貌双全，德才兼备，贤妻良母，我嫁给谁，谁都是上辈子修来的福气”            
(4星)	 看过一点、很喜欢邓超的说            
(NA)	 可能是我最爱的情侣档．            
(4星)	 与事实相差太远，不是一个年代的            
(5星)	 演员选好了，就什么都好了~            
(5星)	 看在眼里拔不出来^_______^            
(NA)	 孙俪和邓超也就这部还不错。            
(5星)	 我怎么这么爱邓超啊，我看着雷雷就忍不住往某人身上联想。跟孙俪演对手戏的男人怎么都这么让我着迷，孙俪怎么每回都是演的这种不敢爱不敢恨的角色。再一次验证勒那句话，男人比女人痴情，女人比男人冷漠。            
(4星)	 好看好看。。。超喜欢雷雷这样的男的。。。敢爱敢恨跳着看完。。。果然电视连续剧不适合我这种没耐心的人            
(3星)	 结局很瓜。。。            
(4星)	 很好看啊~邓超真的很爷们儿            
(4星)	 不错的爱情剧            
(3星)	 演技还行，但制作有些粗，那年月雷雷一身J&amp;J满大街跑……            
(NA)	 &#34;再有人敢欺负你,你就告诉我!&#34;怎么能不依赖这个人呢            
(3星)	 邓超 好可爱啊~~            
(3星)	 = =            
(3星)	 呃……好像也看过……没看完…            
(4星)	 挺喜欢的。看完以后听了很长一段时间的甜蜜蜜。            
(4星)	 这对我很喜欢。            
(4星)	 甜蜜蜜。            
(3星)	 该是如何认定相爱一辈子，甜蜜永远只是一时            
(4星)	 有感觉。            
(4星)	 最后一集看的我眼泪水汤汤滴啊 雷雷最后醒了没啊!!!! 看着青儿眼泪水汤汤滴 我就忍不住了 为什么经历这么多 最后还是一个苦笑 一句女主角不可能丢下昏迷不醒的你  收尾呢            
(4星)	 虐死人不偿命            
(1星)	 一个傻逼女被成功骗得下嫁的故事            
(NA)	 和妈妈一起看的            
(NA)	 苦死了            
(NA)	 断断续续跟老妈一起看的            
(3星)	 太惨了            
(5星)	 经典啊。。。奸情的开始·～            
(1星)	 超烂的一部电视剧，从编剧到拍摄再到搭景和人物塑造整个就是糊弄人            
(4星)	 前几集那么欢乐那么鸡飞狗跳的，后面咋那惨的…两位主演果然是情侣，那默契啊~邓超很灵~            
(NA)	 又这一对..            
(5星)	 只为那动人的相思。            
(NA)	 夫妻档，但是他俩的剧怎么老是结局不好？            
(5星)	 可惜生活不是电视剧            
(4星)	 一点儿也不甜蜜蜜，应该叫苦涩涩            
(3星)	 印象真的不深- -            
(4星)	 雷雷很折腾，但是他和叶青的感情真是轰轰烈烈。            
(3星)	 扯            
(2星)	 明明就是不配            
(NA)	 喜欢孙俪和邓超            
(4星)	 为嘛是甜蜜蜜呢？他们的爱情挺波折的            
(3星)	 其实我没看完            
(NA)	 我喜欢雷雷那样的男人            
(5星)	 唉            
(3星)	 断断续续搭了几眼，也算看过吧，我总觉得糟蹋了甜蜜蜜这个歌。不明白的是为什么总是鼓励这种纠结的爱情存在呢，平淡生活中的故事还是太少？            
(4星)	 哎，结局让人没感觉。。            
(5星)	 只想要雷雷对叶青的那种感情。            
(5星)	 喜欢            
(4星)	 挺喜欢这一对儿的~~            
(3星)	 受不了孙俪的演技了已经            
(4星)	 祝你们幸福~            
(4星)	 goodbye my love 我的爱人再见            
(3星)	 我喜欢头圆圆的男孩子，再有就是编剧有病，见不得人好~！而且邓超夏雨就只适合演下乡的小男孩~回城了就太怪.            
(5星)	 爱一个人，其实很难！            
(4星)	 爱情有甜就会有伤..爱到深处 怎么可能轻易放手            
(NA)	 很好啊～不过两个人的剧情而已            
(4星)	 我为什么不能给它五颗呢?!!            
(4星)	 一对痴男怨女。一段轰轰烈烈的爱情。一个貌似圆满的结局。            
(4星)	 还是被这俗气的东西感动了            
(4星)	 我就喜欢他们俩!            
(NA)	 甜蜜蜜，爱得甜蜜蜜，个中的心酸只有自己知道。            
(4星)	 坎坷纠结，不甜            
(3星)	 结局有点不好，孙俪显得有点作。。            
(5星)	 真羡慕他们戏里戏外的甜蜜啊．．            
(4星)	 倒着看还不错            
(4星)	 挺美的            
(3星)	 剧情很傻，看的累死啦            
(3星)	 丫的这哪是甜蜜蜜啊，整一惨兮兮……惨不忍睹了都已经！            
(2星)	 不喜欢这片子            
(5星)	 国内最喜欢邓超孙俪这对了~            
(4星)	 冲着雷雷去的            
(NA)	 我喜欢的一对恋人演绎经典，蛮不错的。            
(4星)	 跟我名字一样的电视怎麽能不看呢            
(3星)	 最害怕是陌生。            
(4星)	 邓超孙俪  甜甜蜜蜜             
(4星)	 8.3-8.16 就是想看看年轻的小两口一起演戏~            
(2星)	 久远的年代居然看到了联排的分体式空调            
(NA)	 触动我神经从头哭到尾的电视剧            
(3星)	 一个大结局就那么拖，至于么            
(4星)	 有意思            
(3星)	 之前不想去看是因为知道结局不好。后来还是迷上，是因为那些感觉，我太能体会。认定是800年的缘分，认定对方离不开自己。认定无论跟谁在一起，彼此仍然是唯一的归属。            
(3星)	 刚开始还挺好，后面太纠结了，结局更是纠结。            
(NA)	 我喜欢孙俪邓超。喜欢雷雷！！            
(NA)	 编剧是傻逼，看到中间的时候特别想抽他。            
(NA)	 这样的甜蜜太来之不易了,看的辛酸...曾几何时...自己也曾是那个被宠着的女孩?            
(4星)	 孙俪而已。            
(4星)	 痛彻心扉的爱情            
(5星)	 呵呵，其实电视剧从头看到尾都会喜欢，虽然里面有很多穿帮            
(4星)	 能牵手的时候就别只是肩并肩；能拥抱的时候就别只是手牵手，能在一起时就别轻易分开！            
(4星)	 哎~真累~结局很纠结~残酷外加美好到不行！            
(NA)	 编剧思维很成问题！            
(5星)	 看得我老泪纵横啊。。。为什么两个相爱的人就是不能在一起呢！！            
(3星)	 还真没传说中的那么好            
(4星)	 父母的爱，有时是爱情的毒药            
(NA)	 邓超表现的更好            
(NA)	 一同回忆曾经拥有的美好            
(5星)	 感动            
(NA)	 --            
(NA)	 因为这部剧我彻底沦为邓超的粉。            
(NA)	 天仙配嘛            
(4星)	 甜蜜蜜            
(NA)	 邓超。孙俪            
(5星)	 天长地久，我爱邓超演的角色。。。是我最爱的角色            
(NA)	 以为邓超能让我感动到哭。可我看着看着就看不下去了。还是心酸。            
(5星)	 不好意思，最近又开始迷电视了……老是看的稀里哗啦的，从头到尾也不给人确切的希望，不过，只有这种bitter sweet才最sweet吧。            
(NA)	 喜欢这对情侣搭档。。。            
(4星)	 如果你相信单纯而执着的爱情。            
(4星)	 雷雷这样子的男孩太容易受伤！            
(4星)	 邓超和孙俪天造地设的一对            
(5星)	 结局怎么一点不甜一点不蜜啊.            
(3星)	 冲着孙俪看的，想看看她和邓超是怎么好上的。不过片子里除了他俩对手戏时有星星点点的火花以外，其它只能说像垃圾。按我一贯的风格，还是坚持看完吧            
(NA)	 原来爱情这么伤~~~            
(5星)	 甜蜜蜜~            
(NA)	 喜欢~~~            
(5星)	 超好            
(NA)	 爱的执着            
(NA)	 喜欢这感觉。            
(5星)	 我恨这个结局            
(5星)	 看到了一些人 跟一些人的影子。            
(NA)	 只有那个笑容是甜蜜的            
(1星)	 太操蛋了，您别侮辱甜蜜蜜！！            
(4星)	 真喜欢雷雷            
(3星)	 很喜欢这一对的。龙哥说孙俪么，邻居呀，小时候看她长大的~又八卦，某次去北虹采访，校长穷讲，孙俪呀，我们学校出去哒~说回来，最后两个人吵架又合好那段，哭得我来~那段词儿特好特诚恳，嚯嚯。            
(4星)	 看情侣，顺带，豆瓣又改了，有点不习惯呢还。            
(5星)	 真情的流露，甜蜜的两人~            
(NA)	 398农场开始.....            
(5星)	 糾結。快樂。然後。思考。            
(NA)	 真的很好。。。            
(4星)	 雷雷和叶青，在我高三的时候深深地虐过我            
(4星)	 我特喜欢的一电视剧            
(3星)	 高希希对这一对儿可真是偏爱啊~~            
(4星)	 那时候我还挺喜欢他俩的            
(3星)	 喔唷！孙俪 邓超呀 你们就是这部以后走到一起的么？            
(4星)	 结局。。。。。。。。。很无语。。。。。。。。。            
(4星)	 很好很好            
(NA)	 祝新婚愉快，幸福像花兒一樣            
(3星)	 被需要 是件振奋人心的事            
(3星)	 没见过这么贱的妈            
(4星)	 剧情硬伤多，被这俩人气场撑起。            
(3星)	 狗血结局            
(4星)	None
(4星)	 邓超的雷雷说，跟癞蛤蟆讲道理，你懂蛙语啊？            
(3星)	 最烦邓超            
(4星)	 幸福是否只是一种幻想？剧名~~就是对幸福的一种反讽~~            
(3星)	 邓超继续流氓。            
(5星)	 总体感觉还成            
(5星)	 叶青她妈真是个极品。            
(5星)	 真喜欢邓超啊            
(4星)	 跟妈一起看            
(3星)	 情侣档            
(3星)	 官宦小流氓征服了腹黑小女人。            
(NA)	 落后分子对落后分子！            
(4星)	 还蛮好看的            
(3星)	 这是苦涩涩，不是甜蜜蜜...国产剧的最大毛病：太拖太慢。这剧哭的我眼睛痛。            
(3星)	 俺当初是为了神马看的这部电视剧？！囧 就因为一首《甜蜜蜜》，俺和俺妈每天都追此剧 ORZORZ 唉……偏偏结局又这么纠结，早知如此就不看了 OTL 沙溢兄演的那个男配很欠K =u=            
(5星)	 70年的爱情，真特么感人。真实，我喜欢雷子那样的男人。            
(NA)	 一句菜青虫，就算有再多误会，再多虚伪，再多假装，都可以全部瓦解。            
(5星)	 雷雷续集醒过来吧！！            
(4星)	 不现实是因为他们的爱情再多内因外因的打压下都没变，感动是因为即使磕磕绊绊也不会割舍....觉得大都挺假的；可就是现实大概也不会强多少吧..嘿，我觉得雷雷这角色有摩羯座的风范，所以，挺好~~~            
(4星)	 干嘛这样啊!!!完全被邓超俘获了啊!!!            
(4星)	 孙俪你怎么那么拽。            
(3星)	 我妈特爱看！尤其是最后一集！她就爱邓超一脸痞子样儿            
(5星)	 很好很有观看价值~~            
(3星)	 俩人从误会到成为朋友，然后谈恋爱，然后被父母反对，然后，俩人爱的轰轰烈烈，然后，结局，还没有在一起，到后来，男的死了，结束片子，看完后一个字：悲！哎！            
(4星)	 般配~            
(5星)	 喜欢邓超            
(5星)	 幸福。终要争取。            
(3星)	 08棄。第3集很好看。            
(3星)	 纨绔的很            
(5星)	 丫的千万别分手，纯情到底！            
(NA)	 不知道为什么一定要看这部            
(4星)	 邓超不进监狱就演不了戏似的。            
(5星)	 都过了好久了 才看  好土哦            
(4星)	 孙俪那么可爱            
(4星)	 从头纠结到尾 真的是从头到尾没让我舒心过            
(5星)	 叶青&amp;雷雷            
(5星)	 这两口子很般配。邓超越来阔以了            
(1星)	 又是，怎么看都看不进去            
(5星)	 想起那阵在学校，专业上的都看疯老。。。去唱歌。居然也嗨唱列首            
(3星)	 真他妈扯蛋  看不下去了  原谅我老了  理解不了这种死磕的爱情  其实应该说是偏执狂            
(3星)	 不如花儿，孙俪的演技太单调            
(4星)	 N久前看的了~谁叫这是孙俪邓超演的呢。。。            
(5星)	 我妈妈很喜欢的 我也喜欢            
(5星)	 他俩是真的挺搭            
(3星)	 太TM纠结了，有意思吗            
(4星)	 。。。            
(3星)	 言情剧啊言情剧，不真实啊不真实……            
(4星)	 赶紧结婚得了            
(5星)	 哭的稀里哗啦……对雷雷这样的真没抵抗力            
(4星)	 夸张的美好。但有理想还是好的            
(4星)	 不一样的年代，一样的浪漫。不完美的人儿，完美的爱情。只可惜结局太苦了...            
(4星)	 在山里看的 特有感觉~~            
(3星)	 第一次见我妈熬通宵看某个电视剧            
(5星)	 爱死这样的男人！            
(4星)	 在那个时候看了甜蜜蜜，那时天天很累很伤心，看了这个更伤心，只是我没想到11月会认识一个也叫“雷雷”的人......人生，就是永不停歇的瞬间的串联。            
(4星)	 踏实的爱情            
(NA)	 歌儿很甜，爱情很苦            
(4星)	 结局，苦涩涩。            
(4星)	 纯纯的爱情啊            
(NA)	 多好的年代，多好的爱情            
(4星)	 为了邓超才看得            
(3星)	 一点点            
(3星)	 穿帮大王            
(4星)	 很好很甜蜜            
(4星)	 是哪个假期 我们都在萌这段故事            
(4星)	 暴力？冒险？爱？勇敢。            
(4星)	 喜欢孙俪。            
(4星)	 我觉得他俩挺配的~            
(3星)	 雷雷和青虫那一波26折的爱情啊，呵呵，没想到这样的电视剧都能整部看下来。虽说整部剧中看出导演高希希时间概念的严重缺失，前10集拖拖踏踏不像回事，可整部看下来，还是小感动的，呵呵            
(5星)	 那个年代的纯真，今天在哪里            
(4星)	 孙俪 孙俪 孙俪             
(5星)	 感动。。。            
(3星)	 26            
(4星)	 、纯真年代的美好爱情            
(4星)	 看完好爱邓超的霸气，仅仅是系里            
(NA)	 突然想起这个电视剧。。小祭一下~            
(1星)	 完美的阐释了什么叫做漏洞百出            
(4星)	 为什么是这样的结局啊            
(3星)	 简直就是苦兮兮！            
(4星)	 还行              
(4星)	 看得心痛            
(5星)	 雷雷。            
(5星)	 爱情··有时候就是那么的让人痛彻心扉            
(4星)	 你笑得甜蜜蜜GOOD BYE MY LOVE            
(4星)	 他们搭档            
(3星)	 现在不迷他俩了   让人很失望的剧            
(4星)	 我竟然当初看完没有添加。。。            
(3星)	 第二次去东莞打发无聊清闲日子的回忆。。。            
(4星)	 只有一点点的甜蜜            
(3星)	 也只能促成内部爱情~~！            
(4星)	 精神可佳，剧情有点牵强            
(4星)	 邓超！            
(5星)	 很好看，好笑的对白            
(2星)	 唉……            
(5星)	 曾经熬夜一直一直看，大半夜的躺被窝里一直一直哭，            
(5星)	 this is true love            
(NA)	 狠狠地哭了。            
(3星)	 没想像的好。也许是港版留给我们的记忆太深刻            
(NA)	 爱情，如此单纯如此轰轰烈烈。            
(3星)	 还可以            
(5星)	 还是那么沉迷孙俪，注定着一生吧，也许一生所喜欢的女演员，只有她一个吧。。。喜欢这个故事，残酷的温柔，我一遍一遍带的看。。一遍遍的感受爱            
(5星)	 “你是我的，我是你的”。这是一首太温柔的歌。            
(4星)	 喜欢邓超！！！喜欢这一对幸福走到终点～～～            
(5星)	 看着你们戏里戏外的幸福爱情            
(5星)	 看一百年不待腻的...            
(3星)	 那个时代的人太可怕了，心灵扭曲            
(5星)	 当发现这个很好看的时候，我只有一个感觉....我老了！！！            
(5星)	 甜蜜蜜~~~            
(4星)	 虽然编剧烂，但是演技还真不错。。。结局太过分了。。。没劲            
(NA)	 拖！            
(5星)	 两个相爱的人 要有多少的煎熬            
(4星)	 连续剧那个才叫绕啊。            
(4星)	 让人唏嘘的死磕爱情，结局太那啥了            
(3星)	 这样相爱..            
(4星)	 说真的。后几集我充分的感动了            
(4星)	 是一个不停折腾的电视剧...            
(4星)	 这结局又让人吐血了。            
(3星)	 赚到眼泪~··            
(5星)	 喜欢他们俩~哈哈            
(3星)	 不喜欢邓超            
(4星)	 现在还有非你不可的爱情麽             
(4星)	 其实也只是看过一点....孙俪和邓超怎么那么配呢....            
(5星)	 五分是给雷子的。            
(4星)	 我是从甜蜜蜜开始喜欢邓超的吧。嗯。            
(4星)	 我就喜欢雷雷这种～            
(5星)	 不用说了，大陆我最喜欢的两个演员。虽然演的东西离我所处的年代还是有点远，但是那些爱情给我的启示和深情是不变的。很赞的片子。            
(5星)	 感动之余。。联想到自己            
(4星)	 揪心啊揪心，青儿真是个磨叽的主儿            
(4星)	 喜欢这两个人 喜欢甜蜜蜜 和爸妈看的            
(NA)	 看时，止不住得哭~~~            
(5星)	 狂爱邓超，或者狂爱雷雷。            
(NA)	 喜欢他们的组合            
(3星)	 貌似我看过得还挺多的            
(4星)	 居然这也看了            
(4星)	 穿帮无处不在...            
(5星)	 太甜罗，不肯释嘴。。。            
(5星)	 去挥霍和珍惜是同一件事情            
(5星)	 两个认定要相爱永远的人，伴着《甜蜜蜜》美妙的歌声，一路坎坷，一路甜蜜            
(5星)	 爱情真的是痛苦的！            
(4星)	 结尾一点都不甜蜜蜜            
(NA)	 因为李米的猜想 我从此刻开始看好这对            
(4星)	 甜蜜蜜            
(4星)	 从此认定邓超和孙俪、            
(5星)	 最后半颗星不给，是因为结局太讨厌，讨厌            
(5星)	 我乖乖的从第一集看到倒数第二集。然后突然起身对h说。我去洗澡了。他说为什么。我说我能够猜到结局。怕痛。            
(4星)	 孙俪米粒，结局总是无法意料的。            
(5星)	 戏里戏外的他们我都喜欢            
(3星)	 那个不存在的人物——雷雷            
(NA)	 原来我更喜欢美好的结局.            
(3星)	 故事编的不太好            
(4星)	 不知道这俩人能甜多久            
(5星)	 纠结啊            
(5星)	 在他身上我看到了你            
(3星)	 真长。。。            
(3星)	 世界上有注定这回事吗？如果那些阻挠的人能放下自己的主观判断，不把自己的意志强加给别人，而是认真去倾听和理解，悲剧就不会发生。            
(4星)	 最后俩人好不容易苦尽甘来，可也太快就结束了吧！唉！快乐是短暂的呀！            
(NA)	 甜蜜蜜的爱情，我向往！            
(4星)	 一场撕心裂肺的爱情！            
(NA)	 很真实，生活中的爱情并不总是甜蜜蜜的。            
(5星)	 雷雷太可爱了            
(3星)	 喜欢            
(4星)	 结局很雷很不甜蜜            
(5星)	 般配..            
(3星)	 比较假            
(5星)	 单纯的爱情            
(NA)	 我们都没错，只是不相互理解！            
(5星)	 冲着两个可爱的人儿看的，好！            
(4星)	 超级喜欢孙俪，爱死邓超了！故事很美，两人爱得太坎坷，让人心痛啊！            
(4星)	 后来背景穿帮的多了点            
(5星)	 喜欢孙的甜美邓的温暖            
(5星)	 虽然有很多穿帮，但就是喜欢，喜欢这个故事            
(1星)	 耐着性子看完，发誓再也不看国产电视剧            
(4星)	 超爱他们俩            
(NA)	 不错            
(NA)	 怎么说呢，邓超也是我喜欢的角色，可是这对糖炒栗子啊……            
(4星)	 表演不是很真挚吗？就是喜欢。            
(NA)	 爱的痛心，却真挚            
(4星)	 陪妈妈看             
(NA)	 喜欢喜欢喜欢……            
(4星)	 没看完~邓超演的不错            
(NA)	  孙俪 顶你            
(3星)	 坏小子邓超真好看。            
(3星)	 又是他俩。。。            
(NA)	 在妈妈的诱导下陪她一起看了《甜蜜蜜》，很好的故事。谁说十七八岁的人就不能看这些俗套爱情呢，我倒看得津津有味的。            
(5星)	 喜欢他们。            
(NA)	 因为爱所以才有伤害            
(4星)	 唔 他们两口子 中意！            
(NA)	 超喜欢~可惜结局··            
(4星)	 太纠结了~~            
(NA)	 哥们懂感情~            
(NA)	 这就是那个真实的时代            
(4星)	 有点扯            
(NA)	 梦想有这样一种轰轰烈烈，但是结局太过凄凉            
(2星)	 陪我写综述            
(5星)	 好喜欢，好喜欢···            
(NA)	 悲...            
(NA)	 超美超感人            
(NA)	 感动于爱情的纯粹 爱一个人一定要告诉他            
(4星)	 雷雷和叶青，那个年代的甜蜜蜜。            
(3星)	 期末考试前 在宿舍 和爷 情节和演员扮相太诡异            
(NA)	 很喜欢的两个人            
(NA)	 雷雷...            
(4星)	 和老婆一起看的傻瓜片，结尾不喜欢            
(5星)	 我爱孙俪和邓超~            
(4星)	 羡慕他们之间的真爱            
(5星)	 喜欢他们，希望他们能幸福            
(4星)	 只看了后面几集，感觉邓超总是出演这样的角色－－当然啦，很不错。            
(NA)	 你笑的甜蜜蜜，好像花儿开在春风里            
(4星)	 还不错的大陆电视剧呢            
(NA)	 电视放什么我就看什么            
(NA)	 开始很排斥 可是无意中看了 就看下去了 就觉得不错了!            
(5星)	 喜欢他们在一起的感觉~~            
(5星)	 爱上雷雷.爱上叶青.爱上他俩的爱情.            
(4星)	 我就是“雷雷”，只是没有他那么专一......            
(NA)	 没看全            
(5星)	 毕竟两人是真情流露，就难得很能融入那种感情，觉得很真实，好喜欢孙阿，不过片子应该叫酸溜溜，或则苦涩涩，哈哈            
(4星)	 看了那么几集吧            
(2星)	 越演越差。漏洞越多。            
(5星)	 痞子当道 美女遭殃            
(4星)	 年轻时候的相爱真好啊            
(3星)	 甜蜜蜜，你笑的甜蜜蜜，好像花儿开在春风里            
(4星)	 要是换个年代，就更甜蜜蜜了            
(4星)	 看最后一集 哭了喜欢            
(5星)	 在我最悲伤的日子，陪我流泪。            
(5星)	 那么苦，那么甜。              
(2星)	 真他妈恶心，我以后再也不看别人推荐的电视剧了            
(4星)	 他妈太疯狂..            
(3星)	 妈妈新宠            
(4星)	 虽然有很多穿帮镜头，但还是不失为一部好戏。            
(4星)	 太悲惨了            
(5星)	 好喜欢好喜欢~            
(NA)	 总喜欢悲伤的结局，但甜蜜蜜让我心碎，让他们在一起吧。。            
(4星)	 后来断断续续看到了结尾。或许就如有人曾给以警示那样的，这就是生活            
(4星)	 还不错耶~~            
(4星)	 他们的纯真真叫人喜欢，他们的那股执拗劲真叫人喜欢。也是一把鼻涕一把眼泪看完的十分感动的片子~ （虽然到后面曾一度为情节的一再曲折而烦躁不安）            
(4星)	 一点儿也不甜蜜蜜            
(NA)	 情节过于拖沓了……            
(NA)	 居然是这样的结局。我讨厌死编剧了。            
(NA)	 这两口子。。还是傻一点疯一点好，才真            
(NA)	 结局也片名相反，让人无比痛彻            
(5星)	 感触颇多！            
(3星)	 好像很苦哦  也有点俗了            
(NA)	 看到某评论说 这该叫 苦涩涩 哈哈            
(NA)	 同学说这是唯一一部让她从头到尾都纠结的爱情剧，我怎么只纠结了那么一两回呢？            
(NA)	 一般            
(NA)	 希望雷雷会醒             
(NA)	 冲着这对绝配去看的            
(4星)	 令人羡慕的一对啊．．．            
(NA)	 许久以前看的 竟然还能勾起回忆            
(NA)	 记得那个夜晚 与他讨论这个的剧情 那时的我们也是甜蜜蜜的 可是一切都过去了 那么快            
(5星)	 我要雷雷做男朋友            
(4星)	 倍儿想看            
(4星)	 孙俪的表情看多了都有点一样呢            
