http://movie.douban.com/subject/3010197/	山城棒棒军
(5星)	 一级棒啊！反映了重庆人的真性情，尤其是重庆女娃儿的辣~            
(5星)	 爆好看 有没有  小时候最喜欢听到里面唱完主题曲那句 “棒棒（请自主拖长音调）”“来咯!!!!（同样请拖长~）”            
(4星)	 这个我看过！！！ 哈哈哈            
(5星)	 小时候还有那么好看的电视剧            
(5星)	 经典中的经典            
(NA)	 小时候重庆台常放。。            
(3星)	 重庆话完爆成都话，这总没人黑了吧？            
(4星)	 又喜剧，又感人。方言剧少有人经典啊。老百姓生活的五味杂陈。            
(5星)	 看过最经典的一部方言剧！            
(5星)	 方言剧最佳            
(5星)	 好看好喜欢。            
(5星)	 太好看了。又很深刻            
(5星)	 神作，绝对的神作。应该没有四川人没看过的吧。            
(4星)	 初识山城重庆，多年后我也来到高高的朝天门~            
(4星)	 哈哈            
(5星)	 那么经典的            
(5星)	 其实多好看，哈哈哈            
(5星)	 最喜欢的电视剧，重播至少看了十多回，主题曲张口就来，剧情滚瓜烂熟！            
(5星)	 上过这个电视剧编剧的课。一老头，挺有意思的~            
(5星)	 自认为是看过最好看的中文电视剧，有情节，有深度，还很喜剧，所有的元素都齐全了~            
(NA)	 是的，我看过。            
(5星)	 爆笑川味喜剧经典            
(5星)	 很真实啊。            
(5星)	 毛毛~~~            
(5星)	 重庆的经典连续剧。            
(4星)	 辛劳的农民工们            
(4星)	 四川方言剧。            
(5星)	 让不喜欢重庆的人见鬼去吧~            
(4星)	 不管你父母是工人、农民、官员或商贩什么的，你都可以在这里面找到他们的影子。            
(5星)	 梅老坎,毛子,蛮牛......小时候的夏天,重庆话教程.            
(5星)	 经典巨经典            
(5星)	 一部中国城市化的现实剧            
(4星)	 印象还是挺深刻的。            
(5星)	 童年的回忆之一。现在重看，他们演的那么好，最真实的重庆人的写照。            
(5星)	 经典的哦淳朴的哦            
(4星)	 四川的差不多都有看过吧，最喜欢毛子了            
(5星)	 笑料中有辛酸。            
(NA)	 我为什么会看过。。。。。。            
(5星)	 这样好的片子再也看不到了            
(NA)	 记忆重庆            
(5星)	 中国当代最好的电视剧之一            
(5星)	 小时候感觉这片子土的掉渣，又是方言，非常不喜欢，我爸却喜欢一遍遍的看，当时没有视频，有时候为了看这部片子，半夜三更都爬起来看。现在才感觉这片子真是非常了不起，再想起结局，让人感动。非常好的片子，值一万个薄红棍。            
(5星)	 神作，绝对的。现在的编剧都弱爆了。            
(4星)	 ...            
(4星)	 方脑壳竟然已经去世了。。。            
(5星)	 竟然找到了这个剧……当时和老爸一起看的……超好看QAQ            
(5星)	 巨好看！！            
(5星)	 重庆的特色之一，但他们很苦            
(5星)	 五星不解释!!!!!!!!            
(5星)	 怀念猪肉四块几一斤的那个年代。放学回去，吃了饭，把作业赶完，打开重庆一台，片头是这样的“棒棒，来哦！”“来咯，来咯”。            
(4星)	 好耍，好耍。一伙伙城市底层人勒故事。            
(5星)	 个人认为最好看的方言剧，演出了一群红人；国庆回去看到还在放，看了两集，很有回味            
(5星)	 我是看着你长大的。            
(5星)	 一部非常经典的电视剧，去西安读大学的时候，很多来自不同地方的人都知道有这么一部电视剧，要知道，方言剧有如此大的影响力真的说明它是非常难得的一部。电视剧中每个人物都很真实，人情世故都那么自然贴切，一部贴近生活的电视剧，一部感动万千人家的电视剧。。。            
(5星)	 哪个四川娃娃小时候没看过？            
(4星)	 小时候的记忆了，毛子、梅老坎            
(5星)	 今天想起 这个木有马克...绝对5星...            
(5星)	 真实而又贴切            
(5星)	 川话经典电视剧，再加上是王逸鸿老师的作品，强烈推荐！            
(5星)	 那个年代的经典            
(5星)	 小时候对于四川话的启蒙 哈哈            
(5星)	 除了那个记忆器，编剧基本完美了。人物性格刻画地很好。            
(4星)	 回忆            
(5星)	 永远的经典！            
(5星)	 看過的最好看的方言電視連續劇，小的時候當幽默搞笑喜劇來看，而其中對繁華山城裏特有的底層勞動人民的描寫，可謂以小見大，揭露了大國的勞動人民生活現狀            
(5星)	 可以说这是一部最早反映了在城市打拼的农村人的苦辣心酸的剧作，淳朴、善良、勤劳、激情、乐观，真实地反映了那个时候人们的特性：真善美。一部经典之作。虽然庞老艺人已经不在了，但是其敬业的精神永驻。纪念他！            
(5星)	 不朽神作！            
(4星)	 逗死了，好地道的重庆话，看了不止一遍呢。。一根扁担走天下，很90年代的fu~~            
(5星)	 现在都看不到以前那么多棒棒了。            
(5星)	 经典啊            
(5星)	 川话电视剧不可超越的经典 人物鲜活 记忆犹新            
(5星)	 生活片             
(5星)	 很贴近生活  四川话很逗  哈哈  喜欢于芳            
(3星)	 .....前段时间都还在播。。            
(5星)	 小时候可暗恋那个蛮牛了。            
(5星)	 哈哈。记得小学一年级时，每晚晚餐后，一家人一起看，欢声笑语不断呀。            
(5星)	 也是笑中带泪的 描写社会最底层 最朴质的世界            
(5星)	 很写实的            
(5星)	 大俗大雅大生活。值得一看~~~~            
(5星)	 看了很久了，突然想再看下，绝对好的电视            
(5星)	 真的很经典！！！！！棒棒~来老~            
(5星)	 最好的巴蜀方言剧            
(5星)	 这个得顶！            
(5星)	 非常之优秀，一个时代的缩影            
(4星)	 最好玩的就是三德子的扮演者            
(5星)	 小时候看觉得是喜剧，因为没有感同身受的体会，现在看才发觉这不是简单的喜剧，是一部让人深思的正剧，里面的每一个人都有自己的难处，代表了社会上各种各样的人。真是难得的好剧，堪称经典。            
(3星)	 当年对那做梦机器很感兴趣            
(5星)	 史上最爆笑电视剧！最经典！            
(5星)	 非常好看的一部电视剧，很老了，很搞笑，但是也很感人            
(5星)	 这部电视剧真的是让那些所谓的大制作们汗颜啊~~            
(5星)	 说不出来的感动            
(5星)	 多拍点四川话的撒！！            
(5星)	 百看不厌的喜剧。经典！毫不生硬的幽默。            
(5星)	 那个时候的重庆，江边的白雾，低沉的轮船汽笛，善良、搞笑的人们，喜欢，就是喜欢！山城棒棒军！            
(5星)	 五星，妈妈的，必须是五星，嘻嘻嘻嘻            
(5星)	 很好看,搞笑又感人,很多细节值得回味            
(5星)	 经典中的经典，呵呵            
(5星)	 方言剧中的超级经典。            
(5星)	 重庆嫩个多的方言喜剧 最经典的还是山城棒棒军            
(5星)	 绝对的经典！怀恋梅老坎。。。。。。            
(4星)	 很搞笑            
(5星)	 最喜欢的电视剧            
(5星)	 很有意思的一部剧~~  小时候看的了~~ 我喜欢四川话~~ 哈哈!!!            
(5星)	 很经典            
(5星)	 儿时肚子被笑痛的罪魁祸首            
(NA)	 好像是初一看的            
(5星)	 一群重庆棒棒（挑夫）真实而深刻的人生故事            
(5星)	 经典~~~小时候可背完台词            
(5星)	 电视放过很多次~~            
(5星)	 笑死人拉            
(NA)	 有广泛影响力的方言剧            
(NA)	 老爸爱看            
(5星)	 不亚于任何一部大制作的连续剧,梅老坎走好            
(4星)	 哎呀呀~绝对是童年的记忆了~陪爷爷奶奶一起看的~倍儿有滋味~            
