http://movie.douban.com/subject/2078864/	绯闻女孩 第一季 Gossip Girl
(4星)	 耐心等待第二季出！！            
(NA)	 当作时装片来看。            
(4星)	 衣服不错。            
(5星)	 从S身上学习如何面对困难            
(4星)	 chuck~my chuck            
(5星)	 Gossip Girl            
(5星)	 Chace Crawford, hot hot hot hot!!            
(5星)	 谁能用舌头给樱桃梗打结？            
(4星)	 gossip girl             
(NA)	 就是好看，本能的好看。            
(3星)	 第一季完结，结局一般，中间不错            
(1星)	 真饿不喜欢            
(4星)	 据说都是俊男美女            
(5星)	 原来一季过去也算是看过。恩。。。            
(5星)	 because~~because i&#39;m chuck bass            
(2星)	 咋一看还行，稍微多看几眼，大大滴不行。。。            
(3星)	 群P。            
(4星)	 the girl&#39;s life.            
(4星)	 还不错闹~~~养眼的~~~            
(4星)	 比《奋斗》强多了┄对人性的刻画更真实，虽然也很狗血。            
(3星)	 还没看出特别之处。可能和sexy city一样只是女人的心思最爱。            
(3星)	 叔叔叫偶一定要看，并且学习            
(3星)	 s1            
(3星)	 旁白居然是Kristen Bell“V mars”！！帅哥美女众多            
(5星)	 You ve got to love it            
(5星)	 第二季还要等到9.28，OMG~~~~~            
(4星)	 GG            
(5星)	 一口气看完，超喜欢和Nate和Serena.            
(3星)	 everybody like gossiping..            
(3星)	 看時興奮看後追悔幹嘛看這啊            
(NA)	 goooossip            
(4星)	 b&amp;c            
(3星)	 相对的 我还是喜欢《O.C.》            
(4星)	 青春年少，纸醉金迷            
(3星)	 貌似是最简单最纯洁的一季了。从第二季开始就受不了了。            
(1星)	 实在太讨厌这片儿了。情节极其弱智。号称是俊男美女其实全是丑逼。S一张老脸，B一双猪蹄，J总在翻白眼。唯一的小帅哥Nate有两坨农村红。可这标榜的又不是乡村剧。            
(3星)	 6/10            
(NA)	 DAN            
(4星)	 看热闹还是不错的            
(4星)	 哎哟，感情纠葛什么的最有趣了，嘻嘻嘻。            
(2星)	 那么老的一堆女人，居然说自己是高中生！看不下去了，除了衣服比较养眼，没有任何可取之处            
(4星)	 我羞耻地跟KIM说我最近情迷这个,她说恭喜我离看维多利亚模特秀不远了. C好好看啊，S和D勾起我无数的回忆，好爱他俩啊！！！T-T去年一直想寻觅一部文艺爱情片可以让我充满恋爱感，而这部浮华的偶像剧轻而易举就做到了，哎我是有多低级。            
(5星)	 哎呦~            
(4星)	 第一季还不错……后来就……            
(3星)	 越看越觉得自己被荼毒了。            
(3星)	 比我想象的好看，美版流星花园。            
(1星)	 超级烂，无聊幼稚肤浅片            
(NA)	 好看，不过感情真混乱呀，好像老美无时无刻不在“We need to talk” “I don&#39;t want to talk about this” &#34;Do you want a talk&#34; 有什么好说的呀说说说说说说说说说说，唐僧哦            
(5星)	 爱死chuck了            
(4星)	 S。            
(NA)	 X0X0.....very gossip            
(4星)	 好看好看。等待张哥回来的裁判吧。            
(1星)	 同名AV更难看。            
(3星)	 2010.07.24-08.03 年轻就是不定性？            
(3星)	 其實可以三星半的  整個劇節奏很舒服~就是這個內容實在是……沒什麼內容  看美衣麼~            
(5星)	 看的热血沸腾。。。            
(4星)	 如果这套戏能对我有些意义，那么我应该记下一些教训。            
(NA)	 不费脑子..但没营养啊..这种片子看多了人会变傻            
(4星)	 越来越差，给4星是因为服装！            
(2星)	 jejuneness，最无法理解的一部当红烂美剧。            
(3星)	 我承认我是闲的没事干了。。。            
(NA)	 果真换妻俱乐部啊。反正不明白怎么那么多人喜欢s还追=。=Taylor跟后来那个谁不错            
(3星)	 很杯具的发现最爱看的是青春剧男女猪脚父母的感情戏……            
(5星)	 嗯，主要是为了练英语听力顺便看看所谓的西方上流社会的纸醉金迷。以上。            
(3星)	 其实就是个乱搞派对。chuck满帅的。 s越看越烦。            
(4星)	 鲜肉啊!            
(3星)	 怎么想起了小时候的漫画《小甜甜》            
(3星)	 打发时间喽。。终于知道为什么她们可以有毅力节食保持身材了。。靠！每周末的舞会啦聚会啦，当然啦！            
(4星)	 好看！            
(4星)	 never judge            
(1星)	 this sucks            
(4星)	 not bad。我只可以說，文化差異真的太大了。            
(NA)	 情比金坚。            
(3星)	 S跟B的较劲。。。组合起来倒是挺好的。实在看不下去了，弃            
(4星)	 How to Date 101, / Everything You Will Fall Into When Falling Into Love 102.            
(3星)	 绯闻女孩。八卦天后。给个6.5分。及格之外的部分，是像伍迪艾伦致敬，这片子的感觉让你想起了＜午夜巴塞罗那＞那种夹叙夹议的小情调。美剧的节奏是快，特别是增加了流言绯女这个围观者。不是打酱油，而是facebook与twitter的使者，让爆料来得更猛烈些吧            
(5星)	 一下就被里面的俊男靓女还有火辣身材时尚穿着吸引住，火速连着看完了第一季。大爱Queen S！            
(NA)	 锻炼身体 学习英语            
(3星)	 消遣，消遣一下~ 喜欢Blair+Serena的综合            
(4星)	 S在剧中说，所有gossip girl上的消息，有真的有假的，对待它们的最好方法就是忽视，过不久大家就都忘了，剧情也证实确实如此，S这个观点颇有无为而治的风采啊            
(4星)	 老许一言以蔽之：排列组合            
(4星)	 很好玩儿的成长故事            
(NA)	 我就爱CHUCK和SB            
(4星)	 ……            
(3星)	 看不下去。。            
(4星)	 引人入胜的青春，复杂的高校斗争及社会背景。            
(4星)	 恩。            
(NA)	 2009-05-12            
(3星)	 只看这一季了 没意思 不适合我            
(2星)	 给小女生看的吧，够无聊            
(4星)	 张爱说：穷人跟富人凑热闹就像下雨天合撑伞，湿的更厉害。P.S：真的有点流星花园模式            
(NA)	 oh my dear Blair            
(2星)	 再也不想看了，没劲儿~~烂破事吧~            
(NA)	 2集后弃剧            
(4星)	 爱Chuck（Ed Westwick）。本来不喜欢Penny，但Taylor Momsen唱歌真有范儿啊。            
(3星)	 T T             
(3星)	 我只喜欢Jenny!            
(NA)	 简洁。简单。有力。这样的爱也是我所向往的            
(3星)	 not as good as &#34;sex and the city”            
(5星)	 lily &amp; chuck            
(4星)	 让所有角色都乱搞一遍编剧就满足了            
(4星)	 it&#39;s right for teenegers            
(4星)	 gossip            
(3星)	 我的第一部美剧            
(4星)	 结局真匆匆，最后两集真当不爱= =我还是喜欢DAN，是编剧抽风了= =            
(3星)	 我真的快没有青春了..就算看衫..我都看不下去..就算CHUCK都算我喜欢的坏男人..我还看不下去.            
(5星)	 唯一喜欢的就是C和B，他们不是王子和公主，只是王八蛋和女巫。可是就是很喜欢            
(4星)	 还是有各种纯情啊。慌            
(3星)	 无聊的剧情 但却一直吸引我            
(4星)	 这两天晚上狠狠恶补了第一季,其实剧中的亲情和友情和比起爱情更加吸引人            
(3星)	 为什么我一直在等始终觉得这剧很鸡肋 我想念皮囊！！难道富家子弟都是过家家的么！            
(2星)	 无语。还以为gossip girl是什么幕后传奇先= =            
(5星)	 经典经典经典！            
(5星)	 第一部有新鲜感            
(3星)	 狗屎            
(NA)	 jenny is really sth...            
(NA)	 电脑上 too            
(NA)	 20090605            
(NA)	 我很out 我看不下去            
(2星)	 不喜欢。复杂的关系看的人纠            
(4星)	 我的serena啊.            
(4星)	 本来是当青春剧消遣看。豆瓣上牛人们，影评升华了该剧啊，膜拜。            
(4星)	 I love Serena~            
(5星)	 我从一开始就讨厌男主角一家人            
(3星)	 看不下去了，竟然快到结尾处完全没有继续的欲望……(10:54;22/05/09)            
(4星)	 With friends like these, who needs armies?            
(5星)	 喜欢Dan            
(4星)	 毒性超强，青春迷药。            
(5星)	 这个纠结的感情~真适合我~            
(4星)	 除了是本时尚通书外，最后吸引到我的是那半本成长的烦恼，这些美丽的人们真是无聊又可爱。            
(NA)	 Discipline!            
(4星)	 光是看看年轻男女们那无比光鲜的穿衣打扮风格就赚够本了，何况还有个很八卦的主题            
(4星)	 对于整部剧，最喜欢的竟然是rufus和lily，最后一集的时候，我以为编剧会突然良心发现，让他们在一起，显然不是。lily还是嫁给了巴特，而rufus也踏上了新的旅程。just one night。像很多人一样，最后也慢慢的喜欢上了C，他只是喜欢上了一个人而已，那没有错，虽然最后他依然本性不改。B永远那么的自私，孩子气，她唯一应该庆幸的是她交到了像S这样的好朋友。D和little J 总是显得格格不入，贵族学校的平民，该死的不平等。至于S，每次看到她对着B的百般刁难，她依然没有离开，谁不会犯错呢。            
(4星)	 很纠结。很乱套。很华丽。            
(4星)	 第一季相当好看 但到了第二季完全沦为肥皂剧了 不知道编剧在干吗 感觉就是秀时尚和打扮的            
(NA)	 美剧 青春             
(3星)	 闲的            
(5星)	 用一个静止的姿态，卑微而骄傲的，在尘埃里低到开出最甜美的花朵，用我最后的华丽，在颓靡烟火中，为着你，粉身碎骨。。。。。             
(NA)	 有錢人就對了            
(3星)	 小女生的花痴剧。。            
(4星)	 追得很辛苦。。。            
(NA)	 BEAUTIFUL GIRLS            
(3星)	 第一季看完，S在这一季里实在太完美了些，总结一下，继续朝第二季前进！嗯，我喜欢美式青春偶像剧，比日韩台靠谱多了。            
(4星)	 从g出现的那刻起..我就对这片子绝望了...            
(NA)	 脑残片。。。。。            
(NA)	 小孩爱看的流星花园之类            
(3星)	 噢，我还是爱Blair            
(NA)	 金童玉女，忍不住一集又一集地接下去看片子            
(4星)	 NATE,等你回归正常点再看你吧            
(5星)	 好喜欢~期待二季！            
(3星)	 衣服不错            
(4星)	 嫉妒与诱惑的青春。。            
(3星)	 看死我了            
(5星)	 去年小金刚推荐            
(NA)	 推荐啊            
(3星)	 有点小题大作的上流社会公主公子哥们。            
(NA)	 “皒 … 旳曖,只給（懂旳·珍惜）皒旳亼.√            
(5星)	 陪伴了我一个暑假。            
(NA)	 一面的衣服太美丽了!!            
(5星)	 快出``快出``喜欢S,B,J            
(5星)	 快出新的吧~~~~            
(4星)	 喔。chuck bass！            
(NA)	 美好的邪恶            
(4星)	 xoxo            
(5星)	 等待續拍第二季            
(4星)	 时尚的领风，应该那个最佳服装奖啥的~~~~            
(NA)	 亲情。友情。爱情。            
(4星)	 主要看衣服和鞋子,还有女生间那点小心眼,哈            
(5星)	 难得的时装青春剧            
(4星)	 大家一起来gossip            
(3星)	 富有的高中生轮遍了衣香鬓影            
(4星)	 后半季有点无聊。美国青少年至于这样麽？            
(1星)	 狗血太狗血了            
(3星)	 等第二季啊。            
(5星)	 简单，因为里面主角也叫S，并且某人叫我S            
(4星)	 看帅哥美女。我喜欢Lily            
(4星)	 很多事情，发展的轨道不是我们所能预测得到。很多事情，也不是其表面所展示的那样。            
(5星)	 好看            
(4星)	 pretty girls and cute boys.how could i miss it            
(4星)	 超级好看，超爱，观望第二季中            
(5星)	 xoxo，花花。            
(3星)	 其实跟O.C.差不多，只是风景没那么好，也少了些残酷，所以更轻松。            
(5星)	 没看完，到11为止，累了，不愿追下去。            
(5星)	 很喜欢这么多靓女靓仔的阵容,让我光是看她们的打扮就很养眼了.            
(4星)	 俊男靓女时装剧            
(4星)	 消磨时间不错。            
(4星)	 blair很灵的么            
(4星)	 如果你自认够八卦，如果你自认够拜金，如果你不想被潮流独自搁浅在岸边，那么：x.o.x.o,gossip girl！            
(5星)	 养眼 嘿 我爱D&amp;S~            
(4星)	 养眼养眼            
(NA)	 I love S            
(5星)	 好T啊～～尤其是那些华丽的衣服，及漂亮的美眉～            
(2星)	 真的很肥皂~~~            
(4星)	 原来我被吸引了。。。呃。。。原声不错。            
(NA)	 S。最近心水女人。            
(3星)	 八卦王道－－e             
(NA)	 奢侈的…            
(NA)	 BC！            
(4星)	 美版流星花园            
(5星)	 ～我豆是遭serina色诱老爪子嘛？！            
(3星)	 没什么期待，，，，            
(5星)	 其实我们每个人都是gossip girl            
(5星)	 突然感动~            
(4星)	 看得欲罢不能！            
(4星)	 大爱ED!            
(4星)	 青春靓丽。一窥上层社会。            
(4星)	 我没觉得多牛逼，只觉得博客和彩信以及短信的方式出现在美剧里，很有意思~            
(4星)	 第二季获得24集的超长预定            
(5星)	 好多美女            
(4星)	 不能去读高中 看看这极其不现实的也好..             
(3星)	 上流社会？不感兴趣。拿出点更深的东西来吧。            
(3星)	 现在很流行哦            
(4星)	 挺好的嘞，对我这种土鳖来说。            
(4星)	 XOXO, U KNOW U LUV ME, GOSS!P GIRL.            
(4星)	 很喜欢Dan!!!!!            
(4星)	 又出新的啦～～～            
(4星)	 &#34; u don&#39;t know what i know about u&#34;            
(3星)	 多看几集 就烦了            
(4星)	 非常地不喜欢NATE            
(2星)	 实在看不下去了            
(4星)	 美国版《与青春有关的日子》            
(3星)	 hahha..            
(4星)	 时尚8卦,谁不爱?            
(5星)	 复古风..blair;学院派 jenny            
(5星)	 太好看了，没的说。            
(NA)	 gossip girl            
(4星)	 期待第二季            
(5星)	 最近很迷啊~~带动着大家都开始迷了~第一季已经播完了哎~什么时候有第二季啊~            
(4星)	 X.O.X.O —— Gossip Girl            
(3星)	 看到后来就觉得没意思了            
(4星)	 鄙视我吧，我喜欢看这个            
(4星)	 OH！我知道这个是给女生看的，但我需要轻松。            
(4星)	 竟然能时不时看到点神谕意味的东东。不象话！~            
(3星)	 个么看了skins之后就弃GG了            
(5星)	 沒有專業詞彙, S2!!!            
(4星)	 看到第四集~~朋友相处之间的一些细腻的感情            
(NA)	 第一季看完            
(5星)	 很好的青春剧，收藏了，肤浅的剧情，主角们各有特色，最喜欢LILY，希望我老了之后也是这样有气质的妈咪。坏坏的CHUCK，说话很有个人魅力            
(4星)	 衣服的确值得一看！            
(5星)	 难得喜欢的美国人作品            
(4星)	 期待S2。            
(5星)	 好看好看            
(2星)	 真的没什么意义            
(3星)	 美国高中乱睡史            
(NA)	 在豆美人滴Link里面看到，觉得真的很不错也～除了Dan丑一点以外～            
(3星)	 前两集还行，但很快就没兴趣了，看完S1E7放弃了。            
(5星)	 不用动脑子的青春片，一直在我猎的范围内，点睛的配音，淫乱的校园            
(3星)	 还能再乱点么，弃了            
(3星)	 非我杯茶，果断弃            
(3星)	 此剧里几乎所有平民都嘴脸丑恶            
(3星)	 第一季看了四集，没兴趣            
(3星)	 还是偶像剧的调调……            
(NA)	 (不得不)看過一些，至少Blake Lively還挺美 (如果硬要跟90210比，它贏)            
(4星)	 两年前看的乱搞女孩            
(4星)	 愈发映照得中国高中生大学生是多么杯具。            
(5星)	 Dan.我对你超级超级失望。            
(4星)	 1. 真是个like father like son的屌乱故事 2. 强过Skins S03、S05，好看，但是不过瘾 3. 里面主人公都还不错，没有讨厌的 4. 小李的果儿看着挺顺眼的 5. Chuck的鼻子像极了尔康。。。 5. D和J的老爹太帅了！6. OST非常靠谱儿            
(3星)	 三星半好了。拖了两年总算把第一季看完了，从最初觉得幼稚肤浅到后来看得饶有兴致，我果然是爱看美女美衣的外貌协会。另外觉得角色的代入感都很强，看着会禁不住想，我讨厌谁喜欢谁。嗯，讨厌J和N，喜欢C……我竟然也喜欢C啊~            
(NA)	 太小儿科，看不下去，放弃。            
(4星)	 用了24小时看完了，困死了。。睡觉啊混蛋！！！！！            
(4星)	 B和C真的是一类人。本季最后3集大家齐心斗G很不错~可惜S和D终将要分手。            
(NA)	 真你妹的乱            
(4星)	 party world            
(2星)	 打发时间利器            
(5星)	 遥想当初....            
(3星)	 果然是淫乱的小集体。。。相比较而言比较爱B，S不是我的菜            
(NA)	 dan把穷酸小气自卑+大男子主义+小男人作风的形象演的淋漓尽致。            
(5星)	 凹凸人看了一季时髦剧。            
(4星)	 就是一群人互相搞来搞去 然后所有人之间都有一腿 看来治愈分手的最快方法果然是马上再找一个~            
(4星)	 俊男靓女一大帮 吸引眼球不得不看            
(3星)	 还成吧，我觉得他们的人生也就是看看。也只能看看。            
(4星)	 服装很好看。            
(4星)	 追到第三季 确实追不下去了 哎            
(4星)	 我实在是闷死了            
(3星)	 那时候还有pp,还有verycd            
(NA)	 我承认我无聊了.............            
(3星)	 年纪越大越看不得这个调子的小青春片了。            
(3星)	 想下的片子没下成，我竟然点进了它，几乎每个美剧都有人爱塑造Serena这样的类型，感觉有点像年轻版的欲望都市，当然这里暂时没有那么深刻的婚姻和职业话题，就是一群华丽的富二代奢靡的生活。还有不得不说，S很漂亮，而且动态远远美于静态。            
(4星)	 看完就就绝得有意思了  开始比较一般            
(4星)	 SB+NC的组合，再安排个叫P的还可以再组个JP。C的身材虽不好声音还是很性感的。谁发我个删减掉D的版本的？            
(3星)	 S： &#34; Without you . I &#39;m nothing . &#34;            
(3星)	 典型的美式连续剧  可以练练听力            
(3星)	 剧情实在 很弱智。。。但有多少人 是冲着剧情去的呢。。。            
(3星)	 一帮烂人            
(2星)	 努力尝试了，实在看不下去            
(3星)	 终于看完了第一季：期望dan 的老爸~和s的老妈，最终能走到一起~年轻人随他们去吧~            
(3星)	 我实在找不着东西看啊~~ S的气场还不错~~            
(3星)	 GG的关系太混乱了，我纯洁的都要流泪了！！！            
(5星)	 完了，爱上chuck了            
(3星)	 我讨厌死dan那张鸡巴脸了            
(4星)	 其实我觉得没必要打星。。每星期追剧就是种快乐            
(4星)	 Chuck bass&gt;&lt;            
(3星)	 礼服什么的 差克我就爱你~还行+            
(4星)	 我記得最經典的一句就是：Lucky for us, mental acuity and common sense rarely come in the same package. Chuck帥是帥得來…&gt; &lt;我只看了兩季，我EQ太低，實在沒興趣看人勾心鬥角…            
(3星)	 除了帅哥美女，就剧情真是让人头痛= =            
(5星)	 5颗星全给我的大学生活，一转眼大学都快毕业了，听到第一季里面的插曲还是会激动。我的生活在继续，gossip girl还在拍续集，却感觉他们离我的生活越来越远。你们还在那边纠结着，我却长大了。            
(4星)	 我知道滥俗可就是喜欢看..            
(NA)	 终于。。看完了            
(NA)	 party-分手-复合-party-分手-复合-party-分手-复合-party----。。如此循环……            
(4星)	 第一季还挺新鲜的。            
(3星)	 白烂，白烂我也看完了。             
(3星)	 这个磨叽啊            
(4星)	 早知道  只看第一季好了             
(3星)	 我無聊到去看這麼狗血的劇了……我表示唯一的亮點就是那把蜂鳥            
(4星)	 后劲不足啊            
(5星)	 第一季清晰明了跌宕起伏还很合理，喜欢Chuck啊啊啊啊啊！~            
(4星)	 the most impressive item in it is that  no matter how bad, jealous,bitch  the guys r ..finally  they r still the true friends.            
(3星)	 好混乱            
(2星)	 据说旁白是Kristen Bell？            
(NA)	 讨厌大结局！            
(5星)	 剧情因为文化差异看起来觉得很小儿科，像当年看花季雨季，十八岁的天空一样。但是，还是很好玩，毕竟我们都成长过，可爱愚蠢过，青春逼人愚蠢无知挣扎逃脱过~            
(4星)	 第一季看完            
(4星)	 xoxo,gossip girl            
(NA)	 刚看完第二季，依然喜欢nate，不过他的感情态度太不明确了，谁喜欢他，他就喜欢谁。。。blair和chuck这一对第二季很出彩。完全就纠结在他俩的感情上了。最后看到chuck终于说出i love you ,too后，很开心~dan完全没有第一季的光彩。serena还是一样的迷人~            
(3星)	 GG第一季真的没啥感觉。            
(2星)	 看了一集--好无聊 放弃            
(5星)	 第一季还是不错的            
(5星)	 还不错的一部青春时尚剧            
(4星)	 在这世界上GG最喜欢的莫过于女人之间的战争，而这个将是个十分经典的战役。            
(NA)	 剧情为了爆点而爆点。。            
(NA)	 太好看了！            
(4星)	 时装片啊真是 Serena和Chuck真性感            
(4星)	 我喜欢漂亮的Queen B。因为S实在不是我的范儿啊……那是迪迪的范儿，我感觉我离御姐风格很遥远……            
(3星)	 很多情节我觉得是雷声大雨点小            
(3星)	 jsut for killing time...            
(5星)	 太有爱了这部片子！            
(3星)	 没看完，是纯无聊不费大脑的看的 个人认为            
(3星)	 有点裹脚布……第一季里面的小J还没有很贱 喜欢~            
(5星)	 人性如此，不必傷悲...            
(3星)	 http://tv.sohu.com/20100305/n270614684.shtml            
(5星)	 serina is hotttttttttttttt            
(4星)	 我得承认什么样的老子养出什么样的儿子，C不愧是Bart养出来的，遗传基因很重要，太喜欢C了。            
(3星)	 honesty is important。插曲不错，剧本拿去练英语很好~~            
(3星)	 其实美剧也可以学很多东西的            
(4星)	 花花公子怕是NATE吧            
(NA)	 i like chunk. and the way blair talks.            
(4星)	 ~魂牵梦绕serena~            
(2星)	 弃            
(4星)	 抱歉 此剧我没有特别爱的人儿            
(5星)	 bitchy people must be made by bitchier parents. xo xo. luv ya.            
(3星)	 排列组合的爱情。CB王道。            
(5星)	 够纠结            
(3星)	 打着学英语的旗号娱乐了一把            
(4星)	 喜欢QUEEN B诶，真好看            
(2星)	 真不知道哪点好看。            
(3星)	 窥视所谓上流社会的生活,也是人的一种劣根性.            
(NA)	 x.o.x.o.            
(3星)	 看这剧的唯一收获就是入手F&amp;C桃红色city tote一只。看帅哥美女，华服美裳的同时，缅怀我单纯叛逆的青春期。            
(5星)	 各种养眼.            
(4星)	 很是华丽啊~            
(4星)	 现代人就是不知足，有俊男美女和时尚大牌赞助了，你们还要什么深度啊？我们也没要求《杀手里昂》穿PRADA是不？            
(5星)	 Promise,promise,promise,听得我都生茧了的话,又起到了什么作用?            
(NA)	 我是小J派的，不怕被砖拍。            
(4星)	 华丽丽的服装！            
(4星)	 恶补CW经典剧集。。。            
(5星)	 i love chuck bass!!!!!!!!!!!!!!            
(4星)	 第三季我迷茫了。。。            
(4星)	 fun            
(NA)	 不想看第二季了，有钱人就喜欢作            
(4星)	 chuck chuck            
(3星)	 总算看完S1。看得我哟。            
(4星)	 真不现实，不过还是迫不及待的看完了            
(5星)	 ChaceCrawford PennBadgley EdWestwick·LeightonMeester BlakeLively-ConnorPaolo·KellyRutherford MichelleTrachtenberg TaylorMomsen JessicaSzohr            
(3星)	 顶多算是看着玩            
(4星)	 我都三季混着看的囧            
(4星)	 gossip girl here             
(3星)	 很垃圾的快餐电视剧并且走NP路线,匪夷所思的是演员的访谈没脑到一定程度.            
(2星)	 太难看了...... 只好看看其实也没有万分美的衣服            
(NA)	 chuck            
(3星)	 很肥皂 打发时间而已            
(3星)	 超喜欢DAN耶~~smart guy!!            
(4星)	 无聊时候看看还不错~喜欢chuck            
(4星)	 瞭解下時尚還不錯            
(4星)	 没想到是，教育片。。。所以说，要nudge            
(3星)	 看服装之类的真不错。剧情当时还算追得蛮紧的，过后基本就忘了。。。。 = =            
(3星)	 乱。            
(5星)	 只是一种途径。去了解外国青年人的思维、关于爱情的奔放。性爱的不羁。            
(5星)	 太YD了,不切实际,但我喜欢.            
(NA)	 xoxo~gossip girl            
(4星)	 S和B的风格我都是OK的 虽然小J的心路历程有看点 但我讨厌她 没办法 这里面的男人除了C都恶心 话说一开始我还不喜欢C 真是没眼力呀 嘻嘻            
(4星)	 喜欢serena和dan            
(4星)	 不错不错。喜欢Serena            
(4星)	 居然开头就是陈柏霖博客里的音乐~！好吧，我为第7集和第10集心醉~~~~~好吧，看完就超级喜欢B和C~~~~            
(4星)	 没看完。            
(3星)	 越乱越乱            
