http://movie.douban.com/subject/3303336/	十大奇冤
(4星)	 文颂娴，不解释！            
(3星)	 张卫健的调调还是这样，不过很好，终于看完了。            
(5星)	 耐死张卫健了            
(4星)	 一点点小温馨，一点点小搞笑，不错不错            
(4星)	 剧情稍微拖沓了点，很喜欢李鹤龄和他师叔那一段，杨傲实在是个傲娇啊，那华丽丽的小侧脸实在是很妖孽。皇帝太无能，公主太二了。几个女主中，最喜欢素琴的娴雅~~            
(4星)	 杨傲长得好像凤姐，丑死啦！！文颂娴长得还真是小气啊            
(4星)	 真有趣            
(5星)	 精彩~            
(4星)	 呲颠颠的张卫健...            
(3星)	 应该看过            
(NA)	 喜欢张卫健            
(3星)	 为了文颂娴看的。。            
(3星)	 无聊时打发时间            
