http://movie.douban.com/subject/2153595/	欲望都市 第四季 Sex and the City Season 4
(5星)	 Aiden！！！            
(3星)	 眼花缭乱的，ladies终于都老了。            
(4星)	 当真比较喜欢Aiden  BIg留下“If you ever feel lonely”时才有改观            
(5星)	 这一季算是旧的告别和新的开始~            
(5星)	 2006年            
(NA)	 我的常年背景剧            
(5星)	 这一季的泪点明显多于前四季，而且真诚。            
(NA)	 大学时代女生们的最爱            
(5星)	 美剧中的第一，永远都不会过时。4个女人的那些衣服，carrie的那些鞋和包看到现在都依然是经典；现实的剧情和犀利的台词更成为了前世界所有女人的恋爱教科书，女人要的一切都能在这里找到。片面地说，如果你作为一个女人而不喜欢这部剧，我有足够的理由怀疑你到底是不是个真正的女人。            
(NA)	 其实是去年看的。。。            
(5星)	 她们陪伴我成长            
(3星)	 这季很墨迹            
(5星)	 编剧这样对待艾登让我很是心伤。            
(NA)	 我还是连着看了它。。。            
(5星)	 也~            
(5星)	 第一集，soul mate,诶，你真的和big只是朋友吗？第十三集，片尾曲好棒，samansa终于不再抗拒属于她的爱情，这首歌，by your side，在蓝色的游泳池旁，很美。好喜欢，配着歌词。            
(5星)	 i love it. 看了不知道几遍了            
(NA)	 贱女人凯瑞！            
(NA)	 大恨……            
(5星)	 爱是所求。            
(4星)	 介不是当年那启蒙篇咩？            
(3星)	 4、5两季比较一般            
(5星)	 我的速度太快了            
(4星)	 编的开始不靠谱了。。            
(5星)	 宝典啊宝典~~            
(5星)	 有着很多的感动·成长和友情            
(5星)	 Carrie为什么会错过Aden？            
(4星)	 Aden 帅诶            
(5星)	 Aden,完美，惋惜。MOON RIVER,让一直讨厌的BIG都那么煽情            
(5星)	 最有体会的一季，有Carrie的结婚恐惧症，也有big离开留下的光碟。单纯简单的好女孩都会喜欢Aden,替他惋惜，只有我这样的才会钟情虚无缥缈的Mr.big，所以也难怪现实生活中，我最不靠谱。            
(4星)	 生命到了一个阶段　也慢慢开始进入状态            
(5星)	 不往下看了，到这一季正好            
(4星)	 大爱Samantha,　！Aden是我想要的那种...所以不喜欢carri...每次他们吵架我就看的很纠结阿            
(4星)	 it&#39;s so amazing            
(4星)	 中途Carrie的感情线有点败~结局那一集我真爱死了~I heart NY~            
(5星)	 米兰达怀孕生孩子了～            
(5星)	 喜欢这季结尾的那句话&#34;People come into your life, and people go. But it&#39;s comforting to know the ones you love are always in your heart.&#34;            
(5星)	 这个就不用说啦，最爱~~            
(4星)	 迂回感            
(4星)	 她们的状态真积极。            
(4星)	 这一季挺好的            
(4星)	 也许人生就是麻烦失望，起伏不定，但至少我们尽力了            
(5星)	 前几季还是很好看的，现在在看第三遍了，O(∩_∩)O哈哈~            
(5星)	 我第一部看完整了的美剧            
(5星)	 曾经一直不明白，为什么最后Carrie还是要放弃Aiden这样完美的男人。现在也许知道了。也许，潜意识里，心里还是住着那个人，纵使他有千般不好，一个自己都不知道的“We are meant to be together&#34; 的念头，就够了            
(4星)	 aidden太帅了 。奶奶的。为什么越看越像adam？            
(5星)	 e18 about mistake. let it go            
(4星)	 精彩度下降            
(NA)	 Soul-mate            
(NA)	 每一集都不长，虽然很多XX镜头，但是故事还是蛮好，其实在XX之余她们也在寻找真爱。            
(5星)	 从这一季开始，我开始对凯瑞的i couldn&#39;t help wonder厌烦起来，总是提出问题并将错误归结到男人身上，结果是总也找不到合适的mr.right            
(5星)	 必修课            
(5星)	 还有什么好说呢。            
(5星)	 Soul Mate难寻            
(NA)	 要先看完连续剧~            
(5星)	 很美的结尾            
(5星)	 因为这季我彻底爱上aiden.我不是carrie我不是carrie.我不要当carrie.            
(4星)	 很不错            
(5星)	 期待第二遍！            
(5星)	 开始了转变            
(5星)	 我就喜欢            
(5星)	 just me            
(2星)	 不如电视剧……            
(NA)	 最唉            
(4星)	 这季开始变深沉。Adam把头发剪了，好帅。            
(5星)	 无论身边的人来来去去 我知道你们总在这里 不变的感情 四人一起往前走            
(NA)	 i still love to watch drama            
(5星)	 第四集也看完了~            
(4星)	 从这一季开始热情下降            
(5星)	 已经说不清楚了，是从第三季才开始喜欢的吧，这个也是一种感情吧~终于理解为什么说CARRIRE太作，不过她如果不作，这部剧也就没意思了~~            
(5星)	 其实她不高的吧。还矮。不化妆也不漂亮。            
(5星)	 CARRIE整季都做的可以了，但为最后一集给出满分。            
(5星)	 这一系列都喜欢！！            
(3星)	 我不知道该不该打上爱情这个标签我们这里也即将迎来满地落叶的季节            
(5星)	 近日全靠这个活了            
(4星)	 欲望都市 穿着香水 住在衣服里            
(5星)	 這一季突然變好看了。            
(3星)	 这一季异常色……            
(NA)	 4            
(4星)	 就是喜欢            
(5星)	 与前几季每集都更换男主不同，这一季每个人表面上看似settle down了，但每个人到最后都伤心疲惫不已。好多泪点。            
(5星)	 永远的精神食粮            
(5星)	 喜欢凯莉的口音 本来想通过这部剧学英语的 后来看入迷了 没法学了            
(NA)	 &#34;Two drifters, off to see the world. There’s such a lot of world to see.&#34;             
(5星)	 莎曼莎的欲望观，夏洛特的家庭观，米兰达的工作观，凯瑞的爱情观。            
(4星)	 超练口语~            
(3星)	 Carrie那么拧巴的人是何其幸运有这样好的一个Aidan原谅她包容她爱她啊。Aidan剪短发之后真你妹帅！！！！！！            
(5星)	 1 Feb 2012。無從下手評論 該說的都被凱莉布蕾蕭說完了 可以重看至少十三四遍 歸入「百看不厭」群體。好多人提到這一季凱莉不知道發生什麽事 可是不正如最後一集說的那樣 好的不好的成就了現在的我們。            
(4星)	None
(5星)	 You r my Big            
(5星)	 改名叫【買鞋子順便找男朋友】吧。            
(4星)	 和ADAN的和好又分手让我明白了什么叫not just that into you.            
(5星)	 这个时候的他们真年轻~            
(5星)	 Carrie你不后悔么不后悔么            
(5星)	 I had a choice.I can leave the runway and let my inner model die of shame, or I can stand up, flaws and all, and finish. And that&#39;s what I d            
(5星)	 我也希望你们出现            
(4星)	 没有前几季好看~但是i love aden i love big~            
(5星)	 moving~！5555            
(NA)	 太喜欢这一季的结尾了            
(4星)	 生活永远不会那么单调，其中的变数经历了才知道。            
(5星)	 Carrie跟谁谈恋爱，都觉得丫配不上人家。越来越喜欢Samantha            
(5星)	 can u really forgive if u cant forget?            
(NA)	 only scene got me crying was one in e08 where miranda had this row with the sales lady while trying on her shitty-black-34b bra for the funeral            
(5星)	 Sarah Jessica Parker固然是时尚界的标志，但不能不感叹美人迟暮啊            
(5星)	 beautiful wamen,beautiful life,and perfect love!            
(5星)	 I cried into river when watching the last episode. Until now, I realised how much Big loved Carrie and how much strong love could be.             
(4星)	 居然一直没更新这个            
(4星)	 Adam和Big都离开了，要开始学会面对lonely，但我相信心底的人不会离去            
(5星)	 big是毒药            
(NA)	 第四季很励志啊，越来越喜欢她们之间的友谊了            
(NA)	 好看            
(4星)	 爱情、婚姻、性爱教科书            
(4星)	 当你一边因为自己之前与前男友的出轨乞求男友原谅时一边却又在男友要求你不要再和前男友联系的时候非常坚决地说他是我的心他是我的肝他是我生命的四分之三不和他联系我做不到 我真的完全无法理解这种想法 Carrie已经变成了我在欲望里最不喜欢的角色并且没有之一。            
(5星)	 美剧毁了我            
(NA)	 ★★★★★★★★☆            
(4星)	 Mr. Big这么一走，真是最美的背影啊……Samantha恋爱起来也很可爱，欲拒还迎啊欲说还休~            
(4星)	None
(5星)	 第四季            
(NA)	 到底有多少遍Fabulous            
(4星)	 Maybe mistakes are what make our fate,without them what would shape our lives?Maybe if we had never veered-off course,we would not fall in love,or be who we are.Things changes.             
(NA)	 还是经典！            
(5星)	 by your side这歌听得我特感动~            
(5星)	 这季超爱！            
(5星)	 想看什么XXOO场面都有 堪称经典            
(3星)	 依旧是没有印象的一季~~~~(&gt;_&lt;)~~~~             
(5星)	 衣服好看            
(5星)	 挚爱。            
(5星)	 都不舍得看了            
(4星)	 一直很喜欢这些女士们的生活，感觉很真实 很引人深思 总能引起共鸣啦哈哈            
(NA)	 我很想学aden吼一句because you fucking broke my heart            
(4星)	 终于看到萨曼莎为了一个男人而发疯            
(4星)	 这一季发生的事情太多了，carrie还是一样的贱。真心不喜欢她，我觉得她这样是得不到幸福的。最爱的米兰达说话还是那么可爱，觉得她跟史蒂夫挺般配的。            
(5星)	 为什么爱起来那么难，在中国有故事的女生是不被接受的~像瑟曼姗那样的会被人骂死的~            
(5星)	 没有看过欲望都市的人生是不完整的            
(5星)	 六季还都是从大学同学那儿倒过来的呢，看完了一直存在硬盘里，时不时就翻翻，结果男友为了他的狗屁游戏没问我意见直接给删了，为此大吵一架！            
(5星)	 独立精神的觉醒。            
(5星)	 渐入佳境～～            
(4星)	 不知道是隔了一段时间没看还是心态平静了下来，最近看的觉得还不错            
(5星)	 不敢相信Carrie与Aiden就这样结束了，Big也离开了NYC。第四季结束地有些伤感。            
(4星)	 好吧，虽然越来越觉得有意思，但我还是不喜欢Carrie            
(4星)	 我真没看出carrie哪美了。。。瘦得脸上全是皱纹。一演吵架的戏就做作的要死。还有BIG哪里迷人了。。。啤酒肚大得跟什么似的。            
(5星)	 挚爱            
(4星)	 big一点都不讨人喜好么，aiden好太多了            
(5星)	 心头大爱            
(2星)	 这一季因为Carrie几度看不下去~后面几集都是强忍着看下去的~Carrie这个自以为是自私自利毫无廉耻的贱人！这个长一张马脸还厚着脸皮装清纯的脑残！真想抽到她生活不能自理！为什么让这么贱的人当女主！太影响心情了好么！Big也是找抽的一个大贱人！这俩贱人真是天生一对！一起去死吧！！！            
(4星)	 Aden真的很好很好，百分之百我杯茶，一度很为carrie不识货而心焦，可是想想，未必他对她而言就是好的，唉……Miranda这季最美，发色超好看。Charlotte从纯情小女人开始迈向成长。Sam也会爱人的啊？哈。至于carrie和big，已经不怎么能打动我。            
(3星)	 其实我们一直找的那个人,是一个能包含我们所有缺点的人。             
(5星)	 也许有必要拿笔做下笔记的            
(NA)	 4-5季            
(3星)	 Sarah Jessica Parker越看越丑啊…… Mr. Big 像乔治·克鲁尼！            
(5星)	 最棒的一季了。            
(5星)	 越得不到的越加爱，太容易来的不稀罕！Carrie处理Aden与Big关系的写照！女人啊...男人还需要多久才能把你读懂？！            
(4星)	 Aden还是走了。            
(4星)	 Miranda和Samantha比较可爱            
(5星)	 People come into your love and people go. But it&#39;s comforting to know the ones you love are always in your heart and if you&#39;re very lucky...            
(4星)	 四个女人 爱情友情 我跟干干说 我看到了你 然后我说 不 是看到了我 最后其实 是我们            
(5星)	 爱得没话说 第四季的时候 SAMANTHA跟那个老板在一起 喜欢那个时候的SA ~            
(5星)	 第一集是要有多惊艳~可是，我觉得亚当真是个好男人...好吧，萨曼莎恋爱了，米兰达生BOY了，接下来呢？我真心不想女主和大人物在一起.....            
(5星)	 最后一集,我还以为整个剧就这么结束了呢! 女人老了的标志是不是眼妆越画越浓?             
(3星)	 终于还是木有看完            
(5星)	 虽然很多人不喜欢杰西卡•帕克的大长脸，我还是认为这是能排上我个人最爱美剧前三的~~~每年夏天都会翻出来重温一次。女人，要多爱自己！            
(4星)	 算是喜欢的一季，有人生孩子，有人离婚，有人相爱，有人求婚，只是婚姻到底是为了什么。一直在一起不就好了吗？            
(NA)	 感觉这部戏拍的越来越好了            
(4星)	 其实觉得 阿曼达性格很好  但其他方面就差强人意了  carrie和BIG的纠结还在纠结 呵呵            
(NA)	 carrie是有多贱……            
(4星)	 前三季无感，S4第一集就大爱!不喜欢BIG,喜欢ADEN～            
(4星)	 第一次看美剧开始认认真真完全看完的剧。自认是比起《绝望主妇》。更喜欢这部剧。当然，也有可能是年龄的关系            
(4星)	 哦~艾登~            
(5星)	 soul mate那一集很好看            
(5星)	 我好喜欢艾登 完美的boyfriend 可惜            
(4星)	 笑点比之前多，温情路线起来。马脸carrie真是自私自利，婊子想立贞洁牌坊，越看越烦。相比之下其他三个堪称完美。            
(4星)	 S最可爱了呦            
(4星)	 每一集的主題都很特別，相比起了性，四人間的友誼更值得一看，蠻羨慕她們間的默契。            
(5星)	 越来越温馨了            
(5星)	 大爱            
(5星)	 感触比较多的一季            
(4星)	 苏曼莎也会爱。。。            
(NA)	 真的需要换种心态。            
(5星)	 不错 值得一看            
(5星)	 能说什么呢,女人必看的经典,!!            
(NA)	 第四季            
(NA)	 越来越讨厌carrie。。。            
(5星)	 IF I EVER FEEL LONELY            
(5星)	 经典不解释            
(5星)	 最爱的美剧，没有之一。            
(5星)	 Adm是个好男人。            
(4星)	 -_-“兜兜转转的路子像树藤般把你缠绕，多少岁月流金在其中无声滴漏消散，连电影里的女主角们都老了八岁，何况是现实中的我们呢……            
(4星)	 4季了，坚持不拖，完整的看完了4季，这是它吸引我的地方。很多做法我并不赞同，但又何妨，各自有各自的生活。此时，BIG又走了，但是ALL WE LOVE LIVE IN OUR HEARTS FOREVER            
(5星)	 给五星是因为Aidan！            
(4星)	 撇开sex有很多不错的道理            
(5星)	 真的没神马说的～五星～            
(5星)	 凯莉 太可爱了i love  沙曼莎的眼泪            
(4星)	 太早前看的了~~~~都忘了是什么内容。。。只记得对当时刚上大学的我，是个不小的冲击~~哈哈            
(5星)	 最爱的美剧！big的眉毛太销魂了            
(4星)	 看看还行            
(5星)	 接着之前一季的势头一口气看完，最好看的一季了吧~            
(5星)	 看过            
(4星)	 再后来觉得萨曼莎霸气 活的痛快             
(5星)	 S&amp;C            
(5星)	 我也迷恋Mr.big!            
(5星)	 After all, seasons change, so do cities. People come into ur life and people go. But it&#39;s comforting to know the one u love is always in ur❤            
(4星)	 因为这季MIRANDA怀孕了            
(4星)	 我成SATC死忠粉了！            
(3星)	 四个女人里面最喜欢夏洛特，最正常。            
(4星)	 开始觉得Big很不错~            
(5星)	 samantha太強悍了～哈哈            
(1星)	 受不了这一季里面的女一号，做作            
(5星)	 samatha说为什么所有的人都要结婚？却帮助aden选了更适合的戒指给carrie，~~~~(&gt;_&lt;)~~~~ ，有这样的姐妹，我就不要结婚了。。。。            
(3星)	 越来越讨厌carrie            
(NA)	 止于第四季            
(NA)	 不能不说我喜欢艾登更胜big            
(5星)	 300th！            
(4星)	 大三。            
(NA)	 这还分SEASON阿,真不嫌累..我在看到第四遍左右也就是这遍,终于有点看烦了....            
(5星)	 very good            
(5星)	 I think i&#39;m in love with you            
(5星)	 没有理由，已经在看第4遍了。。。            
(5星)	 喜欢最后一集的那首《Moon River》和黑色屏幕上打出的&#34;Dedicated to our city of New York...Then, now, and forever.” 越来越爱啦~            
(4星)	 最后一集的配乐是什么            
(5星)	 这一季主要跟艾登纠结，看的心里好痛，为什么Carrie这么狠心对艾登，我真的越来越觉得big危险又遥远，Carrie为什么不和艾登好好过日子？            
(4星)	 越看越不喜欢女主同夏 中意另两个            
(NA)	 我严格意义上的第一部美剧，是你带我走入了美剧的神奇殿堂。我高中的电脑就是因为要BT你，硬盘才崩溃的。后来花20块买的盗版DVD早已离奇失踪，但是我依旧那么爱你！            
(5星)	 真的是太喜欢了            
(5星)	 太多共鸣。。            
(4星)	 依然无法喜欢凯瑞，不过很喜欢萨曼莎和米兰达            
(5星)	 越来越好看了嚯嚯嚯            
(4星)	 和父亲的关系处理不好确实会影响深远啊…            
(4星)	 四星是給Adam的            
(5星)	 欲望都市看多了 估计会变得很女权 这里有很多自己期待的生活的影子~            
(4星)	 最后一集是寂寞。            
(NA)	 经典            
(3星)	 纠结不纠结            
(5星)	 MR.BIG 你快出现。            
(4星)	 Mr. big            
(5星)	 mr big 还有艾登……我的梦中情人            
(5星)	 随时随地都可以回归的剧            
(NA)	 时尚其实就是一种生活态度            
(5星)	 逐渐沉淀的第四季，仿佛正当此时的我们，只是我们比剧中的人物小了将近10岁，于是愈发感慨纽约曼哈顿的活力。女人们真是神奇的动物，至少她们四个是这样。            
(NA)	 4            
(5星)	 呀。每次剧照都是她是唯一主角。囧。我喜欢友情啦。。。。            
(3星)	 喜欢Samantha的爽朗              
(4星)	 Mr. Big离开。Milanda有了baby。Charllotie离婚。Samantha爱上了一个人。            
(5星)	 居然看得哭了            
(4星)	 唉，看完了反而不想骂凯莉贱了，到底和艾登不是一路人啊……越来越喜欢萨曼莎，这是个真正自由的人            
(4星)	 past is like an anchor, maybe you have to let go who can wear, to become a newly well day.            
(5星)	 唯一完整看完的美剧....            
(4星)	 之前不太喜欢MR.BIG,这季莫名觉得不错诶            
(2星)	 Carrie满脸褶子还装可爱，太让人受不了了。4个人里面就她最讨人厌。            
(3星)	 看一遍真的不够            
(5星)	 四个女人个性分明。相比较之下，女主除了话痨，没啥闪光点。            
(3星)	 讨厌死k了 毁了我对这部剧的好感            
(5星)	 可以学习到很多性知识和不错的口语。 i love samantha jones            
(5星)	 可惜只看了这一季            
(5星)	 我就是喜欢！喜欢各种细节！各方面喜欢！超前又经典！值得学习。另外发音很正，非常适合模仿            
(5星)	 我有点看不惯凯莉            
(NA)	 关于友情和爱情，可以思考很多。一人一性格，你像谁呢？你可能不是典型的谁谁谁，你可能掺杂了她们的不同的性格。随着时间的改变，你的友情和爱情观有改变吗？你多了点儿谁的特质呢？看完6季，能发现，事情在变，友情观，爱情观在变，我们都在变。            
(NA)	 从7月看到11月……            
(NA)	 喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢            
(5星)	 爱情是她们生活中的过客，友情是不变的牵绊            
(5星)	 心目中的new york ,心目中的Manhattan.......            
(5星)	 最爱欲望都市            
(5星)	 永远力荐 看多少遍都不够            
(5星)	 这季变化超大，k订婚又分手，s离婚了，m成了单亲妈妈，s，另一个啦，竟然恋爱了。哇哈哈            
(4星)	 貌似我对这一季比较有感觉~~            
(5星)	 We all share the intimacy problem            
(5星)	 大爱！！！            
(5星)	 讨厌死Carrie了，Aiden在这一季超级帅            
(5星)	 艾登艾登            
(3星)	 衣服的配搭倒是很好            
(5星)	 永远的经典。买碟珍藏咯            
(5星)	 在欲望都市第四季第六集，大伤过后的凯瑞想要跟艾登复合，夜半在楼下用石子投掷他家的窗户，将他敲醒，投入怀抱。而在现实生活中，分手就是天涯，我们不知道旧爱住在哪里，更加不知道他现在的窗户，用石子使劲掷出到底能不能够到。还是向萨曼莎学习吧，贴上橡胶乳头，凸点那么销魂，男人统统横扫一空。            
(5星)	 Carrie and Aiden&#39;s bitter ending            
(5星)	 Samantha，I love you！！！！！            
(4星)	 影响最深的就是，凯利穿着D&amp;G的内裤走在T台上，狼狈的跌倒。然后从容的爬起来，继续优雅的走到T台最前面。。。有时候我们最需要的就是重新站起来的勇气，并且继续前行~~            
(5星)	 你們永遠都是我的女神。            
(5星)	 now i know why &#34;i miss u i missed u&#34;             
(5星)	 唯一追完了的美剧。。。            
(5星)	 时不时的会讨厌Carrie和Big。优柔寡断。似有若无。            
(5星)	 陪我度过了整个大三的一部剧            
(5星)	 最爱最爱SATC！！！全季看了不下6遍了！            
(3星)	 the one in your heart,is always there.            
(5星)	 最后一集之前的BIG真是讨厌死了。最后一句独白还真是动容。            
(5星)	 babe！            
(4星)	 这一季发生了好多事啊。我突然哼起一句“眼看这一季就要过去，我的春天，还没有来~~”，哈哈。另外一个好朋友失恋了，我安慰她的时候，说让她重看几集这个，她说我们疗伤的方式好像啊。            
(3星)	 这一季感觉一般 我的艾登 呜呜~~~            
(5星)	 感情生活中的争执最麻烦就在于没有裁判            
(5星)	 Loveholic~            
(NA)	 不看了……根本就是恋爱观太扯淡            
(5星)	 艾登真是个好男人啊（our leaving , our new ways）            
(4星)	 最喜欢的美剧 喜欢每季每集每句            
(4星)	 女人的梦想...            
(5星)	 http://www.tudou.com/playlist/playindex.do?lid=8728039&amp;iid=52633162&amp;cid=22. 2-想起Melrose的final round. EP13神作！！！15-marriage。17-father figure.            
(3星)	 第2集和第9集挺搞的            
(5星)	 我一直都喜欢            
(5星)	 经典。            
(NA)	 让我学会很多            
(5星)	 这是个很好的服装搭配以及美式纽约口音教材，并且，让我想起了蜗居。无论中国还是美国，这是男人都无法释怀的吧。            
(5星)	 爱            
(5星)	 Welcome to the age of uninnocent.The mind of very fashion real and no cover we should keep.            
(5星)	 生活不易……            
(5星)	 人的胆量和年纪也许是成反比的。深夜观看《欲望都市》，当比格遂了电视机内外姑娘们的愿，和凯莉公然出双入对的时候，我没有勇气点击鼠标，去承受下一集必定出现的跌宕。完美的爱情总是可遇不可求。在追求这份完美的路上，我们渐渐丧失了最初的执着、勇气，还有初衷。            
(4星)	 继续讨厌carrie和charlotte            
(5星)	 then, now and forever            
(5星)	 经典美剧，近来出了第二部电影了，可惜几大主演都老了            
(4星)	 carrie is such a bitch!!            
(4星)	 想起瑟曼萨的经典一句，放眼望去，这房间里一半的人我都睡过。。。真乃女中豪杰也，也只有她能睥睨男权。            
(5星)	 美剧启蒙            
(5星)	 Aden告别Carrie的生活了，于是她还是逃不过Mr. Big。可是我那么喜欢Aden，于是我庆幸自己不是Carrie。            
(4星)	 学爱情。            
(NA)	 超级讨厌carrie！大爱amanda!            
(4星)	 S4E02 T台这段很精彩            
(1星)	 只是不合我口味            
(5星)	 需要复习的美剧。            
(4星)	 后期成习惯了··解闷的习惯            
