http://movie.douban.com/subject/4813169/	单身毒妈 第六季 Weeds Season 6
(5星)	 真心越来越讨厌Nancy！！Selfish！！！Andy好搞笑！！！每一季最后一集都很有黑色幽默的风格呢啊            
(5星)	 结局真是很。。。。词穷了。。。            
(4星)	 剧情有点不按套路出牌了 编剧好像在听上下不来的感觉  还好吧 亡命天涯 过随机的生活难道不是大多数人可望而不可及的事儿吗            
(5星)	 看完第六季了！！我真棒！！！！而且发现还有第七季！！！！            
(4星)	 逃亡神马的最喜欢看了（¯﹃¯）            
(5星)	 最后一集实在太酷了！！！！！！！！            
(4星)	 前半段满无趣的 后半段总算恢复了            
(4星)	 shane混蛋得让人无力承受啊。            
(3星)	 这一季算是系列里最不好看的一季            
(5星)	 我恨这季的编剧！那个死墨西哥怎么还不被克掉。            
(5星)	 越玩越大了，之前那些出彩配角都没了，anyway，我怀念的是在教室里看掉的前五季 第110季            
(4星)	 hooked!stoned!!            
(5星)	 第二季以后最好的一季 5颗星给silas，andy，guillermo。Nancy演到第六季仍然是差，顺利排进最不喜欢的美剧女主角 剧本身太帅            
(5星)	 在有很爱的演员但是戏份不多 剧的吸引力又不是很大的时候 看不看就是dilemma啊！            
(5星)	 i miss Celia!! plan C is heart breaking!!            
(4星)	 结尾+1分            
(4星)	 和你在一起。            
(NA)	 酷到家！第七季有没？            
(4星)	 Holy shit..            
(NA)	 最后一集真是心酸又刺激，最终季~等你~            
(5星)	 想看第七季！Nance会上演越狱么            
(5星)	 片头亮点 五星结局！            
(2星)	 严重的失望！太纠结，太勉强！            
(5星)	 生离死别啥啥啥的真叫人受不鸟            
(4星)	 不离不弃跟相濡以沫一点关系没有。            
(5星)	 让我如何不爱你们!!! 等7~~Nancy Botwin you are such a f**king smart lady...oh oh and sexy =] plan C rocks!!!!            
(4星)	 你还敢拍吗            
(5星)	 showtime太给力了            
(5星)	 一季又完结了又陷入漫长的等待了。。。。            
(5星)	 呜呜……那个Baby太cute了 PLAN C f**king awesome!            
(NA)	 牛逼            
(5星)	 最后一集极具杀伤力地让人心疼。。。            
(5星)	 Mary-Louise Parker, I love you so much!            
(5星)	 MILF=Nancy Botwin !!!            
(5星)	 hi            
(4星)	 故事线明显不如之前了，编剧的创意都用在了每集变化的片头了么。。。看在女主露点激情戏的份上，加上一星。。。            
(5星)	 Hey Ho! Nancy Oh Nancy~结局啊结局            
(5星)	 Silas is my new XXXXXXX            
(3星)	 结局救了整季，不然就是一烂到底了            
(3星)	 哎哟卧槽9.1分。。。。。。            
(5星)	 季终发力，一扫颓靡～            
(4星)	 Silas最终还是没走。编剧对Nancy也太好了，把一家人祸害得那么惨大家还是心甘情愿围着她转。            
(NA)	 结局是反转剧一样的            
(4星)	 What an awesome season finale!!!            
(NA)	 影响太大了。。看完之后在家里边抽边对哥哥们傻笑            
(3星)	 毒妈越来越不毒了虽然结局还是满带劲儿            
(NA)	 plan c！            
(4星)	 毒妈最后的plan B上演惊天大逆转 但我为什么看哭了            
(NA)	 变公路片了...            
(4星)	 有才～            
(5星)	 太经典的！！！真是太鬼马的一个剧了！            
(2星)	 road trip..............放弃            
(5星)	 13END SHOWTIME 2010            
(5星)	 虽然故事一样精彩，毒妈依然很辣，但是总感觉不如前几季给力。希望下一季更给力！明年见喽！            
(5星)	 Goodbye Nancy Season 6 ，Hello Miranda Season 2            
(5星)	 听说是最终季了，有点伤心啊...            
(4星)	 除了風韻不減的mary-louise parker，這部美式夢想與生活劇還有不少驚喜。            
(5星)	 哪个说是最后一季的？            
(5星)	 编剧是不会让conrad回来的了。。。我死心了            
(5星)	 第6集Hunter的手语好下流啊，哈哈哈哈            
(5星)	 明年夏天见！            
(NA)	None
(4星)	 这一季的nance真是够讨人厌的            
(4星)	 数学老师你的洛丽塔情结让人好伤感啊！            
(4星)	 期待nancy第七季的崛起=。 =            
(NA)	 silas好喜欢            
(5星)	 你总是迟到，谎话连篇，你聪明过人，不甘平庸，你冷血自私，骄傲慵懒，你是Nancy，也是咪。Ps:Silas和baby养眼。            
(4星)	 还是比较喜欢第七季            
(5星)	 结尾是要哭屎啊!!!!!!!!!!            
(5星)	 感覺這季不如之前的給力啊。半星給之前五季打下的無比喜歡～            
(3星)	 结束的时候算是醒了么            
(4星)	 I like the plan C.            
(5星)	 仅此一妈            
(NA)	 第七季 什么时候才能出来啊。。。            
(3星)	 多少有点无聊了，现在的单身毒妈都有点像是越完狱以后的越狱，有点可看可不看的感觉。不过最后的结尾还不错，每次看见市长都觉得这男人苦逼到了极限，我相信他是真的爱着nancy的，但每次都那么一点点，似乎已经抓到她了，但她总是能从他手心逃走掉。            
(5星)	 最后一集最后几分钟真的太绝了！太绝了！            
(4星)	 MLP美死了啊啊啊            
(5星)	 臥槽！！劇情回光返照了！！！！！plan c真心辛酸啊~~            
(5星)	 一季比一季好看！            
(5星)	 惹大麻烦逃亡季。拆伙向往新生活，季终集逆转不二般。还是那句话，毒妈身边的男人没一个好下场。            
(4星)	 很有公路电影的范            
(4星)	 这一季有起伏和跌宕，还有意料之外，终于开始变回我以前中意的weeds了。 But why she always would not choose the easy and simple road to the happily-ever-after? Why are we all this fool？             
(5星)	 我中了WEEDS的毒了，超爱这个坚强～聪明～胆大～风韵～放荡~大眼睛NANCY～ANDY也越发可爱了～成熟了～大儿子成金发大帅哥了～小儿子依然正太～继续追剧～～～            
(2星)	 看了之后一阵紧张。。。。what am I suppose to do！if my own son and daughter do the same thing like this drama，and what if I don&#39;t have enough money！            
(5星)	 牛剧！            
(5星)	 Shane的變化讓這齣戲變得很有時間感            
(5星)	 我怀念Celia和她的胖女儿...T^T            
(5星)	 很好看。但是不准备看第七季了，虽然我爱silas，我爱andy。nancy除了母爱我真找不到待见她的点。            
(4星)	 每当你以为山穷水尽，却总能柳暗花明            
(4星)	 结尾fucking good            
(3星)	 身材越来越好了。。。            
(3星)	 这季好无聊啊            
(5星)	 一口气看完啊 太搞笑了~最后好反转            
(5星)	 road trip！            
(NA)	None
(4星)	 不是很喜欢这一季的逃亡风格。。。            
(5星)	 今天才看完S6最后一集，精彩！Nancy的老师最后被带走，这个不讨喜的角色在最后一刻才闪现亮丽的光芒--为爱的人做了一辈子的“愚蠢”的事情。结尾太让人挠痒了...等第七季！            
(4星)	 这个妈是个有事没事指挥小叔子又不跟人家在一起，四处勾引人的没六小骚货···  Andy真是郁闷，俩儿子摊着这么个妈，郁闷+N···            
(3星)	 第六季太悲催了~~~            
(3星)	 到了第六季 我对nancy的讨厌真不是一点半点了 andy快去和你侄子搞基吧 别在这浪费感情了            
(5星)	 一直觉得很贴近现实世界的美剧啊。。。。。。五五个星星！            
(5星)	 i&#39;d like to take this season to be the ending of this series. at least it kind of &#39;happy&#39;...            
(5星)	 season finale里哭点太密集            
(4星)	 这一季真的让人很纠结，Silas对于大学生活的渴望，Andy第一次那么渴望想要成家安定。但是面对现实，在理想和亲人之间不得不做出抉择的时候，真让人纠结。            
(4星)	 跑路的日子也不好过 但还是充满了艳遇 搞笑 哈 最后毒妈为了大家被警察抓住 不知道下季要从何说起呢  期待下季！            
(NA)	 NANCY说话表情特别可爱             
(4星)	 没有前几季好看，但是结局很不错。            
(4星)	 或哟这一季到最后好桑感…………            
(5星)	 真是精彩~好多脏话~我喜欢~            
(4星)	 刚刚看完这一季强大的结尾~planC。。。第七季要大结局了？            
(4星)	 Plan C, Nancy 越来越有老大的气质。            
(5星)	 fantastic            
(4星)	 这一季木有前面精彩了            
(4星)	 1~5季基本套路都差不多，主题是傍大款。看完第五季发现貌似没有更厉害的大款可以傍了，也没兴趣继续看下去。第六季的主题是母爱，应该还有家庭吧。笑点很精彩，是可以看得懂的黑色幽默。值得推荐。            
(5星)	 最后一集绝对水准以上              
(3星)	 隔了N久，终于最近看完这季。。。还是第一第二季比较好笑，这2季有些无聊了。            
(4星)	 毒妈运筹帷幄的能力是越来越强了，尤其是最后一招plane c实在是太绝了！            
(5星)	 等下一季 不知道编剧要怎么搞            
(4星)	 第一集和最后一集，其余就是nance和andy优雅的调情，嗯，到说再见的时候了            
(5星)	 看来weeds是要走向结束了，这一季celia完全没有出现，doug也回家了（还没完全搞定，下季应该还有他的戏），老妈把andy和两个儿子都送走了，独自面对一切。            
(5星)	 辣妈。帅儿子。            
(5星)	 向编剧致敬！            
(4星)	 好看+尺度大（但内心一直有个疑问就是：看过此剧后三观不够正是非不够明的同志会不会因此而受到蛊惑走向不归路？！大概还是乃生长在红旗下的娃，洗脑多了不免想太多......anyway,发生在五星红旗国度的话，再好看，被条子抓住也只有死刑一条......厄...我又话唠鸟...）            
(4星)	 我爱andy~~~            
(4星)	 前三季的水准一去不回了，哎~            
(2星)	 这种类型的美剧给这么低分，真难得。最主要是没什么新意了，看得我烦，而且越看越讨厌nancy。不过记者是个有点出彩的龙套。            
(4星)	 plan C 。。。厉害            
(5星)	 看到第五季的时候就觉得我们的Nancy已经不是一个简单的卖大麻的了，她威胁人的气魄，她对恶势力的报复和她一次比一次好的桃花运，我的天呀~~~已经不能再叫她毒妈了，而且她又结婚了。看这个样子，那个市长又要死去了~可怜的娃呀，下次还有更高一个层次的大毒枭吗？第六季的逃亡一定也很精彩            
(5星)	 你看这9.0的评分 难道是个意外吗？            
(5星)	 惯性吧  这季看着太乱了            
(5星)	 本来第五季已经对她完全失去好感了，这一季却又搞得她如此伟大。            
(NA)	 就喜欢看Nancy穿着印花低胸dress+wedge，手拿咖啡杯咬着吸管的样子，只是不知道还能看多久，一年还是两年。能不能别完结            
(5星)	 现今最有意思的美剧            
(3星)	 第七季该越狱了            
(4星)	 great TV series            
(4星)	 最后一集十分精彩，十分纠结。又要等到明年。。。            
(3星)	 前十二集属于无情节状态。。到了本季的最后一集。。OMG。。散线全部交错带动情节急速发展。。plan c。。牛的不行了。。这就是这部剧的魅力。。到了最后一集再发力。。逼着你们看下一季            
(NA)	 爱是本季唯一的主题。有人说前面几集看着平庸了，那最后一集又震憾了吧。飞机上要走的，飞机下要留的，被警察带走的数学老师，整个结局都是爱的导向了。            
(4星)	 还好下一季就是终结季，要不这越来越扯的剧情真没信心继续跟了            
(4星)	 shane我的爱。。。            
(5星)	 再次的，配乐是亮点            
(4星)	 不如前几季给力了，但是这季很有公路片的范儿            
(5星)	 居然被最后一集的爆点感动地泛泪光……　每次再见都开始期待夏天~            
(3星)	 越来越不给力了，也就季末能留个悬念。            
(5星)	 这一季的结局还是一如既往的保持高水准，明年什么时候来啊~~~            
(5星)	 刚看完第10集            
(5星)	 nancy是个好妈妈~ 这季太TM伤感了………………            
(5星)	 编剧绝对超一流。            
(5星)	 比前几季还是差了点            
(5星)	 大结局的歌真的不错。            
(5星)	 nancy老了            
(4星)	 刚开始觉得女主太酷了，后来觉得她有点bitch。            
(5星)	 不至于就这样结束了吧            
(5星)	 这季比前几季都要好看哦！            
(3星)	 毒妈很性感、聪明，最最最重要的是每次都化险为夷，编剧对她真友爱。。。好像不怎么更新了，比较遗憾            
(5星)	 一口气今天看完一季，showtime从来没有让人失望过。            
(3星)	 我怎么觉得越来越偏离主题了呢            
(4星)	 又开始卖了耶～            
(2星)	 干脆把名字改成SLUT好了，跟大麻没半毛钱关系            
(5星)	 oh my lady gaga, you are back!            
(5星)	 生活真绝望...这一季是不是就完了？            
(4星)	 到底是不是最后一季啊？！            
(4星)	 结局居然玩了这么一出...期待下一季            
(5星)	 毒妈归来 依然的我最爱            
(4星)	 永远能置死地而后生啊            
(5星)	 毒妈回来了。这回是三个儿子了。大儿子越来越帅气。二儿子超级鬼马。三儿子也太萌了。哈哈。andy可爱。好看惨了。慢慢品味哈。坐等第七季。            
(5星)	 最後一集看的我都快哭了！Shane在飛機上問Andy她是不是不來的時後，我瞬間有飆淚衝動。            
(4星)	 最后又虐到了            
