http://movie.douban.com/subject/3402975/	败犬女王 敗犬女王
(4星)	就算是所谓的“败犬”，也要爱惜自己。
(3星)	拖沓的剧情减1分，又恶俗又长的对白（告白）减1分，阮经天性格10集左右大突变减1分，完美学长完美过度减1分，话题不错偶像感不错加2分
(3星)	一句到尾，从傻妹公主涩女到女王女巫熟女剩女，都不能没有男人的陪衬。编剧用了20集来阐述孤独是可耻的，再用1集来扳回这个观点。
(3星)	JJ、阿母和主任这三个角色太有意思了！
(5星)	关键词：狮子座，水瓶座，姐弟恋，异地恋。PS：难得有部台湾偶像剧能入眼的，还让我打了5星……
(NA)	真心值得被对待 他们就想简单的在一起~
(3星)	生活不是电视剧啊，不得不再次感叹小阮身材真好呀
(4星)	关于爱情的逝去与得到。
(5星)	。。。完了。。。我开始看台剧了。。。
(5星)	好看
(4星)	出事了。。我居然有共鸣 Orz
(2星)	看不下去
(NA)	拿它和日本的anego比。。。压根不是一级别的。。唉。。
(4星)	眯眯眼和女王 還不錯。    P.S.日出那段很美。
(3星)	如果败犬都如杨谨华一样，那就不是败犬～而是女王
(5星)	好有爱
(3星)	後面好煩
(4星)	虽称败犬，却依旧趾高气昂。
(4星)	7月30日生，咬人不会叫的狮子座，O型血——罗密欧说这段话的时候我浑身一颤——yes，说的就是我
(4星)	杨谨华有郑秀文当年的调调喜欢看个十集差不多
(4星)	women,what you create is so amazing.
(3星)	果然，我还是不适合偶像剧。
(3星)	看个热闹还蛮好玩的~
(NA)	早上搭公车的时候看到一些片断，有意思。/ 阮经天认真时候的样子不错噢。
(3星)	到最后竟然没兴趣看完了！
(3星)	爱要及时 没有如果
(3星)	全剧精华在于倒数第二集两人长达几十分钟的吵架。无论台词和表演，都令俺啧啧惊叹。
(NA)	一个人其实也可以过的很好~
(NA)	看不下去。。。
(4星)	杨谨华不错
(4星)	看我的笑起来。优秀的女人是败犬？结局有些狗尾续貂
(3星)	又是一个虎头蛇尾的大团圆
(3星)	我是冲着阮小天撕安全套的床戏去的~~当里格当当里个当！
(5星)	给五星是因为阮小天后面越来越拖沓，最后一集实在只得一星。
(3星)	第九集以后就开始拖沓了。。。如果浓缩一下，二十一集的内容，十五集的时候就可以完结了。。。真是
(5星)	绝对是部有深度的偶像剧！
(4星)	还是粗糙了些。
(4星)	姐弟戀再教育課
(4星)	张怀秋演这么好哇，卢天成那老头我也很喜欢
(4星)	半路杀出的优质初恋程咬金真是带着闪光啊。整个故事不得不说是精彩，杨谨华着实打了个漂亮的翻身仗。不过还是带有台剧惯有的弊病，趁着收视好就狂灌水，拉低了不少电视本身的质素。
(3星)	算是稍微有聊的台剧
(NA)	逻辑力训练“之前的痛苦沉默，就是为了这一刻而存在的。” 
(3星)	看看预告就可以的偶像剧
(4星)	好吧我就是爱看老女人嫁不出的故事怎样、
(3星)	基本上10集之后就不用看了，太能拖了
(5星)	即使是童话。也会相信。
(NA)	多年不看宝岛偶像剧…果然还是不能适应
(5星)	即使等不到那个对的人,当个败犬又如何?反正我是女王
(4星)	飞鱼师兄推荐。因为我像那个女主角。
(3星)	给阮小天四颗星，杨谨华两颗星，偶真是看不惯你的脸和那个蘑菇头，SO，最后还是三颗。
(4星)	意料之外的好看~~~不过，自学长走了之后就没看下去了~~
(4星)	我要学长…………
(3星)	烂尾了~
(4星)	12集太赞了。阮经天演技出神入化了无痕迹。
(4星)	我爱职场剧，我爱御姐！
(4星)	谁说单身就是败犬，在我心里你是女王。
(4星)	虽然后面开始拖沓。。。依旧欢迎参观绝种好男人= =
(4星)	好久沒看過台灣偶像劇了。雖然這戲的題材已經比較現實，可是，我覺得，盧卡斯這樣的男人大概絕種了。
(4星)	前10集五星。五月终于完结了。
(4星)	我喜欢怀秋
(4星)	咬人不會叫的獅子座.
(3星)	爱要及时，没有如果~
(4星)	Happy ending~
(4星)	start fr hr
(4星)	中国终于也有anego了，不都是师奶真好
(5星)	前几集很喜欢。之后就没看
(3星)	我只看有阮经天的台剧
(5星)	我想我找到了停下来再继续下去的理由。
(4星)	爱要及时，没有如果
(3星)	妈的。跟了这么久。终于完了
(4星)	敗犬和小草莓之战～
(5星)	果然还是没有结婚的呀
(4星)	虽然抄达子的春天,不过冲着杨瑾华,忍了
(5星)	2009.5.14
(4星)	谁说单身就是败犬，因为在他心里我就是女王...
(3星)	难得看一部。厌倦了。
(4星)	无论是败犬还是胜犬 都要开心的生活。虽然不是每个单无双都能这么好运的保养良好并且遇到卢卡斯这样的男人 可是至少要快乐。单无双说的好多话都很经典励志 阮小天更是帅毙了。
(4星)	追偶像剧很累 = = 这部也应该是今年追的为数不多的一部吧 还行 女王最终不在是败犬了！
(4星)	21集 完结 这算什么结局啊？！
(4星)	其实……还不错啊……
(4星)	這幾年中比較成功又討喜的一部臺灣偶像劇。
(5星)	像我这种，必然会成为剩女、败犬的人来说，这部剧真他妈太治愈了。
(4星)	唱衰？不可能。
(4星)	还不错的偶像剧。
(4星)	喜欢北极熊！
(NA)	星空卫视放的都是些台剧！华娱全是韩剧！
(5星)	虽然有部分狗血的剧情，不过真的把大龄女的那份彷徨无助，那份压力和无所适从演的淋漓尽致。主要演员的表演还算成功，没有台剧惯有的太用力表演，算是台剧里的精彩之作了。部分剧情让人联想到《悠长假期》。
(4星)	主要是小天挺帅的。
(NA)	有一集卢卡斯抱起无双，我们宿舍的姑娘们来回来去的让我重放了十几遍...
(3星)	哈哈哈哈。。陈为民+宋新妮
(NA)	新年时32岁又7个月，算下来是金牛座
(4星)	一星给小天，一星给大炳。女主还不错，但真的有点讨人厌哈哈。
(4星)	8
(4星)	“最重要的是，我还活着，可以继续爱你；你在身边，就是奇迹；幸福的标准，由自己决定”原来从偶像剧，也可以获得力量
(4星)	漏洞百出又狗血的多角恋爱故事。偶像剧里的成功案例其实并不是偶然的，我们只看到了压缩后的片段，而没有看到背后的一切。时间真的是一个可怕的杀手。若换作是我，我会选择允浩吗？
(5星)	原來..曾經的感動源於它感同身受...
(5星)	4年后，如果我还没把自己嫁掉，就再看一遍。
(NA)	梁静茹。。。
(5星)	我熬了好几个晚上 终于结束了  老话啊 佛地女魔她师兄身材可真好啊。。
(4星)	近年来看过非典型的台剧。很喜欢最后一集，但是中间还是狗血了点，毕竟是台剧嘛。男女主角的表现可圈可点
(NA)	终于看完了，后来我就开始快进了。。。
(NA)	眯 眯 眼
(4星)	饱含人生哲理的台词，太多命中的台面演员，每次看见林美秀的表演都忍不住爆笑或者心暖……前十集很写实，后面很言情
(4星)	我30歲的時候會有一個26歲的帥有錢醫生來娶我。嗯哼
(5星)	感同身受
(4星)	小天天~~~
(4星)	曾经看了一半烂尾，今天终于圆满了……BTW，以前觉得小阮没电视里捧得那么高，如今看了杨谨华帮明道的新片，忽然觉得阮经天其实蛮不错的……囧
(3星)	看到女主与学长未结成婚就忍不住看简介了 看完简介就不想看电视剧了 这剧情打着姐弟恋的大旗 可惜，还太美好，不现实。。。
(3星)	跟着老婆看偶像剧！
(4星)	我还是会选那锅有点盲目冲动但是真心百分百的正太小草莓~
(2星)	看了第一集就沒衝動看下去了
(4星)	我只是想看温升豪~~~
(NA)	我要回去在人民公园相亲去。。哈哈
(NA)	你值得被真心对待。
(4星)	天赐我个阮经天吧！！！！！！！！！！！！！！！！
(3星)	一般一般，有点太扯勒，感情不深，纯属娱乐
(4星)	如果你一定要看台湾偶像剧的话，这部应该还能看看
(4星)	阮经天啊阮经天~！！！
(NA)	少数几个看得下去的台剧之一，温升豪是我的菜。
(4星)	童话就是童话，他们最终还是没有结婚，不是么？
(4星)	阮经天这样的24岁的打工仔，大概就算女方是54岁，大概也会想和他在一起吧
(3星)	看前面一半就好了。然后梁静茹的OST还不错。熟女当道呐！！
(5星)	好久没看台湾剧了，及其无聊的周末不小心搜到惊喜感，HOHO~~~作为一个资深大龄女青年我实在不相信花美男会爱上老女人。。。。嗯哼，但是对这种剧本太买单了~顶无双，鄙视装纯装可爱的佳佳。单纯可爱个毛毛啊，男人都很瞎的。
(4星)	这两年唯一一部看完的台剧，很不错，贴近现实又非常有趣，结尾有狗血的预兆还好刹车了~ 卢卡斯同学非常非常苏&gt;&lt;
(4星)	北极熊学长最有爱了
(3星)	弃之。
(4星)	虽然完全可以压缩一半......
(4星)	前10集不错.有允浩的都不好看.
(5星)	我曾经是你的梦想 擦
(4星)	额 其实故事挺好的-_-
(4星)	谁说单身就是败犬。
(4星)	老实说，很感动
(4星)	阮小天微表情實力派！老梗新裝~
(3星)	女人中的MAN，不错
(5星)	trust your feeling
(NA)	看了这个 完全拜倒 卢卡斯太完美了啊啊啊啊啊啊啊啊啊
(4星)	姐弟..
(4星)	难道女人的胜负，真的必须取决于男人 再不怎样的女人有了男人就是抬头挺胸的胜犬 没有男人就必须垂头丧气，乖乖贴上败犬的标签吗？ 阮经天还真是挺帅的~
(4星)	在无双身上好像看到了自己。。。
(NA)	男主角是个烂情的大贱人内……+1
(4星)	MB偶像剧拍得这么煸情,是叫老娘哭死啊...
(NA)	我仿佛看到30岁后的自己。。。
(4星)	有点长，不过值得看。
(4星)	越到后面越白痴
(NA)	总是被推荐这个，某非大家都觉得我是大龄剩女了？而实际上，我不是很喜欢，或者是因为一直还没有被剩下的感觉。。。。
(5星)	只要你坚持爱，坚持梦想，活出自信。你就是不败的女王。
(3星)	烂尾了对我来说。
(4星)	Be dead,and to rise from the dead
(4星)	找回心跳的（能）（動）力
(5星)	罹患偶像剧综合症 。。。
(5星)	让我想了很多。也许未来不是我想象的那么简单
(NA)	中途弃。不过就是六年，误会，就这样喜欢了小帅哥了。不喜欢哦。剧情。
(3星)	这真是太超过了~~~哈，喜欢单无双的女王性格，凡事不认输。33岁的女人怎么了？33岁依旧可以美丽，33岁依旧可以充满魅力。自我完善才是实现人生价值的重中之重。
(4星)	人物养眼有气质，结局和《命中》一样有些拖沓，扣一星。
(4星)	呃。。。我也看台湾偶像剧了。。。还蛮好看的
(4星)	18集最好！看着太阳出来的那一刹那，万种滋味上心头
(NA)	梨花帶雨啊梨花帶雨
(4星)	看完命中来看这个简直觉得小天人格分裂==。无双是典型狮子女。小天在这部戏里太深情了。就是喜欢深情型~
(5星)	八年的差距我们一起弥补，你可以为了我穿超短裙，我也可以为了你穿西装打领带。只要我们在一起，什么都OK。喜欢这个剧~
(NA)	当搞笑片看~
(4星)	以后千万在开始之前，搞清楚长度。
(4星)	其实挺好看的。。。。= =||||||| 最起码画面看起来够舒服~
(4星)	下一代推荐我看的电视剧。。。甩帅和煽情段落要是能节制一点就好袅~深情的话，总觉得不需要那么多。几句刻在心上就好啦。春枝小姐和JJ很有爱~~~
(4星)	Leslie說、我不覺得無聊 我只是想要參與你的生活。
(NA)	爱上比自己小两岁的家伙算什么。断断续续的看着，并不是一部很精品的台剧，只是在看的过程中能被偶尔感动到，已经算是对爱情重拾一点信心。
(NA)	你值得被真心对待
(4星)	卢卡斯不常有，可我们总要许自己一个未来！
(4星)	后面太假太拖 幸好前面不错
(3星)	没看完，不过偶像剧嘛结局都那样，男女主人公幸福的在一起了。。至于在一起之后的事情，谁知道
(4星)	冲某日志摘要而去！但碰巧刚才那个测试......很准很准。虽然后面几集真是烂，但是总体还算很推荐的。卢卡斯！阮经天！！！
(4星)	剧情虽仍旧小白，演员演得还不错。
(3星)	杨谨华很美，故事的开始很精彩，直到允浩出现。看到14集，外加大结局。能看的台剧。
(NA)	里头的笔记本竟然都是lenovo，宏基情何以堪阿
(NA)	囧
(4星)	狗尾续貂。我也很清楚那种默默等待而不能发问的心情。
(4星)	你值得被真心對待。
(4星)	比较少看台湾的偶像剧。不过这本还不错。
(5星)	我好喜欢Lucas这个人物噢 纯真又成熟 勤奋努力又有责任感 偶像剧果然是美好的很超过~
(4星)	“八岁的差距我们可以一起弥补啊，你可以为了我继续穿迷你裙我可以为了你穿西装打领带，我们可以一起看你爱看的外国电影，你可以陪我一起看我爱看的热血漫画，只要我们在一起就都Okay啦，如果累了没车我可以背你回家，如果你心情不好我可以陪你上天台看星星，没有金钱堆砌的恋爱也不见得不浪漫啊”
(5星)	卢卡斯 单无双这名字起的到时蛮耳熟能详
(4星)	被感动好几次。【我不要再一个人了】
(3星)	我需要减压 我需要放松
(2星)	第一集就被雷死了
(3星)	资料有错啊，哪有 姚元浩和唐从圣 
(4星)	之前以为只是炒作大龄未婚女话题题材的片子故没有看。/ 比想象中好看，剧本、演员都很不错。推荐：）能够提高EQ的片子~
(4星)	最后两集一直搁着没看，这段时间忙碌的间隙会看两眼，终于看完了。是迄今为止我最喜欢的台湾偶像剧了吧。特别有爱的人物设定+特别有爱的男女主角，偶像剧能占齐这两样，就足够了。以及想起某人还剪了个类似杨谨华在里面的发型来着，哈哈～
(4星)	要是没有狗血的三角恋，我会给五星的。不再是童话公主，有钱公子的台湾偶像剧，我真的很喜欢这个33岁的单无双。
(4星)	很精彩!每个人都是值得被爱的
(4星)	从平安夜开始看，时间同步了。陪我度过的那一段难捱的时光。看哭了好几次。
(5星)	真不应该在期末的时候败这么好的偶像剧，以前都不看的
(4星)	胜犬败犬又如何？喜欢最后这个不再在乎婚姻和年龄的枷锁，爱恋人也爱自己的女王。世间本无事，何必庸人自扰之，其实海阔天空只需要一秒钟的时间。推荐给所有女性朋友。
(4星)	能够被感动，是件美好!
(4星)	当败犬也不容易啊……想到了蔡健雅的WHY——why真爱只应该给那些 软弱无助的女孩？其实坚强的女孩更让人心疼，因为她们不知道怎么疼爱自己
(5星)	我都觉得女主角似郑秀文....哈哈
(NA)	我怎么喜欢不上你啊 华姐
(3星)	不知所云的演着...
(3星)	十三集 弃 小双和学长在一起才是海皮摁钉
(4星)	8年的差距对我来说，从来都不是问题。
(4星)	我承认，我最近有点疯。
(5星)	虽是败犬，但仍是女王！
(3星)	我马上也算败犬了!可是没有女王气场。。
(3星)	绝不能当败犬，但可以当败犬女王- -
(NA)	超喜欢学长的呀·········
(5星)	老女人虽然憔悴点可还是个女人嘛~编剧不错
(NA)	南山无聊时之举
(4星)	 当看到11集 学长说“我的梦想：北极熊、泡面、单无双。”我决定给这个片子超过5星的评价。。。但是后来那夹杂出来的19、20、21.。。。实在是无法忍受这无厘头的尾巴
(4星)	最后几集有点扯　但是杨瑾华和小天真的很搭
(5星)	除开中间的一段，其它的都好的，很有教育意义。
(NA)	TwT我都一把年纪了还会给这样的偶像剧骗倒....
(3星)	浪漫一下先
(NA)	你的每个角色都是感动
(5星)	太好看了。真是太好看了。可能因为一直耍姐弟恋吧。我第一次约会也哭了，就像女王说：太久没有人说我乖了。就会哭了。强人和人敞开心扉一定会哭的。
(3星)	對惡心的臺灣劇實在無愛。如果不是睡不著只有星空衛視還有節目播....可是.....阮經天真是迷人啊....啊啊啊啊啊啊。++~~!!!原來鐘樓地下通道內衣廣告的麻豆就是楊謹華。sexysexy。
(NA)	虎头虎尾。但是中间不好看。。
(4星)	不知不觉我也快成败犬了……杨谨华是我喜欢的那种熟女类型。
(5星)	大龄女青年自我安慰之作
(4星)	难得好看的台剧
(5星)	终于在星空卫视看到和《没有玫瑰的花店》一样让我感动和启发的好剧！
(5星)	台剧中少有的 不做作不拖拉！喜欢 
(4星)	很小白，却泪水涟涟，很感动，却不得不嗤笑出声希望我三十五岁的时候，能找到让自己幸福的方法
(NA)	……
(5星)	一边默念逻辑混乱严重脑残一边流着眼泪看完~~~~
(5星)	偶尔快进 大多时候还是蛮乐的 喜欢这种既男人又男孩的男人。。囧。
(5星)	&#34;愛要及時 沒有如果&#34;
(5星)	...&gt;&lt;败犬女王。赞..!
(3星)	太不实际了
(4星)	只看前十集，不是因为后来不好看，而是因为我觉得学长和小草莓之间实在是难以抉择。他们两个加起来，基本上满足了女人对另一半的所有美好憧憬。
(4星)	阮小天的戏我真是没少看。。不是故意的，但就是都看到了
(5星)	其实我想说整个剧情和演员的表演在前面都很夸张不真实，我真不明白阮同学拍偶像剧怎么那么假。但是后面，女王同志的那些感受呀，还真是符合一个剩女的心情。呃。
(NA)	我喜欢杨谨华
(5星)	好爽阿。。。女人就该这么活
(NA)	好吧，，我承认我偷偷掉了几次眼泪。。
(4星)	啊啊啊，我不做败犬！
(5星)	阮经天实在是可口哦！~啥时候我也能遇到My Lucas
(3星)	小碎组内推荐。：）
(5星)	很正的偶像剧。
(5星)	8岁的距离 也可以是无穷大的可能~
(4星)	石油氣爆炸..女角咁啱飛彈到隔離行車線一貨車上...世事現實會有咁如意幸運...= =&#34;&#34;
(4星)	支持杨谨华！！
(4星)	作为过山车大亨的伴奏，从头到尾听完的。作为台剧，品质还成
(4星)	吖吖吖！！！阮经天太魅惑了！！！卢卡斯是完美的好男人.无双很好~台词超级无敌经典.恩.他们在一起.很好很好.
(NA)	跳着跳着地看，反正又不用动脑筋。
(3星)	3.5 一定要嫁出去！！
(NA)	真的败犬应该会更受伤吧。这哪里是励志，简直就是摧残意志。有时间买株风信子，试试。
(3星)	除了“败犬”无意撞上一个超级好男人之外，其它还算基本写实，可以一看～
(4星)	这是一个专为白领设计的一个电视加音乐专辑企划。做得挺成功的。
(4星)	因为《命》才看的，看得我很拖沓，目前还有两集没看。也感动，我天生泪腺发达。个人还是喜欢《命》
(4星)	严格来讲不是偶像剧，难得拍的不让人觉得把观众当极端弱智的台湾电视剧
(3星)	本来还好，结果越来越拖沓……
(4星)	差八岁，还行我这个只差五岁
(4星)	前几集编剧很强大~~~后面就滥了。
(2星)	快进中撑到第10集左右,那个允浩学长现身的时候,终于看不下去了...姐弟恋的故事始终...不是我的那杯茶.
(4星)	帅帅的阮小天
(4星)	女主角性格也确实有缺陷，太傲娇了。。“太超过了”女很有趣。。神父那口音太挫了！有被18话女主角的词感动到。。19弃。
(5星)	好看~~有小天！！我爱的~~哈哈@
(3星)	现时我无聊~
(5星)	非常棒的一部偶像剧！！！演员的演技大部分都经得起推敲，剧情也比较顺畅，没有让人很不耐烦看不下去的桥段，这就是编剧的功底啦！男、女主角的演技特别值得称赞！杨谨华我看过她之前主演的电视剧，现在真的有很大进步，而且比原来更漂亮了！阮经天的演技也让我感到惊艳，非常细腻而且不做作！本人力荐
(5星)	好看！
(NA)	         。。。DLSN
(1星)	啧，不耐烦。好不容易熬完了。杨谨华BOTOX打太多，哭和笑都一个样。
(5星)	觉得好看的台剧
(5星)	又看一次
(4星)	前high后down。
(5星)	* Trust your feelings …… 忠于自己内心的方向 因为那就是我去哪里都不会出错的方向 * 爱死里面的小天了，卢卡斯~~帅毙了！单无双也喜欢到不行，好像是看到了自己：）
(3星)	阮经天~（星星眼）
(4星)	我怎么那么喜欢阮经天啊.......大爱单无双这样的女人
(4星)	失眠的今天，我看到第五集，我也不知道还能坚持看多久，失眠。
(4星)	不错的~
(5星)	又一个三张三。。。
(4星)	不要看完就很好看
(4星)	小天被调教的越来越会演戏了！杨谨华是俳优！我爱熟女~~
(4星)	姐弟恋确实不容易啊
(NA)	陆续在健身房看完
(5星)	10分10分10分！
(4星)	开始很好，后来就拖拉了，个人认为
(NA)	2009.6.17
(3星)	我是想說 就讓我做一隻驕傲的敗犬吧！
(5星)	什么叫共鸣！！！什么叫大龄剩女的共鸣！！！(PД`q。)·。&#39;゜
(NA)	看了一半后就直接结局了。哪儿是因为“败犬”而自信嘛，完全是有恃无恐。
(NA)	虽然剧情很白痴，但是还是想要看
(5星)	如果可以，我想评6颗星耶！看完后，我看到的是一个33岁女人对爱情和婚姻的态度的转变。不要管别人怎么说，单身也好，和小8岁的男友交往也好。只要自己过得好就好。只要开心就好。只要做自己就好。那么，为什么不可以呢。就让自己开心，并且健康的活着。爱自己爱的人和爱自己的人吧！
(NA)	看偶像剧就是会脑残。
(4星)	还好,编剧很用心地去把一个并不出奇的故事呈现于观者面前.
(5星)	找正太也要找这样的~
(4星)	习惯一个人冲在前面，习惯一个人走路的。败犬。
(3星)	优质男青年~
(3星)	冲着看美男和女主的衣服搭配去的
