http://movie.douban.com/subject/2124746/	溏心风暴 溏心風暴
(5星)	 虽然我又一次out了，还是觉得挺好看的。不过一个人能毁了一个家，确实让人感慨。所谓破坏容易维持难呀。            
(5星)	 常在我心的爱情很TOUCHING            
(3星)	 同样给三颗星，但是第一部比第二部要好。            
(3星)	 至少比家好月圆好一点。            
(NA)	 my love will get you home，boy, my love will get you home.            
(4星)	 断断续续。            
(4星)	 My Love Will Get You Home            
(4星)	 这部还是很不错的，也算是近年来唯一看过的几部电视剧之一            
(3星)	 现在的港剧没以前好看了            
(4星)	 看的林峰剪辑版，挺好的。            
(3星)	 听说很火很火，看的我很困很困~~            
(3星)	 看到不停的流眼泪。            
(4星)	 很久之前看过一半，今天拖出来看了常在心和alfred的结局。哭有时，笑有时，悲伤有时，欢乐有时            
(4星)	 争咩争啦？钱同情都系生带不来死带不去噶。            
(5星)	 你爸找你，你媽找你，你爺爺找你，你外婆找你，你老婆找你…… ……            
(4星)	 本来剧情值三星，Bosco的帅气扮相+1星。            
(4星)	 ·想起学校个助理好像真人版林峰·帅~!            
(4星)	 很喜欢的一部TVB的剧。            
(NA)	 Love was so beautiful。            
(4星)	 补：典型TVB，不过Alferd那条线是亮点            
(3星)	 常在新你是傻逼么            
(5星)	 溏心风暴，看完后，让我感悟到，好好一个家，从创业到衰退，原因只有一个，那就是当初大老婆不应该同意小老婆进家门当二妈，没有她，这家人会更好！六亿家产又如何，还不是被一群贪得无厌的人败坏！看看真气人！结局还算完美，最不完美就是还可以没和常在心好上。            
(3星)	 很不喜欢大鲍小鲍            
(NA)	 某个暑假某个台中午播的,上高中以来就没追电视剧的感觉了......            
(3星)	 家。。            
(3星)	 还可以吧，不喜欢钟嘉欣            
(3星)	 很TVB的片子，家族之爭。            
(3星)	 拿什么赶超顶峰时代？！            
(3星)	 不喜欢钟嘉欣和蒙嘉慧。。。            
(5星)	 有林峯，怎能错过？            
(NA)	 最后一幕太煽情了T T  【而且 钻石好抢眼。。。。】            
(NA)	 看的心纠啊...            
(4星)	 这种剧就是以纠结死你为目的T T。            
(3星)	 可怜的程亮！            
(4星)	 没有XXX的日子            
(4星)	 冲着黄宗泽才看~不过蛮好看的。关菊英要赞一个~            
(NA)	 我无聊了～            
(3星)	 从这部开始喜欢TVB的。            
(5星)	 不亏是TVB年度大戏。            
(5星)	 一切都因为一个‘钱’            
(3星)	 肥皂剧，just看看            
(5星)	 好久没看港剧，港剧居然也能拍得这么暴泪腺！王子原来不是Alfred而是得得地！常在心最后答应得得地求婚时差点再次大暴泪腺= =            
(5星)	 很赞啊            
(5星)	 好睇啊！            
(NA)	 我觉得不错的是第三者水擘擘            
(4星)	 除去我心水的阿姨们，我中意水擘擘            
(5星)	 欢喜好多人^ 陈法拉好好看!林峰很帅很老实哈！黄宗泽很有成功男人的范!            
(3星)	 看过为数不多的港剧之一            
(4星)	 陈豪,和钟嘉欣好看,林峰死的不值啊,还有那首歌好听,my love wll get you home            
(3星)	 我妈喜欢            
(5星)	 我只想作常在心，那样简单普通，如果你可以爱上那样的我就好了！            
(NA)	 峰少+BOSCO 剧情也不要了            
(2星)	 越讨厌的人越是演坏人~~越看越讨厌~~越看越纠结！            
(5星)	 关菊英！！！爱你！！！            
(NA)	 继续练粤语听力。            
(4星)	 不如2            
(4星)	 英文名Heart of Greed是在向大时代The Greed of Man致敬吗？            
(3星)	 很TVB。            
(3星)	 剧情不错，演员实在不感冒            
(3星)	 溏心风暴            
(4星)	 林峰那段好感人            
(4星)	 为什么要有钟包子            
(NA)	 一部很温馨的片子，让我思考了很多东西。很感慨和感动，家是讲爱的地方～甜得要吃，苦的也要吃。常在心，哈哈哈，这个自己也曾经用来作为昵称的名字～很值得一看，tvb又一叠峰作品～            
(4星)	 前14集看得斷斷續續，中間6集是拖着看的，後19集看的是簡單的劇情介紹。這樣的劇始終不適合我來一集一集的去品味。滿篇的妒忌，慾望，金錢，誤會。縱使一班我鍾意的演員，縱使有最愛的林峰，也不能忍心去看這樣一個擁有6億的家庭勾心鬥角，四分五裂，太過殘酷。            
(4星)	 喜欢里面的常在心..            
(5星)	 不错啊·            
(5星)	 最感动的是家庭温暖。有些人可欲而不可求的东西。我们要珍惜。            
(4星)	 重温完啦~ 很多吵架、争产的桥段真是看得肚肠纠结啊，怎么有人可以那么无耻兼不讲道理！其实主要是冲着程亮、在心和水擘擘的三角恋去的，以前没有看全，这次看下来感觉非常真实~ 相对来说，得得地真是一个更好的选择~ 只是太过完美，生活当中怎么会有这样的人呢？！            
(3星)	 卫视通宵档... ...宵夜吃太多反正睡不着            
(NA)	 好睇啊            
(NA)	 超级喜欢的TVB大戏            
(5星)	 不错 黄宗泽 你真的很帅            
(4星)	 以前看的，纯添加……            
(4星)	 大妈很厉害。            
(4星)	 很好看。            
(4星)	 Alfred 可惜是夹心            
(4星)	 那时看得纠结也很喜欢            
(4星)	 断断续续看的，还没有看完            
(3星)	 鲍鲍~他要是不死掉我会更喜欢的            
(4星)	 好感动，陈豪的表演简直是太TM棒了            
(4星)	 陆陆续续看的都觉得很吸引，真不容易啊            
(4星)	 My love will get u home.            
(NA)	 在上海看的一点点            
(4星)	 个人比较喜欢，喜欢三角恋那段，和陈豪的好好先生，被感动了。            
(5星)	 家和万事兴！            
(4星)	 钟嘉欣一哭，活生生一个囧字。            
(4星)	 还是不错的，每个人都演到蛮真实的。不过程亮最后，有点太戏剧性了吧……            
(4星)	 大老婆万岁            
(5星)	 adou            
(NA)	 比家好月圆好看            
(4星)	 你妈找你你爸找你你奶奶找你你爷爷找你你阿姨找你......            
(4星)	 陈豪是大娱乐家。            
(4星)	 不错            
(4星)	  常在心间            
(2星)	 得得地~这就是无数人推荐给我看的港剧            
(4星)	 好看是好看 可不明白为什么能拿那么多奖~峰少也就这个发型好看点 死的有点无辜！            
(5星)	 非常好，开始喜欢林峰            
(5星)	 秀琴其实也有点可怜【不喜欢钟嘉欣！很讨厌她】            
(4星)	 插曲很好听            
(4星)	 Gilbert的发音很喜欢，人就不咋的，然BOSCO戴眼镜帅呆了~            
(3星)	 还不错拉            
(5星)	 我爱小鲍！！！说到底，本剧是两个好朋友至欣的失去和常在心的得到的对照。            
(4星)	 不知道为什么满喜欢钟嘉欣的，虽然演得都差不多。            
(2星)	 TVB越来越差~~~            
(3星)	 看着看着突然觉得像小燕子！！小妈耍心机搞破坏，然后被发现被原谅            
(3星)	 钟嘉欣蛮靓的。            
(5星)	 一个家族的沉浮与家庭            
(5星)	 搞笑的成分穿插其中,非常好~~            
(4星)	 得得的~~~！            
(4星)	 真疯了！编剧真是变态~真够曲折的了            
(5星)	 平均每看1遍 会哭3次以上            
(3星)	 算不错，有起伏，有暗线            
(4星)	 转到哪个台都在放。            
(4星)	 家庭伦理,一开始不怎么好看,后来还不错            
(4星)	 TVB的又一剧 蛮不错的            
(3星)	 常在心 程亮 可惜的~            
(3星)	 卖鲍鱼的一家            
(3星)	 在我们身边已经不见了的大家庭模式。            
(4星)	 对我来说 最不想看到大妈死了。。。            
(4星)	 喜欢喜欢喜欢            
(4星)	 香港风格,家族矛盾            
(5星)	 我爱TVB~            
(4星)	 慢慢看着看着就有点味儿了~            
(5星)	 好看　            
(5星)	 亲情究竟是什么，在金钱与权力面前，竟然如此脆弱。            
(4星)	 [溏心风暴]            
(3星)	 钟嘉欣好像越来越红。。。            
(4星)	 为什么那么多评论都是在说程亮和常在心。。这部戏没这两人可能更好看            
(5星)	 好看             
(4星)	 典型的家族争产案，羡慕大家庭里的欢声笑语，富人也有烦恼，总体来说感觉还是蛮激烈的一场风暴。呵呵            
(4星)	 要是没钟嘉欣和林峰的戏份我可能会再加一颗星=。=            
(NA)	 哈哈哈~~~ 2部都看了 好字一个！            
(NA)	 在看。            
(5星)	 老娘好喜欢啊            
(4星)	 like the initial part of it...that is what we are all after...life won&#39;t turn out that bad in the end....            
(NA)	 TVB的家族戏永远都那么的经典啊。。。            
(5星)	 陈豪演出精妙到极；黄宗泽不功不过；钟嘉欣佩服她竟然可以一直都不进步。第一部比第二部有惊喜。            
(5星)	 我们都会原谅程亮虽然很疼            
(NA)	 我都佩服自己一口气熬夜看完，看完后眼泪哗啦啦。            
(NA)	 虎头蛇尾            
(NA)	 粉喜欢~插曲也很好听            
(4星)	 !!!!            
(3星)	 ...只能講我只系系無美劇英劇睇嘅情況下，十一放假極度空虛無聊睇嘅典型TVB家族戲...起碼可以孜孜悠悠睇電視送飯唔驚啃親...個人原因極度討厭成個蒸生瓜嘅鐘嘉欣連帶討厭佢同2個本來印象唔錯嘅小生嘅感情戲...=。=            
(5星)	 看了這個學了很多，很喜歡正直的大狀Alfred，喜歡幽默的得得地，喜歡那個嘻嘻哈哈的大家庭。            
(4星)	 就是策得            
(5星)	 很喜欢，如果最后林峰没死就好了            
(3星)	 可以消遣，但和healing hands比起来差太多。最欣赏米雪的演技。TVB现在的花旦中没一个看得顺眼的。。。            
(4星)	 陈静师姐带着            
(4星)	 看的够纠结            
(5星)	 看的我这叫一个累啊            
(4星)	 就是因为Alfred而喜欢上林峰的            
(5星)	 好看.好看.比2好看.            
(5星)	 Alfred是我喜欢的唯一一个变过心的男人。也许他不死，我也不会喜欢上他。“没有常在心的日子”，骗取了我多少眼泪。            
(3星)	 还行吧            
(4星)	 吵闹喧嚣了点 不过让我记得彩雨            
(5星)	 杨怡的进步很大。使我改观。            
(5星)	 很有内涵的，有社会意义的电视剧！            
(5星)	 这里面黄宗泽好看...            
(5星)	 好好看咯            
(NA)	 很吵很拖沓            
(NA)	 不好看的但收视率奇高的家族纷争            
(4星)	 结局有点狗血，其他还是比较好看的。当时很喜欢陈豪。            
(4星)	 真是很认真地看完了。。哭了很多次呢~~~            
(5星)	 挺好看的···            
(4星)	 近年来不错的香港家庭伦理剧.            
(NA)	 又有煙花放啦~            
(NA)	 好看~            
(4星)	 高考之后的第一部tvb  也由此拉开了我大学tvb小王子的生涯!!!            
(4星)	 先前很冗长，后半部分很好看            
(4星)	 新人不够火候，老戏骨回来挽救局面，果然一击即中，仔细推究故事不咋滴，但是台词、人物关系、场面调度、镜头剪接，做得太好。            
(4星)	 还不错            
(NA)	 一只鮑魚引發的血案            
(4星)	 剧情要是有侧重点会更好            
(NA)	 我很空虚，我不停的看电视剧，不停得看。            
(4星)	 典型的情节错综复杂的港片~有两个我喜欢的小生,林峰和黄宗泽,啊哈哈~~~养眼啊!!             
(NA)	 不知道为什么 看到常在心就好象看到自己            
(NA)	 吵的人烦s了。。。看不下去~            
(5星)	 ...            
(5星)	 好好看。            
(3星)	 主线不是很明确，就家庭剧来讲常在心那条线很冗余，就爱情戏来讲戏份又不够。成功的原因大概是因为黑白太分明了。            
(4星)	 遺產爭得很累，很雷            
(NA)	 追家好月圆追得好辛苦啊！！！            
(3星)	 表演有点夸张啊~            
(4星)	 应该可以再拍长点～            
(4星)	 林峰啊 我的大帅哥            
(5星)	 这个暑假看的第一部完整的电视剧            
(1星)	 顺便看了点.泡沫.            
(NA)	 还不错，就是有一些不够合理            
(3星)	 庸俗的港式大结局            
(5星)	 Alfred與常在心的未了緣。            
(NA)	 等以后无聊了再继续看            
(5星)	 真是恨得我咬牙切齒，哭得我稀里嘩啦            
(4星)	 近年来不错的港剧吖            
(5星)	 家            
(4星)	 前面的剧情我真是非常喜欢的，一家人和气得让人很窝心，但是到后来该变质的坏人都开始变坏人了，我也知道这不可避免，但是心里对这样的难以说清楚的剧情还是有些排斥。大结局当然是美好的，一家人还是在一起，尽管主心骨从老爷和大太太转移到了还可以、莉姨和阿娇。恩，总的来说，不错的！            
(4星)	 家庭内部矛盾            
(4星)	 太纠结了～            
(NA)	 溏心风暴            
(3星)	 到了36集，我终于看出了风暴            
(NA)	 喜欢。大妈很棒呢。            
(NA)	 OK            
(NA)	 因为bosco 讓我心痛的 爱 对你            
(3星)	 tvb很难再出经典             
(4星)	 TVB的都不错，这部尤其不错，家庭温情加勾心斗角，并且峰少扮相绝对精彩，很难得的好剧。            
(4星)	 团结的一家人，感人的伦理剧            
(3星)	 无聊时候的消遣品~            
(4星)	 MY LOVE WILL GET YOU HOME            
(NA)	 喜欢小鲍~~            
(4星)	 剧情太虐了实在搪不牢，不过林峰在里面的造型超级帅啊哈哈~~~~            
(3星)	 典型的港剧 纠结到死            
(4星)	 不错            
(5星)	 稀饭哦~            
(5星)	 TVB我欢喜欢喜欢喜~！            
(5星)	 不得不爱，太喜欢了            
(NA)	 这帮子人太纠结了....            
(4星)	 其实挺有趣,没坚持看完            
(4星)	 后面很好看，不过前面演得太啰嗦了，看到第8集就有点看不下去，又从28集开始看的。。。            
(NA)	 结局还真是太突然，是不是剪辑问题？            
(3星)	 其实我对这部剧一点都没好感，都不知道为什么TVB会拍这样一部，还ms是大剧。整个情节有点荒诞，荒诞不说更是74人。简直没有一个人物是我所喜欢的性格。只能用神经来形容这部剧。但是因为大牌比较多，还是手下留情的评价了。            
(5星)	 tvb的铞真的不是一般的铞~            
(NA)	 那首英文歌很好听            
(3星)	 此剧剧情不是一般的拖沓            
(3星)	 米雪苍老得让人心碎            
(5星)	 算是看过吧。后面部分看不下去。            
(3星)	 比巅峰时的TVB差太多了，套用我妈的话，就是“难得有越到后面越难看的剧”            
(5星)	 为了程亮和常在心的爱情。。。原来认为这电视里的最大亮点是那个大妈。。但是最打动我的，还是爱情。。。            
(NA)	 还是么看完            
(3星)	 最大的收获是发现了帅哥黄宗泽，其实片子ms只要看最后2集就行了。。。            
(2星)	 穷折腾            
(4星)	 还可以不仅是还可以,是很可以啊            
(4星)	 July 2,2008            
(3星)	 一直不喜欢的某俩人在里面忽然顺眼叻...            
(4星)	 钱太多就是不好,人太多就是生事.            
(5星)	 这部戏不只是还可以阿,是很可以阿.(看过就知道我在说什么了)中间真的是气到对着屏幕骂阿,怎么那么恐怖阿那些人,令人气到牙痒痒的.不过结局很棒.大和解..            
(4星)	 家族纠纷            
(3星)	 气死人的电视剧...            
(3星)	 不喜欢阿娇~一点本事也没有，还找了那么一个老婆            
(5星)	 太揪心了            
(NA)	 看起来很难受，最恨亲家母！！！！！！！！！！            
(3星)	 好看又无聊            
(4星)	 结局的几集让这部剧集少掉一颗星            
(4星)	 嗯。很喜欢黄宗泽。家庭纷争。越演越烈。            
(4星)	 还可以！            
(3星)	 吵。            
(4星)	 想当初看的时候好疯狂的啊 还到处去叫朋友看 ..喜欢林锋...            
(4星)	 这部好喜欢林峰哦～            
(5星)	 大家族的生活还是追求平凡。            
(4星)	 越到后面越精彩            
(3星)	 吵架剧            
(3星)	 TVB的家族剧，消遣的话绝对够份了。            
(4星)	 一颗星给关菊英            
(5星)	 杨怡            
(5星)	 没什么好讲的了。这片子灵到一定境界了。  不过日后的钟嘉欣确实不讨人喜欢。            
(5星)	 ho~看来心口长息肉啊!            
(3星)	 看这部片太累了。家庭的内部矛盾的争吵让人心情沉重。            
(3星)	 其实,也就那样...            
(4星)	 有些悲情的一部剧集....            
(4星)	 除了钟嘉欣其他都还不错            
(5星)	 好看的一腿腿            
(4星)	 亲情比金钱重要千万倍。            
(4星)	 还好吧,那个手机铃声特别好玩            
(3星)	 电视播的。近年还比较看得下去的TVB剧集            
(3星)	 港剧不是什么风云就是什么风暴....            
(4星)	 喜欢看            
(NA)	 大剧～            
(4星)	 就是喜欢这个节奏，善恶刻画很分明，悲情的性格决定悲情人生            
(4星)	 不错~            
(4星)	 好久没有看港剧了            
(3星)	 群星相聚却没达到效果            
(3星)	 就结局有点。。。            
(3星)	 很喜欢林峰演的陈亮            
(3星)	 很普通啊~没觉得有什么特别~尤其是细契吵架吵得我头疼~还有程亮的死也太让人遗憾了！干嘛在懂得之后，却不给人机会呢？            
(3星)	 没看全的……            
(4星)	 TVB            
(4星)	 年度大戏            
(5星)	 很值得一看的家族港剧，其实港剧拍的所有剧集都以家庭为中心。这这部则是剧中之剧。我个人给5个星。            
(4星)	 差了几集没看完,实在没那么大的气量            
(NA)	 结局有些遗憾了            
(4星)	 虽然情节有点拖拉，但还是好看            
(NA)	 07最强港片            
(NA)	 好看~            
(5星)	 很想有个这样的大家庭，只是不要有小妈，哈哈            
(NA)	 比较罗嗦的一个电视剧~07年的新剧~我是主要来看黄宗泽的~帅~            
(4星)	 意外地好看，但结局有Ｄ虎头蛇尾啊！            
(4星)	 陈豪比较傻            
(3星)	 笑有时 哭有时 即便是下雨 仍旧能看到彩虹雨            
(NA)	 最近都在看台湾与日本的电视剧和综艺节目。好久没看tvb的剧了，还是香港的比较好看....            
