http://movie.douban.com/subject/2287889/	寇老西儿
(3星)	 演员都不错，只是这个剧情~~~~汗的            
(4星)	 道明兄太帅了            
(4星)	 剧情忘了，听评书的            
(4星)	 我记得我看过！            
(5星)	 小时候最爱的电视剧了~            
(2星)	 寇老西儿，不爱酒，不爱财……就记得这片儿太扯了            
(5星)	 村姑+！            
(NA)	 道明哥原来还可以这么痞            
(4星)	 傲娇明叔的小白八王+葛大叔的醋溜老西儿            
(NA)	 靠！若不是老巩收藏了此戏，几乎都忘了……葛大爷演完这个发誓这辈子不演电视剧了，烂戏一部，实在完全没营养……            
(4星)	 诶呀呀 居然有这个            
(3星)	 我居然看过····            
(5星)	 为什么这部电视剧不红呢，为什么呢，为什么呢，为什么呢            
(3星)	 小时候我看不懂这个片子            
(4星)	 当年真的很喜欢啊            
(4星)	 好小的时候看的。。。            
(5星)	 好看，葛大爷和明帝            
(4星)	 这我真看过。。            
(4星)	 很有意思            
(3星)	 制作的不是很好             
(2星)	 爲了搞笑而搞笑，不是不搞笑，只是，不需要。            
(4星)	 挺搞笑的            
(NA)	 葛优的经典            
(5星)	 至今不忘喝醋那一幕。。。            
(NA)	 都说烂，我觉得还可以~有几段很经典            
(NA)	 有意思饿~歌曲不错            
(5星)	 当年萌剧……关键是我居然差不多都忘了是些谁演的了可想起来还觉得是萌剧啊OTZ！！            
(4星)	 很喜欢里面的瞿颖            
(5星)	 真的是难得的搞笑            
(5星)	 虽然有点调侃，但是我喜欢葛优，他有一种独有的风趣，体现出他独有的智慧            
(4星)	 轻松            
(3星)	 很搞笑的一部片子，八王和寇老西的对手戏就一个恶搞，陈道明难得的一个搞笑角色。            
(4星)	 看的第一部老陈的片子，很可爱的八王。            
(5星)	 HOHO~~~超级搞的一部片子            
(3星)	 白刀子进去,X刀子出来            
(NA)	 看过 不错            
