http://movie.douban.com/subject/4195676/	巾帼枭雄之义海豪情 巾幗梟雄之義海豪情
(5星)	 大结局太狗血...            
(3星)	 前段和结尾还不错，中间比较混乱。两主演蓝颜知己的设定也差不多够了。非凡哥这个人物真荒诞，完全在配合塑造主角，TVB一贯的手法。            
(5星)	 集中营的小鬼子一死,大家都说VICTORY.            
(5星)	 醒哥!!            
(3星)	 开头绝对五星的 可惜太多烦人的配角，撑不起来的剧情，连粉红都不给力。 演员都很卖力得在演，无奈编剧大失败。 祥仔雯女你们太赞了！！            
(3星)	 ...not bad..but not like ~             
(4星)	 阿雯太用力，阿祥不够用力，编剧没用力对地方，销售部不用用力，巡礼片比实片好两倍，又省时又好赚，倒是铁姐力道很对，希望能得个最佳女配~            
(5星)	 http://songtaste.com/song/2242456/            
(5星)	 戏精回来了！酒店找排骨那场戏太精彩了.。总算，总算，总算在一起了。红蝴蝶那歌真是百听不厌，催泪弹            
(4星)	 此剧多次出现教堂。呼风唤雨的男女主角总是在教堂里哭成泪人。它的暗喻是，无论什么神，都救不了你。对于人来说，该来的，终究都是会来。（PS个人觉得不如第一部，这部明显演的用力过头了）            
(5星)	 柴九，四奶奶，劲！            
(5星)	 點都好睇噶啦～！！！！！！！！！！！！！！            
(4星)	 雯女戏棒透了！            
(4星)	 九姑娘QAQ            
(NA)	 好看            
(4星)	 今生今世得此一人，可以不恨。            
(5星)	 有三点真的是感受深刻啊1.婊子无情，戏子无义 2.小家巧斗不过老鸡贼 3.瘦死的骆驼比马大 。 剧集真的很精彩。邓萃雯的戏我都爱。            
(5星)	 大爱九姑娘！！！！！！！            
(5星)	 看哭了，雯女最劲！            
(4星)	 比起谢雪心，这一部里面胡定欣的角色才是贱中之贱！简直一大突破！            
(5星)	 九姑娘啊九姑娘            
(5星)	 那段重逢后胶片式的二人生活回忆太感人了...            
(4星)	 17集以后就真是鬼打墙一般的糟糕...            
(5星)	 2010年TVB最靠谱的一部剧集。            
(5星)	 雯女演什么像什么~TVB我重回你的怀抱~            
(NA)	 没有甜言蜜语 你侬我侬的爱情。。催泪呀。。            
(5星)	 一直流泪一直流泪  明天写影评            
(5星)	 祥仔雯女好赞~            
(4星)	 强大的TVB            
(4星)	 九妹巧型啊            
(5星)	 说了有半个世纪的故事，我仍嫌不够。            
(5星)	 看过了这个,看偶像剧神马得都感觉空            
(4星)	 九姑娘霸气外露！！！！！！！！！！            
(3星)	 踢胃壁er演戏太用力啊~讨厌跟战争有关的一切。不适合睡前看会鸡血~~            
(5星)	 整部剧，剧情跌宕起伏，黎耀祥和邓萃雯，真的很棒，很好的剧。T-T            
(5星)	 太给力 太好看了~~~结尾太感人了 一起慢慢变老的浪漫            
(4星)	 感觉比古装版稍微差了一点点，还依旧是非常好看的电视剧。            
(NA)	 何谓爱情，定是跟你动荡时闲话着世情            
(4星)	 就是不喜歡那個晴晴！            
(NA)	 看我先走还是你先走，如果我先走，就是我等你了~            
(5星)	 绝对好看，但不知道会不会虎头蛇尾。。            
(3星)	 剧情又烦又瞎,以为唱大戏啊..隔铁丝扔馒头我想我忍吧,到victory那我简直忍无可忍,严重侮辱智商..还有陈法拉跟胡定欣俩油瓶角色,实在够呛            
(5星)	
(5星)	 剧情神马的都是浮云。只看两只。哎哎            
(5星)	 九姑娘太有范儿了 各种范儿。醒哥真是个好男人。法拉趴基本上都是拉快进的。            
(5星)	 結尾不給力，邏輯硬傷頗多，輸1好遠，但只要有雯女和翔仔，就是一出好戲。            
(4星)	 处处都是小高潮            
(4星)	 终于追完了 没巾帼枭雄出色 我更喜欢亦正亦邪的角色吧 这两个角色都太正了            
(5星)	 &lt;31 完结&gt;台庆剧果然够给力。个人认为这是部通篇情节紧凑悬念设计巧妙毫无拖沓的好剧。战争年代人民团结一心的“义”和一众小人物爱恨情仇的“情”很好地撑起整部剧的节奏。雯女和祥仔的再度合作依旧精彩，看好他俩今年蝉联拿奖。配角也个个出色。终于不再演坏人的敖嘉年 原来他的演技是这么的好。            
(5星)	 本世纪最优秀华语电视连续剧。剧情、内涵、世界观、演员、演技、角色塑造等全部满分。（不过国语配音挺恶心，慎。粤语原音非常带感。）            
(5星)	 好！看！            
(5星)	 我好像也跟着九姑娘爱了刘醒一遍。            
(5星)	 当他们老时在长椅上看落日的时候，都不敢相信这三十几集的剧情，六十年怎样轰轰烈烈，死里逃生。中国真的好需要这样的电视剧，让人们不会忘记历史，教会更小点的孩子们过去的真相是什么，忠肝义胆，爱国情意又是什么。小人物大英雄。邓萃雯，黎耀祥，演技绝佳。            
(5星)	 雯女好靓啊！真心不错！实力演技派~剧本也很带感！            
(5星)	 我两天之内看完了。。。            
(4星)	 视后视帝的演技更加突出，但是还是喜欢第一部。            
(4星)	 放到晴晴和丽华都快进            
(4星)	 前半段緊凑，後半段拖沓。整體還算不錯。九姑娘演技很到位。晴晴演技很糟糕。看在結局很感人的份兒上，四分。            
(4星)	 陈法拉挺漂亮，不过演的太差劲，拉低了整部戏的档次；胡定欣太难看了，配音更恶心，此脸谱化角色每每出现的作用只是犯蠢添乱子；这2个角色编剧写的时候就没过脑子，且剧情越到后面越狗血，已经成了这几年TVB剧的通病            
(5星)	 看的泪流满面            
(5星)	 很少很少看TVB剧，这部嘛就两字，好看！            
(4星)	 给TVB演员卖力的演技吧 剧情有点老套 不管怎样 当有中国人奋起反抗 痛打日本军官的剧情 真是解气 有这样的一段历史 这样的民族情绪 在很长一段时间内 是很难很客观不带主观情绪去看待的 我想这就是我们之所以为人为民族的原因 我们有不可分离的思想和喜怒哀乐            
(4星)	 可以看出民国时期比解放后进步了不止一点点 三十年真的是大退步 个人的命运终究抵不过时代的变迁 相逢的人能再相逢是多么幸运            
(4星)	 非凡哥是亮点            
(5星)	 虽亦觉得错漏之处不在少数，但仍不得不为九姑娘为她和醒哥潸然泪下，这份爱太真太感人            
(5星)	 好剧            
(4星)	 两段纯洁无暇的乱世爱情，TVB能在这种时候演绎这样的爱情，赞一个。            
(NA)	 寿终正寝            
(NA)	 最后3集终于无法忍受弃了.....我最担心的鸡肋情况又出现了，前六集有如神祝啊，好长时间没遇到这样的TVB剧了，可惜，后面邓姐开始走正面人物路线就什么都没了，伤感.......你接着当反派多好啊！！猪笼里的生活真有趣，但是她妹的感情戏真特么难看，看见就想快进...            
(5星)	 最后一集哭死我了。。。            
(NA)	 九姑娘好气势            
(5星)	 精华全在最后一集            
(3星)	 两星给邓萃雯 一星给黎耀祥 剧~实在没什么好说的 打发时间            
(4星)	 太狗血了！太狗血了！            
(4星)	 结尾很雷人，把前面31集给毁了            
(5星)	 2010.12.29虽然TVB布景啥的很假很傻，但不得不说这是一部好剧好剧！就姑娘卷发好好看啊！衣服也好好看~最后看得我哭的不行，岁月令人唏嘘不已，但最后还好还好。啊！！            
(5星)	 今年最好的港剧            
(4星)	 只有你懂得            
(5星)	 我们现在都不再年轻。每个人都有自己的故事，经历不同的甜酸苦辣。如果不是因为有你，我们不会有这样的经历，九姑娘，当年那群小孩子，现在的这群老人家，知道你的死讯，都从世界各地回来送你最后一程，希望你安息，我们会永远怀念你。            
(4星)	 邓萃雯很给力!            
(5星)	 每年看的TBV数量都有限,但是每次出击必是经典.推荐推荐推荐!!!            
(5星)	 从第一集到最后一集都畅快淋漓，心情此起彼落            
(5星)	 找到了以前八点档的感觉。            
(4星)	 邓萃雯果然不错            
(5星)	 非常的给力，看了第一集就想看第二集，看了第二集就想看第三集，总之不看完就不睡觉的。            
(5星)	 其实我想打四星的- -但是结局若干年后 九姑娘重回广州刘醒买菜 内场戏 我居然哭了= =。。。就多加了一颗星。。。谢雪心和邓萃雯斗起来 真耐看。。。            
(5星)	 气场气场，满满都是气场。。。当看到刘醒说，“你们要杀九姑娘，可以，先杀了我刘醒，踩着我尸体过去。”女人要什么？在她最无助之时，有个男人站她前面，就够了。            
(5星)	 但愿人长久，千里共婵娟。            
(5星)	 走姑娘最后跟醒哥那句话几乎是近十年TVB拍过的最好看的最后一幕            
(3星)	 只能说时代不同了，我不同了，TVB也不同了。            
(3星)	 片头里那么多画面都没在剧中出现过，点解？点解！晴晴不死，我都啷一枪打挂佢啦！            
(5星)	 刘醒与九姑娘的爱情，让我感动得一塌糊涂！需要时间平伏下心情！            
(5星)	 最后一集太不容易了。他偷渡了三次，每次都被抓回来，坐牢就做了十几年。她每三个月去报馆登一次寻人启事            
(4星)	 看过几集            
(5星)	   今年最好看的TVB剧～            
(4星)	 3.5 時代背景更吸引.但劇情實在沒一扣人心弦.結侷好一般            
(4星)	 看完结局了。邓萃雯气场真强大。乱世的爱情。            
(5星)	 喜欢九姑娘            
(5星)	 我真没想到如此好看真是令我魂牵梦萦啊啊啊啊            
(5星)	 好煩陳法拉！早死早著            
(4星)	 雯女气场很足，拍到白发拍到死有点吃不消，虽然已经很不错了。            
(4星)	 帅            
(3星)	 没上部好看……            
(5星)	 好久没看到这么史诗感的剧集了，真TMD给力。            
(5星)	 雯女演技没得说            
(5星)	 我的怨念终于结束了...不知明年会怎样            
(3星)	 看到中间有的牵强了。。。            
(5星)	 金刚女邓萃雯  小不忍则乱大谋            
(5星)	 第一次追完TVB的剧，剧情其实有那么一点老套，但催泪戏份不少，大结局擦了三张纸巾的眼泪……请上天赐我一个刘醒那样的男人吧……            
(3星)	 演的做作加剧情鬼扯无高潮...终于跑完了= =            
(5星)	 不愧是台庆剧，真给力啊。~不错，大爱九姑娘，霸气。            
(4星)	 后1/3稍嫌烂尾，沦为爱国抗日内战催泪剧，过了，过了...            
(2星)	 结论：还是我党NB，管你大毒枭小财主的~都比我扯~~~一路洒狗血加飙泪，到最后编剧都觉得不好意思了...真的TVB的剧还是留返青少时的回忆吧            
(5星)	 晴晴日记神马的最讨厌了            
(4星)	 我郑九妹三个字倒过来写  最后一集居然出现了 饶漱石            
(5星)	 很感慨。            
(3星)	 真不如第一部，好多地方都特别幼稚。            
(5星)	 惊心动魄            
(5星)	 这种感情去哪儿找哟            
(2星)	 烂            
(5星)	 喜欢黎耀祥是从《反黑先锋》里的贺非凡开始，将一个落魄差佬演绎得超级精当，穷酸吝啬义气狡黠，特真实。《爆裂刑警》里出场30秒左右，也闪瞎了我的眼。然后在《秀才遇到兵》里面，牛逼异常，以男配身份，光芒万丈，不比醒哥演绎得差，男主马浚伟被其甩落八条街，力夺08年最佳男配。            
(5星)	 真牛×了，集集都那么好看。雯女演得太好了            
(3星)	 觉得没劲了            
(5星)	 正在追~~~~            
(3星)	 发现好多电视剧都是第一集惊艳！我爱九姑娘多过四奶奶！            
(5星)	 虽然虎头蛇尾~虽然晴晴杨扬丽华都是多余角色~虽然最后几集很骗钱...可我还是很喜欢！明年TVB没有邓萃雯的戏了~唉            
(4星)	 对比巡礼片是有些失望的，邓萃雯和黎耀祥都演得太用力，结局也很狗血，中间高潮太多，越到后面越不给力。但仍然被醒哥和九姑娘感动，也是今年唯一能看下去的剧。            
(4星)	 你足以倾城的双眼，较花与草更璀璨~~~            
(5星)	 终于完结了。。。雯女，支持你~            
(5星)	 9姑娘太给力了            
(5星)	 最好看的剧            
(4星)	 没有第一部好看，这部的逻辑问题比较明显，而且有很多地方虎头蛇尾。但总体仍然算是本年度最好的了。。。            
(5星)	 请原谅一个脑残粉儿非理智的评星 看到雯女就无法淡定评星 印象深刻的角色 九姑娘 醒哥 排骨仔  非凡哥  最讨厌的角色马丽华            
(5星)	 虽然有些部分还是挺跳跃，衔接不自然，但是光芒无法掩盖。完结后再看第二遍！            
(5星)	 邓萃雯的演技真是没的说。太有戏了            
(NA)	 九姑娘！嗲！            
(NA)	 人物性格一星、演员演技一星、服饰妆扮一星、老香港老广州一星、英姐万岁一星            
(5星)	 我还从来没有看TVB会激动到想写剧评的地步！！！！            
(4星)	 邓萃雯演得真好～            
(NA)	 陪老妈看结果上瘾了            
(5星)	 太好看了。。。一开始没当爱情片看可是最后真的被醒哥和九妹的感情感动啊。。。荡气回肠的爱情啊。。。还是TVB厉害！！            
(4星)	 世间什么爱叫纯洁。。。            
(5星)	 我想给十星！！！感慨，激动，伤感，淡然，经典大作，终身难忘！！！            
(4星)	 天天晚上守着中央一，看到很晚才睡。我是不是老了啊，开始过这种生活了。幸好结束了。            
(5星)	 爱上邓萃雯了            
(4星)	 果然是名不虚传非常好看XD不过结尾实在太狗血了，之前的轰轰烈烈出生入死还不够，为了证明两人感情的坚贞和纯洁，还要来个三十年的分别= =            
(5星)	 九姑娘，醒哥            
(3星)	 九姑娘跟刘醒气场十足，演得真好！话说，自从很多老戏骨退的退，走的走，就不太看港剧了，“如同鸡肋，弃之如可惜，食之无所得”。叹气。不过，这部总算有回之前的风范了。            
(5星)	 好久没这么high的看TVB了....这剧给力啊....            
(5星)	 我爱死九姑娘了！！怎么办！什么时候能变得像她那样霸气！！！            
(5星)	 很赞的片子，剧情安排的很紧凑，让人看着很过瘾的感觉，咱们九姑娘的御姐气质无人能及啊~            
(5星)	 用一周时间看完嘞~在现在的港剧大环境下 算是不错的了╮(╯-╰)╭  喜欢黎耀祥~            
(5星)	 情节拖拉~但为嘛还是觉得酱紫好看呢？这种感情好纯洁啊，净化心灵啊!            
(5星)	 黎耀祥很男人！            
(5星)	 猪笼里秀温馨的除外，都很好。但愿人长久，千里共婵娟。            
(5星)	 好看！            
(5星)	 越来越喜欢邓萃雯了！            
(5星)	 赞            
(NA)	 一边倒的剧，实在看不下去了            
(5星)	 邓萃雯的眼神演技太棒了！时代剧很有爱哦！！波浪卷发神马的！好复古            
(5星)	 不知道将来我走的时候  谁会在天上等我呢？  视乎我走先还是你走先 如果我走先的话 就是我等你========================人生有你 夫复何求            
(4星)	 影片结尾，刘醒和九姑娘看夕阳，慢慢他靠在她的肩上，低了头，没有遗憾地去了。那一刻场景是感人至美的，但经不得深究。一个女人如果强到没有人敢揽她入怀，她的确看不得任何人过得开心。所有的爱情都需要对等的勇气和魄力，否则，一败涂地，不得善终。            
(4星)	 好评太多人说,说几点不好的吧1.不喜欢这种坏人特坏，好人特好还总被坏人欺负的过于两极化戏2.看刚开头觉得主线会从排骨开始,肿么没多久就晴晴了,这个角色分量上来看绝对的大配角，还是不受欢迎型的,但是TVB也给她太多戏份了,简化了会好很多3.结尾不给力,前面太精彩后面收不住了的感觉            
(5星)	 遇见了了解            
(4星)	 动荡时和你一起出生入死的爱情，可遇不可求。            
(5星)	 经典..经典...            
(5星)	 中间太罗嗦 删到二十集就好了            
(5星)	 真好看。            
(5星)	 太好看了！！！            
(4星)	 结尾导演是否尿急啊，收的太匆忙            
(NA)	 用尽一辈子再加六十年的时间，你们终于走到一起。            
(4星)	 能不能憋这么囧啊结尾。。以及我真是对陈法拉没好感。            
(NA)	 总算在一起了！！！！            
(5星)	 这乱世磨难无数，要有怎样的心智方等得来一轮霁月。大结局看得人好酸楚，九姑娘啊九姑娘（竖大拇指夸赞TAT            
(4星)	 宅了两天，终于看完了。很精彩，邓萃雯演的九姑娘气场非常大，嗯，我喜欢。            
(4星)	 看完了，某人表扬我吧。            
(5星)	 这大概是我看过最好看的港剧了。看得我好难受。            
(5星)	 四天搞定。的确是近年来TVB不可多得的一部好剧，跌宕起伏的剧情让人停不了手一集接着一集。这剧还真的是一路催泪啊，到最后差点让爷都飙泪了。。。= =彼此从没说过一个爱字，也无儿女，但是命运的玩笑将他们俩连在一起，最后这几十年的等待是值得的，就算最后在一起只是一秒钟，那也是一生一世。            
(NA)	 当然没有第一部好看，但感觉强烈了吧？！            
(3星)	 好像有点看不来这种了            
(5星)	 绝对会成经典!            
(5星)	 邓萃雯还是依旧那么漂亮，好看的要死，哭的我稀里哗啦的...            
(5星)	 哭得我说不出话来，近几年TVB最好的一部剧！            
(5星)	 拖拖拉拉久違的TVB。學校的時候一起看，覺得九姑娘就是我們的偶像，劉醒就是個燥郁衝動派。看畢，世間冷暖，人這一生便也就如此了。所謂「愛」握不緊也抓不牢，其實愛就在身邊。黎耀祥啊，跟陳信宏小像。鄧萃雯好演技。            
(4星)	 够TVB！狗姑娘的衣服真好看，放在TVB太难得了就            
(5星)	 醒哥，九姑娘。            
(4星)	 虚憾。两人之间的爱，没有说过我爱你，我喜欢你，而只有我保护你。            
(5星)	 大致发展路线和巾帼枭雄差不多，但是九姑娘心狠手辣更胜一筹了 &gt;&lt;！相比之前的巾帼枭雄真应该给四星半了。最后一集竟然连放了三遍巾帼枭雄的主题曲嘤嘤嘤嘤~~~~            
(5星)	 唏嘘不已            
(3星)	 太做作了，喜欢不起来。。。            
(5星)	 best TVB            
(5星)	 原来我忘了收藏            
(NA)	 看完了 喜欢 但是有些事 是不是该结束了呢            
(5星)	 给力港剧，很典型的港剧，好看            
(4星)	 邓阿姨我老爱你的~！            
(3星)	 雯女演技太野了，金枝之后她已经被如妃灵魂附体了            
(5星)	 昨天下午两点到现在，不眠不休。            
(4星)	 生死之交 一定是爱~             
(5星)	 比第一部精彩，可能是背景设置的原因吧。实在不喜欢陈法拉，很没趣的一个角色，但大爱邓萃雯啊~~还有谢雪心这样的老戏骨。            
(5星)	 時間是要浪費在這種事情上的！            
(5星)	 什么叫荡气回肠，什么叫百转千回，这才是TVB的精华。感情戏拍的很大气，已经超越了男女之间的爱情了啊，不过发展的又丝丝入扣。后半截儿有些拖沓。邓萃雯和黎耀祥演技占四颗星。胡定欣演的太差啦！            
(5星)	 20100110一天看了十几集，虽然我不喜欢民国戏，但这套戏比巾帼枭雄还好看，九姑娘纵劲过四奶奶，情节和剧情更刺激。终于知道为什么台庆又拿奖了，说句公道话确实比公主驾到有质量。TVB最近几年很少有这么带劲的剧了。            
(5星)	  如果我先走我就等你。            
(5星)	 前三集无可挑剔。晴晴是个败笔。            
(4星)	 你是要这样的吗。            
(5星)	 精彩！！！！            
(5星)	 黎耀祥啊~~~~~            
(5星)	 比第一部好看，不过结局照样讨厌！哼！对了，我不准备嫁给约瑟夫·高登·莱维特了，我准备嫁给醒哥！啊哈哈哈哈哈哈哈哈哈            
(5星)	 醒哥！            
(5星)	 让我盈眶 是极不易的. 第20集是姐的爆点.            
(5星)	 抗日作为背景，怪不得能激起这么大的惊涛骇浪。醒歌和九姑娘啊～～你们两个真是看得让人太纠结了啊～～            
(5星)	 人生得一此知己 足以            
(4星)	 可以当背景音乐的TVB。。            
(3星)	 铁梨花也学会了这种经典的TVB扯淡法。。。            
(4星)	 我想说，最后一集的最后10秒钟最有意境。当然，是靠前面30集铺垫出来的。。            
(4星)	 整个剧情都还算不错,大背景时代下的悲情儿女之间的那点恩怨情仇,是港剧固有的特色,整个故事抑扬顿挫,可看性很强,再加上性格男女主角的感情线来贯穿,那段没有言表的爱情在现实中真是少之又少了.但是有些地方又过分拖沓,剧中时试图想挖的很深,但后期却一笔带过,显得余力不足,这是港剧的通病.            
(5星)	 世间什么叫做情深，彼此从没说过一个爱字，也没有儿女，但是跌宕起伏的命运将他们连在一起，这福气让你遇到他，值得三十年的等待。            
(5星)	 这戏的风格好复古啊！九姑娘有点自虐。            
(5星)	 这是我看过的最好的港剧，也是我看过最好的连续剧之一。实在太爱九姑娘了。为什么不按着之前的巡礼片再拍一遍阿～～～            
(4星)	 九姑            
(5星)	 邓萃雯！！！！！！            
(5星)	 如果是我先走 那我等你            
(4星)	 都是认真活过的人。            
(4星)	 一边绣花一边看完了。九姑娘是女强人 ！            
(NA)	 但愿人长久            
(5星)	 被邓萃雯和黎耀祥萌到了            
(4星)	 祥仔和雯女每一次合作，都能擦出闪亮的火花，看得人热泪盈眶啊~~``            
(5星)	 雯女98分，醒哥99分！你真是活脱那个时代的人啊~            
(5星)	 有点老套路，也还蛮吸引人的。只是越到后来越粗糙了。            
(4星)	 我想说这个编剧太缺德了！            
(NA)	 邓萃雯 我就中意你啊 ~剧情就太日八欻了            
(5星)	 强烈推荐！哭死我了            
(4星)	 沒有青天，沒有白日，只有我們的國家與新政府的平行宇宙            
(4星)	 剧情很紧凑很热血，看的过程中觉得是5星，看完了以后是4星，可能是连续看了两部类似的缘故吧，具体的原因我也说不上。几个角色的设定确实看的过程要人恨得牙痒痒。            
(3星)	 其他人都哭的唏哩哗啦，没想象中的好看。            
(5星)	 邓萃雯啊，等着明年大拿奖吧！！            
(5星)	 好看好看好看还是好看            
(4星)	 睇演技得啦，剧本情节咩都係浮云来嘅；仲有同萝卜头嘅国仇家恨是唔可以忘嘅。| 假如卅年后可以同你一齐上山顶睇紧日落，都冇遗憾啦。你会不会等我啊？            
(5星)	 终于陪MOM看完了。“如果我走了，谁又会在天上等我？”飙泪啊，我。舍去一如戏里只以自我思考的家豪。戏里戏外，三十年。舍生入死的刘醒。我说，九姑娘啊。您也老大不小了。和刘醒提着酒瓶唱玫瑰玫瑰我爱你时。多少也考虑下自己吧。呜。            
(4星)	 哭死老娘了 看过的最好的港剧了...            
(5星)	 总之我觉得很精彩。            
(4星)	 本来是5星，看到后面狗血的剧情决定少给一星……            
(4星)	 三星半吧            
(5星)	 醒哥和九妹从来没对彼此表白过，但他们之间的爱胜过一切。太感动了。            
(5星)	  要我先走就是我等你咯            
(5星)	 tvb这几年最好的片子了。雯女，我的御姐，我的视后。            
(4星)	 除了偶像剧版的结尾其余是完美～            
