http://movie.douban.com/subject/3926132/	爱情公寓
(4星)	 尽管被许多网友诟病为山寨版的六人行，却无碍我赤裸裸地喜欢他们，因为他们的青春与我们没有距离。真正的青春不装逼、摆酷，有的只是展示自我，表达自己的观点的个性。几个演员都各有特点，各自的戏份和性格也全部表现了出来，形成了很好的对比。当然，看片要看美女，相较之下，还是喜欢林宛瑜多一些。            
(5星)	 很搞笑。            
(5星)	 韦正            
(5星)	 太好看了~这已经是第5遍了            
(5星)	 今天看完的，这个真的很有意思~~他们演技都很高~            
(5星)	 搞笑搞笑！~~~好贱的一部喜剧~~！！！每个人都那么好玩~特别是关古、小贤和子桥！！！！            
(5星)	 超搞笑的。            
(5星)	 喜欢山寨。但是看多了就不行了。            
(5星)	 笑死人了            
(5星)	 Aug 16th, 2009 - Aug 19th, 2009Ourdvd.music.爱情公寓            
(5星)	 太经典了。            
(5星)	 蛮发艳的            
(5星)	 山寨机就是牛。子乔老爱说这句话了。            
(4星)	 平时不看大陆剧。但是这个真的不错。笑点也密集，而且演技没有大陆演员普遍的做作。大部分是新演员，长的不错~看着也舒服。好片。            
(5星)	 太搞笑咯            
(5星)	 好笑~~      真类~            
(5星)	 笑死我了……            
(5星)	 我爱这个国产剧            
(NA)	 还蛮自然的 。恩``蛮好笑 。            
(4星)	 配乐里居然有Edwin Starr! 惊了！！！！！！！！            
(3星)	 最近电视剧频道半夜在播沪语版……（……）矮油笑史我了！！！！！！！！！！！！！！！！！！！！全4乱暴语 囧囧囧囧囧囧            
(4星)	 山寨的不错~！            
(4星)	 第一季不错，第二季跟这个简直没法比            
(NA)	 无底你硬盘里为啥会有这种东西！            
(4星)	 很多人一起看的。那个温暖感觉真美好。以及确实让我笑了很多次~            
(3星)	 看着挺可乐的，但未免剽窃得有些过分了吧。            
(5星)	 虽然演得有点生硬，但不吹毛求疵的话，算是很好的国产情景剧呢。。。            
(4星)	 饭间消遣。山寨也有爱~            
(4星)	 第十集笑死我了            
(5星)	 笑抽了            
(3星)	 一幢并不奢华的公寓，……这第一句简介太坑爹了。。 唯一记下的一个桥段就是美嘉教那个日本人打斗地主的新规则，119！911！12581！对。。还必须补一句。。孤独的根号三！            
(4星)	 中国特色的Friends~            
(4星)	 哈哈我很喜欢啊！一口盐汽水喷死你！！！            
(NA)	 恩，终于，对得起某人男人了。            
(4星)	 还行，抄了一点但马马虎虎接受吧，宅男还是很喜欢的，哈哈哈。            
(2星)	 真欢乐。            
(4星)	 爆笑张益达!!!            
(5星)	 爱爱爱爱死了！            
(NA)	 这么多五星是闹哪样……=0=            
(4星)	 特happy的情景剧            
(4星)	 一菲姐好霸氣！            
(5星)	 哈哈哈哈哈哈            
(3星)	 弱爆了            
(4星)	 這個還算搞笑 起碼讓我笑了            
(NA)	 原来这片子在豆瓣这么高分……差异……            
(4星)	 很上海的电视剧            
(NA)	 = =            
(4星)	 牛奶老让我看，一天一夜看完了，恩，是有笑点，还算不错。            
(5星)	 国产电视剧的经典之作            
(3星)	 如果没有friends，没有How I met your mother，没有The big bang theory，我会给此片打五星，不过，作为国产情景喜剧，虽然抄袭了大量桥段，此片还算及格            
(5星)	 不错。如果编剧更好，那可以走的更远。            
(5星)	 我果然把它看完了，而且很好看=V= 我再也不说我只看TVB了哈哈。            
(NA)	 4            
(3星)	 曾小贤，胡一菲。            
(4星)	 很规律的一天一集看完了。不是它有模仿老友记的嫌疑，它就是在模仿老友记。但是难得见过模仿的这么有诚意，在学习和沿袭老友记搞笑风格的同时，又能创造出属于自己的笑点，这还能不算做有诚意？我觉得这是近几年除了武林外传第二好看的国产轻喜剧了。从头看会比较有吸引力哦~            
(4星)	 一边干活一边看~            
(4星)	 好笑的地方真是很好笑…            
(5星)	 我原本是抱着看它怎么恶俗的心情去看的 结果一不小心把自己也陷进去了 只能说编剧真的很有才 上戏的那些新生代也不是想像中的花瓶了            
(5星)	 某人竟然觉得我就一胡一菲的性格。。。哈哈哈哈 还好吧 虽然爱损 但没这么激烈啊~~~            
(5星)	 2011-03-01;挺好看的。            
(4星)	 肥皂的生活需要看点肥皂剧            
(5星)	 蛮搞笑。            
(NA)	 山寨的很有爱啊  哈哈哈            
(3星)	 小貂蝉~            
(4星)	 编导哪里毕业的！！            
(4星)	 第一次看到是大年夜，电视上放的            
(5星)	 再把第一季拿出来看下好了。救救我……            
(4星)	 算内地抄袭加结合比较成功的！！            
(4星)	 2部都看过了，我觉得无聊的时候用来打发时间还是挺不错的            
(5星)	 虽然好多都是老梗.但是挺好的.曾小贤长的太像那个死胖子了.            
(5星)	 国产精品喜剧，近年不可多得的佳作            
(3星)	 实在是受不了无数人的推荐，就还是看了，个别桥段抄袭Friends的抄的太不加修饰，不过确实也融入了不少自己的元素，演的风格就不说了，和欧美一比，那必是太作，不过比一般的脑残偶像剧还是好多了            
(4星)	 是陈13在寒假的时候推我看的，一开始不怎么喜欢，就弃掉了。暑假看到出第二季就又翻出来看，╮(╯_╰)╭ 虽然觉得有些情节蛮白痴的，但总的来说不错啦。            
(4星)	 最后一集巨大的BUG...            
(NA)	 评分居然那么高，不可思议            
(3星)	 更喜欢2            
(3星)	 复制版的《老友记》            
(3星)	 以为中国出了个牛编剧难得有部叫好叫座的好剧，原来几乎都是抄的，叫我这看friends 看how i met ur mother的人情何以堪？唉...还好加入了中国特色算是有看头。            
(4星)	 没事儿的时候逗乐用的~            
(5星)	 抚慰了我的春节            
(3星)	 严重抄袭friends，难道就是你成功的原因？            
(5星)	 哈哈哈哈哈哈哈            
(4星)	 曾小贤~            
(5星)	 要熬过第一集啊亲！！！            
(5星)	 给力！            
(5星)	 矮油，笑屎人家了            
(4星)	 就很欢乐嘛。我喜欢展博。呆呆滴。还有babyfat！！！！！            
(4星)	 第一季的梗比较老，还是第二季比较好看。            
(3星)	 没 2好玩            
(NA)	 国产片啊还不错啊。。            
(3星)	 三星半。偶尔还算好笑。            
(4星)	 很有前途的演员嘛，那么乐呵的一帮子人虽然傻傻滴却不让人腻歪。第一季还是很赞的，第二季看了个开头就不想看了。            
(5星)	 虽然有模仿美剧的形式,但确实一部振奋人心的片子!!            
(5星)	 虽然抄袭 但是有创新 爆笑啊！！！            
(5星)	 感谢这部剧，起码能让我在倒霉的春节期间有点笑声            
(4星)	 好吧我低俗了~~但是，，好逗啊~~            
(5星)	 好喜欢娄艺潇            
(3星)	 我觉得挺好的 解解闷嘛            
(NA)	 赵霁!!!!!!!!!!!!!!!!!!!!!!!!!11            
(5星)	 我是好男人，好男人就是我，我是曾小贤。            
(5星)	 很多老友记的桥段            
(4星)	 火了火了。。哈哈~快去看吧            
(5星)	 大年三十看完了第一季。            
(NA)	 喜闻乐见的大众文化 大概我也不合群了 还是笑点太奇怪 我一点都笑不起来阿            
(5星)	 孤独的根号3。            
(4星)	 就算抄也是抄得最有诚意的好吗！！也是有本土化的好吗！！            
(4星)	 寒假时看了五集………现在没心情看下去了= =硬盘里还躺着第二季来着= =白下了。。。。╭（╯_╰）╭            
(4星)	 看过有记住的台词跟场景，可以笑出来的。            
(4星)	 挺逗啊~            
(5星)	 虽然抄袭的迹象很严重，可是这是中文的本土化的笑话，所以看得我很欢乐。            
(4星)	 只是很多不在我笑点上，最后结局美满我喜欢!            
(5星)	 超给力的；）            
(3星)	 严重抄袭how i met your mother!!            
(3星)	 打发时间不错            
(4星)	 虽然有些是山寨，可是太逗了：P 喜欢最后的情人节之夜            
(2星)	 依旧是好奇害死猫。作为不太看美剧的人对这里面的模仿不是特别敏感，反正施夷长技以自娱也是常态了，但是也用不着从形式到内容全都照搬。笑点是有的，毕业生们的表现还是很青涩外露啊。            
(4星)	 江西卫视            
(3星)	 确实蛮搞笑的            
(4星)	 死点啊！！！！！！！            
(4星)	 之前我怎么没觉得王传君帅啊            
(2星)	 虽然也不怎么样，但是至少比美版强点儿            
(4星)	 起码让我笑得前俯后仰了            
(4星)	 中国sitcom 有点希望了            
(4星)	 乐死我了            
(4星)	 管他抄袭不抄袭，反正逗乐我了，太High了。            
(3星)	 我是有多少年没有看国产电视剧了。。。而且还一下把20集看完了= =果然很有本土特色，不过山寨的还蛮成功的。至少还能把我逗笑=w=            
(5星)	 个人最喜爱，也觉得是国内最成功的情景喜剧。编剧基本遵循了美剧的情景喜剧结构，桥段和笑点都合理有效~表演也差强人意，比其他如《武林外传》要高出一个档次。 第二季明天来了，期待~            
(NA)	 陪着我 过了 那个快乐的夏天。            
(5星)	 所有的精彩都是围绕着“曾老师的二”展开的            
(5星)	 第一季真的很给力！！            
(3星)	 山寨的太明显了            
(4星)	 美好的回忆啊~ 我居然没标这部？            
(3星)	 模仿痕迹很重 但台词本土化做的还成            
(5星)	 笑死我了            
(4星)	 哈哈哈笑死我了            
(5星)	 本来就是想标记一下，看了几集挺喜欢的，用了很多网上的段子但是感觉还都挺应景、恰当，演员也都挺出彩，浪漫又不失现实，看到豆瓣的评分还是挺惊讶的，看来真是值得看看。相当不错。            
(4星)	 感觉虽然比较脑残但是无比好笑。。。            
(4星)	 真的好好笑= =             
(5星)	 嘿！还真的蛮好看的哎！            
(NA)	 我勒个去 这么高分啊 往后就看不进去了            
(4星)	 挺好的，这么欢乐，可不是山寨谁就能山寨过来的。            
(NA)	 还是前面的比较给力             
(5星)	 国内最幽默的情景剧。            
(4星)	 第一部比第二部要有趣的多            
(5星)	 周末好伴侣            
(NA)	 11            
(4星)	 不错 对心理活动的拍摄手法不错            
(4星)	 爆笑，很搞的~~~有一集笑的趴倒在床上。。。            
(NA)	 治愈了我！！            
(5星)	 真挺逗的 推荐推荐~！！！            
(4星)	 真的蛮搞笑的。            
(4星)	 虽然抄的有点明显 不过总能让人开心。            
(4星)	 笑笑更健康            
(3星)	 曾小贤好扯好搞笑~胡一菲这种男人性格最合我意了~吕子乔四川话最地道了！不过感觉里面的男人都有点软弱。。。那两个放嗲的女人好恶心            
(4星)	 虽然是山寨·但是开心就好            
(4星)	 最喜欢曾小贤啦            
(4星)	 很多笑料来自罗曼史 演员感觉挺到位 喜欢曾小贤！！！            
(3星)	 大一时全班看疯了，后来才知道，很多都是盗版的美剧            
(NA)	 最近只想笑，这个国货可以弥补TBBT更新时等待的痛苦。。。            
(4星)	 还不错。。。            
(5星)	 五星五星，据说续集陆展博不演了？！oh my！            
(NA)	 根号三情书~            
(5星)	 在同学那不小心看到，真的很范儿！            
(1星)	 垃圾一部            
(5星)	 好玩好玩            
(4星)	 还挺搞笑的            
(4星)	 显然好山寨么~~不过还是有吸引人继续看下去的魅力的~~而且女主角们都很美啊……台词虽然夹杂了很多网络语言，或许也是一种鉴别自己是否out的方法？哈哈~~            
(5星)	 太搞笑啦实在是            
(5星)	 笑死我了  考试周每天吃饭时的好朋友            
(5星)	 国内少有的喜剧            
(4星)	 美嘉,展博!!!            
(4星)	 最後一集居然這麼溫馨，出第二季吧            
(4星)	 逗死我了            
(5星)	 很弱智，很扯淡，很好笑——我從頭笑到落尾。喜歡一菲和展博倆姐弟。曾小賢配不上胡一菲！！！！            
(4星)	 中国老友记            
(4星)	 中国版的“friends”            
(5星)	 此片不适宜看过美剧后看……还没看完，不过总会看完的。还是很欢乐的。刚刚又看了看，很爆笑，于是给5星了，抄就抄吧            
(5星)	 超级棒！            
(3星)	 太做作            
(5星)	 很多集都看了N遍 精彩            
(5星)	 只是要纯粹的现代都市情景，拿普通话搞笑而已。。。这剧达到效果了            
(5星)	 超赞的。中国最好看的电视剧。第二季更威武！            
(4星)	 难得            
(4星)	 有成为中国老友记的潜力            
(5星)	 真的很搞笑            
(4星)	 让五年不看电视的俺每天准时开电视看完，目前持续续两周，不容易啊不容易            
(4星)	 娄艺潇（胡一菲）的表演张力还真好啊            
(4星)	 模仿老友记痕迹很重，但作为大陆青春搞笑电视剧，已经非常了不起了！看到希望了            
(4星)	 终于明白那么多宅人爱看的原因了~~~~~~~~~甩得一米呢~~            
(4星)	 合格的都市喜剧，很好看，看得时候不会拖进度条            
(5星)	 够搞笑，看了这剧，终于对内地青春电视剧燃起了一线希望。            
(5星)	 好笑，轻松得不用以点脑筋            
(NA)	 搞笑            
(4星)	 很鄙视抄了  但更鄙视自己正在全速准备看第二部            
(5星)	 多年来很难得的一部都市喜剧，和我爱我家、成长的烦恼有一拼了，任务性格鲜明，演员不做作，拍的很真实，绝对值得推荐。            
(5星)	 我喜欢胡一菲            
(5星)	 一直觉得超好看..推荐给身边的朋友..但都不愿意看..   最近某比终于看了..笑翻了..我姐也看了..笑翻了..   你成功了..真的..            
(5星)	 很好耍。。。            
(5星)	 超级喜欢，里面的每个男主都喜欢。哈哈。            
(4星)	 不管它抄了多少， 至少它抄的不失败，不雷人。            
(5星)	 短剧，追完了，爆笑。我很喜欢演胡一菲的女演员，挺搞笑的。            
(NA)	 搞笑。。            
(NA)	 看过点儿，可以拿来放松笑笑。            
(4星)	 看美女的。            
(4星)	 笑死人了            
(5星)	 会模仿也算一种进步            
(5星)	 过年时无意看到的。超好看！！！！！！现代版武林外传啊啊啊~            
(5星)	 笑死我了            
(4星)	 慢慢爱上            
(3星)	 笑点本土化了            
(4星)	 笑点还满密集。呵呵.            
(4星)	 很欢乐，期待续集～            
(5星)	 谢谢这部剧伴我度过了极度无聊的2010年春节和情人节！！我最最最喜欢娄艺潇啦！            
(3星)	 3+ 不要和我比懒，我都懒得和你比..... 纯爆笑剧            
(5星)	 真好。            
(4星)	 老友记            
(5星)	 真的很好看。。。超。。有。。爱。。            
(1星)	 抄袭片，不伦不类            
(4星)	 笑死姐了 XD            
(NA)	 哈哈哈哈哈哈哈哈哈哈哈哈            
(4星)	 展博个傻缺太萌了！            
(5星)	 鼓掌 真不错~确实好笑的青春剧            
(5星)	 虽然不新，但是还算是有智慧~书间休养~            
(3星)	 我期望高了。            
(5星)	 很傻很可爱            
(5星)	 还可以            
(3星)	 原来雷，也是一种境界。而且它不是雷阵雨，而是地雷阵。            
(3星)	 那个乱用成语的关谷君真是爆笑。            
