http://movie.douban.com/subject/2229555/	大唐双龙传 大唐雙龍傳
(4星)	 很不错·有點香港武俠美學的味道喲～            
(4星)	 林峰             
(4星)	 What a sad end!!            
(3星)	 高二时期晚饭消遣用品            
(4星)	 总让我把历史和小说弄混淆            
(NA)	 tavia饭陈大p滴心头肉            
(4星)	 宋玉致倒成了最动人的一个            
(3星)	 用两天的时间看完.不能理解为什么最后死的是寇仲而不是徐子陵?得出的结论是寇仲肯定是狮子座.徐子陵应该是天蝎座！            
(4星)	 还是这一版好看。。。。恩。。。            
(3星)	 删除了和合并了原著的人物，作为TVB第一部全实景拍摄的电视剧，气势上还是和张纪中的电视剧差点，可能钱的原因吧，但从演员来看很不错，很喜欢吴卓羲演的徐子陵和唐宁的师妃暄。            
(NA)	 我只是马克一下            
(3星)	 还不错的一部，只是又有小遗憾。我只喜欢李秀宁。            
(5星)	 我叫做徐子陵的女人。这个琯琯不错。            
(3星)	 誨人不倦的徐子陵。。。            
(4星)	 呜呜呜两个男人这样那样的故事太好看了            
(4星)	 小时候看的国语版和原著差好多~在天涯上见推荐又快进了粤语版~感觉好腐的~原来那个时候就好这一口了~            
(4星)	 唐宁也就这个经典角色了            
(4星)	 断断续续的看完了、、            
(3星)	 好烂!!!  但是我居然坚持看完了!!!            
(4星)	 我弟推荐的，真的很不错            
(4星)	 我喜欢林峰 不过在看大唐时我还不萌他 寇仲和徐子陵 我应该谁都不偏向 可我喜欢宋玉致和寇仲的感情戏 喜欢徐子陵和婠婠 两个女子 两段感情 这部剧就这么扎根心底            
(3星)	 结局太让人失望了            
(3星)	 恩..,,            
(5星)	 非常好看  BL            
(4星)	 两个男孩。            
(NA)	 这也能看出bl  真强悍            
(4星)	 很不错么。。            
(5星)	 致绾绾对徐子陵的爱            
(3星)	 林峰真的很帅            
(5星)	 婠婠            
(4星)	 喜欢双龙的挂名老爹，有情有义，有豪气，又蛮幽默的。tvb的配角总是带来更多的惊喜 ：）            
(1星)	 雷死人不负责啊            
(NA)	 再看一次还是很好看～            
(3星)	 小定，你生来就是为演绾绾这个角色的            
(4星)	 寇仲啊，这貌似是我喜欢的最后一部武侠片了            
(5星)	 第一部让我看哭了的TVBL大戏            
(4星)	 编剧都是怨妇+腐女+后妈！            
(4星)	 还不错            
(NA)	 多搞笑，其实我最喜欢那个小妖女婠婠~多少古代江南的长相啊。我喜欢。            
(4星)	 吴卓羲很帅,唐宁就太黑了点...对林峰还是没太多什么感觉啊~            
(4星)	 原著改太多            
(3星)	 我喜歡唐寧大概是這部戯以後八。還有那個 婠婠 我也好喜歡。            
(4星)	 还可以            
(4星)	 结局不喜欢            
(3星)	 改得不能再改了。虽然林峰非常好，可看到死鱼眼就想转台。            
(5星)	 儿女情长。            
(3星)	 又臭又長~混時間可以~喜歡唐寧            
(5星)	 结局让我痛哭……宿命的味道            
(NA)	 2R的经典之作.在剧终喜欢吴卓羲多过林峰.他们都演的很好.后来有度想看黄易的小说.            
(3星)	 某人的造型像某人的女友。            
(4星)	 恶补港剧新生代演员作品中～结局让偶的心都sei了……            
(3星)	 当真不满意最后的选择，男人就是喜欢上赶着追对自己冷淡的放弃真爱自己的= =！            
(4星)	 看了三集，听说最后寇仲死了而且不小心看到了后面带有世民哥哥的截图。。。就不想看下去= = 但这个比2011那个版本好一百二十倍= =            
(NA)	 看了6集半，不看了，看不下去了。            
(3星)	 跟原著区别来看就好了……            
(4星)	 那时候的你们都好美            
(4星)	 难忘妖女婠婠出场的惊艳，徐子陵瞎了么竟然喜欢那个饼脸的师妃暄。。。。里面的杨怡也好美啊，那时候真的好萌林少爷啊~            
(5星)	 那时觉得林峰真的很帅            
(4星)	 好看啊小时候电视上看了好多遍~~~             
(4星)	 好基啊            
(4星)	 最近看到新拍的双龙  然后就想起来这部戏  跟小说差的那么多我还是很喜欢看  就是剧情复杂但拍的太简洁了            
(5星)	 咿呀咿呀哟小时候好喜欢看= = 王晶你低能大家都懂得，可是不至于去翻拍成那样子吧= =！            
(5星)	 我只爱TVB版 即使它与原著不符合 即使它的仓促结局            
(3星)	 矮油，林峰丑死了。            
(2星)	 sctv-5用的是大唐双龙记。其实很早就在龙港台或者苍南太看过了。还有云海玉弓缘，也是林峰的。其实无所谓帅不帅，去tvb让人看习惯了，就好了，就舒服了。太长了，小说都懒得看了            
(4星)	 其实这么多年后再看，本该吐槽一堆明显的腐点结果居然腐不起来，估计注意力都给了那些女人了...唯一不同的就是不爱仙女爱妖女，比小时候更喜欢绾绾了~~PS：TVB就得看粤语的啊听着超级舒服            
(4星)	 林峰 唉            
(5星)	 只为绾绾            
(4星)	 ｔｖｂ大制作，ｒｏｎ和ｒａｙｍｏｎｄ真是太帅了，唐宁在里面也很惊艳～～　不错的剧集            
(2星)	 这种改编完全是对原著的亵渎，期待新的翻拍。            
(NA)	 林峰吴卓羲可逆不可拆，唐宁气质甚美当和绾绾百合，寇仲死后玉致同秀宁双宿……嗯此剧已经跟原作差十万八千里，可以当新原创题材观摩基情。            
(5星)	 五分为寇帅!            
(4星)	 其实现在看看也没什么，不知道那时候为什么爱看，喜欢师妃暄            
(3星)	 因为看过漫画，导致对这个感觉一般、看漫画的时候，被师妃暄和绾绾迷得死去活来。。。一个是只可远观不可亵玩，另一个是妖艳可人。。。            
(1星)	 好垃圾 - - 一口气能跳过5、6集              
(4星)	 峰少的寇仲、胡定欣的婠婠都是亮点~            
(3星)	 超萌唐宁的哎！            
(NA)	 林峰还是演现代戏好看...            
(5星)	 曾经最喜欢的剧．            
(NA)	 啊，好多内地演员，场景还不错，比那个万年不变的小城好多了。喜欢唐宁~好飘逸~但是这个剧看着非常非常别扭。            
(NA)	 超级有爱的双龙啊！！！            
(2星)	 墨迹            
(NA)	 林峰和吴卓羲竟然没有在一起，我再也不相信爱情了=-=噗，我也是最近才知道几年前的看的结局不是真的结局=-=            
(4星)	 不乏囧点 不乏精典            
(4星)	 师妃暄美啊~            
(4星)	 为唐宁睇~            
(4星)	 对此剧的印象停留在人物名字好听上            
(4星)	 唐宁这种乖乖女真不是我的菜，胡定欣妖得很性情，赞～            
(4星)	 当时之喜欢。。天天追到看。            
(4星)	 我觉得唐宁很美            
(4星)	 2人太帅！            
(3星)	 宁姐和羲哥            
(4星)	 妃暄~从此爱上宁宁            
(5星)	 以善待人，以善待己。            
(3星)	 (2004) 林峰的样子明显和后来不一样了，搞得我一度以为香港有两个林峰。其实嘞，以前的比较好.....            
(NA)	 和小说有很多出入…还把师妃宣和石青璇合体了…            
(4星)	 一直觉得女配漂亮            
(3星)	 和书还是有差距啊            
(5星)	 师妃暄..师妃暄...师妃暄..........婠婠..婠婠....慈航静斋的圣女和阴癸派的魔女我都喜欢~~怎马办~~~            
(2星)	 一颗痣坏了一锅汤。其实这汤本就无味            
(1星)	 干nmd的大唐双龙传，谁tmd都别再写悲剧！干所有的悲剧！            
(4星)	 很赞，唐宁很漂亮。都蛮出彩的＠Home            
(NA)	 妖女很有爱            
(5星)	 冲着宁宁和啊Ron看的，太不错了，强烈推荐，值得一看，看了好几遍。。。。            
(4星)	 黄易大师改编的啊。。。。。            
(3星)	 我爱婠婠            
(4星)	 唐宁的古代造型都很赞，尤其师妃暄的造型最好。嗯。她是非常典型的古代美女，温婉可人一类的。杨怡也不错，不过宫心计里更好。            
(4星)	 最喜欢的角色是绾绾和玉致！但是最喜欢的演员是林峰和唐宁。结局也太扯淡了，居然让林峰挂了，而且是挂在我最喜欢的皇帝李世民的手上。。烂编剧！            
(2星)	 就又看了一遍……只是想看看以前的杨怡。感觉整个故事讲的很乱，小时候看过的电视长大了还是不要再看一遍比较好，去找下过的电子书看算了            
(3星)	 好吧，我承认我喜欢的唐宁嫁了，我有一丝忧郁。。。            
(3星)	 心疼婠婠 可叹子陵不爱她            
(5星)	 婠婠            
(NA)	 还是喜欢那个时候的林峰。            
(NA)	 发现李倩的粤语配音好奇怪。。。            
(3星)	 音乐太没创意了用的是《寻秦记》的音乐            
(4星)	 补            
(NA)	 看过很多遍。为什么我每看完一遍心都会特别寒            
(3星)	 林峰和吴卓羲的眉毛以及杨怡的鼻子才是我的点            
(3星)	 好多炸药··            
(3星)	 有点金庸的意思了。李世民不过就是一个阴谋家，不用刻意妖魔化            
(4星)	 我喜欢绾绾            
(4星)	 當年看還是不錯的            
(4星)	 婠婠和玉致。我就是喜欢这样的女子。            
(2星)	 场面总是没法看。            
(4星)	 我中考那几天都追~            
(4星)	 重温阿峰的剧啊～～～            
(2星)	 狂扯！！！！！            
(NA)	 情字作怪，情深缘浅。            
(4星)	 吴卓羲还有那婠婠我很爱~            
(4星)	 和大家的感觉一样，绾绾，被这个女子所吸引。            
(3星)	 不知道为什么不喜欢            
(4星)	 嘛-    -..很诡异的还记得主题歌..            
(4星)	 大家都喜欢仲少，我承认他很值得喜欢，可是我最爱陵少。。。            
(NA)	 这里边没一个角色我受得了..            
(5星)	 太喜欢寇仲            
(4星)	 为了峰少~还有杨怡和唐宁妹妹~和气质胡定欣~李世民真丑……            
(3星)	 到了最后到底寇仲死没死呢？既然和氏璧的寓言没有成真干嘛要两个都活下来呢，这样拖拖拉拉的真没意思。            
(3星)	 我居然坚持看完了，真是不容易，同原著也差别太大了吧，陵少啊。。。。            
(3星)	 武侠啊历史啊。喜欢弯弯那样的女生，刚烈如焰火的美丽。            
(NA)	 比你想象中好看            
(5星)	 當時看書就覺得這兩人太有愛了！！            
(4星)	 给寇仲和玉致            
(5星)	 &gt; &lt;            
(5星)	 寇仲和玉致之恋啊T T            
(4星)	 因为这个大爱林峰            
(3星)	 又一个我不太喜欢的大制作,那个最后和林峰在一起的小演员是整部戏的败笔,脸不生,可也不认识,怎么会让她演呢,可惜了这部戏            
(3星)	 认识林峰的片子            
(3星)	 喜欢小定            
(3星)	 喜欢婠婠，试问世间谁人不爱妖女。。。            
(5星)	 林少，客观地说我还真挺喜欢你的            
(NA)	 婠婠我喜欢你哦~            
(4星)	 电视剧比小说好看            
(3星)	 大唐双龙传            
(4星)	 林峰啊林峰~~~~            
(4星)	 我十分讨厌董淑妮！！！            
(3星)	 ron实在是……            
(4星)	 TVB现在还能出什么，林峰吴卓羲这样的人还能出几个。还是只能怀念这部质量高的电视剧。            
(4星)	 爱恨情仇，家国大义，总是缺少充分独到的表达与渲染，总难脱TVB一贯的娱乐浅显形象。抛开情节、人物、场景构建方面的不尽人意，大爱小爱，至真至纯，感触落泪者，此为个人对TVB自83射雕以来的唯一，寇仲身上贯彻始终的多重矛盾与宿命为最为感触者。另，李世民的扮演者阮德锵让人眼前一亮。            
(4星)	 婠婠很出彩啊！玉致啊！            
(5星)	 超喜欢羲羲和婠婠哦。            
(4星)	 以前看的，纯添加……            
(4星)	 绾绾。            
(3星)	 唐宁的造型不错，但还是最喜欢林峰……            
(5星)	 前20集很好玩，后20集很狗血。杨怡抱着琴出现的那一幕，惊为天人啊，后面倒是觉得一般。更喜欢玉致，一个是大家闺秀，一个是小家碧玉。寇仲真有福气，把两个都收了吧。            
(5星)	 婠婠，婠婠~~~            
(4星)	 很久之后我记得的也只有一袭红衣的婠婠...或许是因为没在一起所以印象深刻...            
(5星)	 记得那会，托福都不准备，彻底陷进这部电视剧里去了。哎，熬夜看电视剧这种事情，现在是做不出来了。            
(5星)	 倒戈了。。。            
(4星)	 好吧,被姐姐拉着看,然后HLL跨越JQ，喜欢上女配们~            
(NA)	 致宋玉致姑娘            
(3星)	 不容易啊= =发型师我恨你……            
(2星)	 原书精华，只余得这个名字而已            
(4星)	 宋玉致嘿！            
(5星)	 玉致!!            
(4星)	 林峰的眼神！！            
(5星)	 我的最爱            
(1星)	 我都汗颜            
(5星)	 最喜欢的电视剧，我想我还是偏向于黄易            
(3星)	 奇怪了。李秀宁，师妃暄，绾绾，我都喜欢。            
(NA)	 man*2            
(4星)	 没有小儿女的心动，争霸不过是硝烟。寂寞让秀宁和婠婠更美丽。            
(1星)	 严重与原著不符~~~演员形象太糟~~~            
(4星)	 林峰为什么永远又帅又惨啊。这种大剧集坏就坏在太长，好又好在够长。            
(5星)	 两个帅哥再加唐宁和杨怡感觉不错            
(3星)	 断断续续看的...还不错...            
(4星)	 陪我度过了高三一段难忘的时间呀            
(4星)	 很喜欢寇仲这个角色。            
(2星)	 李世民的形象太……            
(3星)	 改编成功的武侠小说并不是件讨好的事情            
(5星)	 曾经喜欢寇仲，，不过现在喜欢子陵会多一点……没有太多的理由，却仍值得推荐。            
(3星)	 开头蛮好,后来越来越肥皂了,感情问题纠缠太多,改得不好!            
(4星)	 !!!!!!!!            
(4星)	 电视台版本一塌糊涂啊            
(3星)	 改编的太差啦            
(3星)	 杨怡好看好看.            
(NA)	 哈，实习时大家准时收看的节目~~            
(5星)	 卐~            
(3星)	 改得有点大了。。            
(4星)	 因为两个男主角我都喜欢。            
(4星)	 喜欢绾绾            
(4星)	 喜欢石玉致            
(NA)	 看的不多。很喜欢宋玉致，从名字到造型到声音包圆~            
(3星)	 据说比小说差远了，居然让唐宁扮演不讨好的师妃暄，无语ing            
(3星)	 未看全~            
(3星)	 原来李世民系甘既样……            
(4星)	 喜欢小定~~            
(3星)	 2005            
(4星)	 最爱仲致配~            
(NA)	 經典            
(NA)	 汗~~~这个英语据名~~~            
(5星)	 5颗星，当然是5颗星啦！            
(3星)	 原著太大气了……香港……能力有限。            
(2星)	 编剧胡乱改，比小说差远了            
(4星)	 林峰也是谢宝的宝            
(5星)	 很喜欢的电影            
(4星)	 很好看的！            
(4星)	 妖女绾绾~            
(2星)	 改编得很烂!            
(4星)	 喜欢寇仲            
(5星)	   近年来算好看的武侠剧了~!            
(5星)	 林峰            
(4星)	 还是秀宁和绾绾好...            
(3星)	 两个主角还是可以的，不过几个女角色实在是对不起原著，不过单作为一部电视剧，还是说得过去的            
(4星)	 4星全是为婠婠打的            
(3星)	 初中时我是个赤裸裸的武侠玄幻迷~那时林峰还很帅，往后就是个分水岭了            
(1星)	 真是尼玛的欣赏不了林峰的脸啊。            
(5星)	 因为喜欢男猪脚            
(5星)	 当时就觉得这几个小演员能红            
(3星)	 喜欢宁宁、定欣和阿峯            
(3星)	 在朋友的影响下看过几集～            
(3星)	 【好無聊的開始馬克看過的TBB】我真的不喜歡寇仲= =            
(4星)	 最愛宋玉致            
(NA)	 我爱婠婠！！            
(5星)	 常看常新            
(3星)	 没看书之前觉得很好看。。。但是看了书以后觉得有点瞎啊。。。。寇仲和秀宁没有在一起 遗憾啊。。。            
(3星)	 林峰真不应该接这戏            
(5星)	 马克前夫剧，粽子，2R CP            
(5星)	 小学时的最爱啊！！！！！            
(3星)	 越来越讨厌林峯了真是的。。            
(4星)	 我记得我是初三毕业旅行的旅店里看到的仲少和凌少            
(5星)	 多打两颗星是为了玉致和绾绾&gt;&lt;            
(2星)	 一分给唐宁，一分给胡定欣。            
(4星)	 黄易之作，相比于黄晶那版，TVB这版算不错了。好喜欢仙子师妃暄，宁宁演绎得很美，和子陵也很配。            
(5星)	 前段看到陈国坤版的==真的==这些剧翻拍就是自取其辱啊亲！！！！当时谁也不会想到多年以后 仲少和陵少都遭遇了发床照的渣女。。。想来就难过==            
(5星)	 先看的剧再看的书，虽然改的面目全非但是依旧很喜欢寇仲，玉致，属于武侠言情的经典作。            
(4星)	 (*^__^*) 嘻嘻……            
(3星)	 冇睇完            
(5星)	 当年初二时候真是爱惨了仲少陵少啊，爱惨徐子陵和师妃暄啊，真心爱惨了！为了师妃暄的那段标志性配乐我找遍天涯海角啊！            
(NA)	 没看完。摆在一遍。            
(NA)	 高中时候 四星。            
(3星)	 那时候迷吴卓羲不行。。。            
(4星)	 仲少~~很喜欢绾绾~~            
(3星)	 印象最深的竟然是女配角“弯弯”            
(4星)	 绾绾和徐子陵比较萌            
(1星)	 过去最大的错误就看垃圾电视电影，妈妈说的对，不要看电视是有道理的，我当时还不能筛选这种什么有价值的东西都提不出来只是有趣的电视不看            
(4星)	 只为我的婠婠            
(4星)	 米莱            
(4星)	 不喜欢结局            
(4星)	   爱婠婠。            
(NA)	 tvb电视剧通病啦 我觉得相当兴庆嘅系 我嘅审美观从来无比tvb歪曲             
(3星)	 一开始觉着吴卓羲演近视眼太像了，后来他变身千里眼怎么还一副近视的样子？四个女主长的都是漂亮但又没有很漂亮，化妆和服装应该再认真一些。伍咏薇性感刺客演的不错，我更喜欢倔强的姐姐，而非妹妹。翁虹天生美人胚子，演老一辈的比年轻一辈的漂亮还让不让人活了。演员阵容比王晶版强多了            
(3星)	 不知道说什么好。。。不难看，也不算好看，个别地方不错。            
(4星)	 玉致！            
(4星)	 喜欢寇仲 玉致 婠婠 对杨怡无感 但觉得这部剧是她装扮最好看的一部            
(5星)	 虽然给原著改了很多，但是真的很好看啊，各种美女啊~前段时间央视放王晶的感觉似乎是有更加浓重的古典味道，但是那是大唐双农啊，真心的啊~            
(4星)	 那时的林峰还不讨厌            
(4星)	 仲致啊。            
(5星)	 里头几个女的都不错，喜欢宋玉致和林峰的感情，不过貌似最后结局电视版本有删节。。。            
(4星)	 帅哥美女一大堆！            
(5星)	 喜欢宋玉致和寇仲            
(3星)	 一对好基友啊，飞在花丛中啊，飞吖，啊啊            
(5星)	 只爱婠婠            
(3星)	 我又看了一遍我又看了一遍！！！！这是有多扯这是有多扯！！！！            
(4星)	 看过一些， 华语魔幻片的技术水平美感能赶上剧情魅力 很值得赞            
(4星)	 其实蛮喜欢唐宁的，可是一直出不来。当年TVB还是花了血本想捧这些年轻人的，效果不咋地。我也没坚持看完。后来隔了好几年，电视里重新放，感觉好看了很多。难道我老了？            
(NA)	 虽然感觉傻傻的吧，不过因为有你            
(4星)	 我爱绾绾啦。。。。            
(5星)	 凌少死的话！我陪他一块死！哈哈            
(5星)	 唐宁里面虽然很美 但是妖女的印象更深刻 感觉应该和妖女婉婉在一起的。。还有 那个他们的姨很好看。。还有 尼玛 最后太悲了 玉致很8错            
(4星)	 其实不错啊            
(4星)	 当时是有多红啊!林峰吴卓羲一动一静,女主们都好漂亮,唐宁啊啊啊,轻松搞笑的风格,其实现在看还是不错的            
(4星)	 一切等看完小说再说！现在看电视剧还挺不错的，就是剧情太骨感了！            
(NA)	 其实是六世封印看过            
(3星)	 追星时看的            
(4星)	 终于看完啦，毕竟是虚构，就不多说什么了            
(4星)	 这调调让我想起了寻秦记            
(3星)	 只能说这部小说很好。 拍成片子拍的还可以吧。 前面铺垫了那么多林峰会和杨怡在一起，最后却没有。有点倒胃口。虽然很不喜欢杨怡... 还有很多点，总而言之，没有让人一直看下去的冲动。            
(5星)	 没看过原著，小学的时候追得很起劲，双男主四女主都很爱            
(4星)	 就算王晶再怎么贬损，我都觉得这部大唐双龙都绝对比他拍的那部好不止一点╭(╯^╰)╮            
(4星)	 小时候除了玩就是看电视。            
(5星)	 林峰在这部剧里最帅啊！            
(1星)	 没演技到这种程度还能担当主角真tm的黑暗            
(3星)	 寻秦记也没有看完，这部嘛，就这样吧，打个标主要是觉得胡定欣演的那个女的，真心不错，这么多年了还能记得            
(5星)	 经典中的经典            
(3星)	 那时年少各种剧~            
(3星)	 还行。            
(4星)	 记得凡凡很喜欢。林峰可帅= =。            
(3星)	 寇仲那对挺有意思的。            
(NA)	 很久以前看的。就记得婠婠了。            
(NA)	 喜欢TVB。好喜欢~~~            
(5星)	 圆脸            
(4星)	 还算不错吧，毕竟我先先看电视剧然后看的书。。。            
(4星)	 唉，唐宁3星            
(4星)	 绾绾            
(NA)	 曾阅，标记。            
(4星)	 李倩非常可爱~            
(NA)	 喜欢绾绾，这个敢爱敢恨的女子。            
(4星)	 相比较之下，这个电视剧比另外两部高一点            
(4星)	 最喜欢婠婠            
(5星)	 绾绾            
(5星)	 这个时候喜欢林峰的            
(2星)	 情之一物，本就无解，奈何。男女感情的升华见鬼去吧。            
(4星)	 &gt;&lt;            
(4星)	 补补课。时间是把杀猪刀啊。            
(NA)	 伍咏薇和绾绾出来的时候简直就是惊艳到啊。寇仲和子陵你们两个用不用那么基啊。喜欢最后的结局，和寻秦记一样好玩。            
(3星)	 古装戏还是年代越久远就越有趣味点~            
(3星)	 基            
(5星)	 六年级的暑假消暑良品!!!!            
(3星)	 改的太多了，但是比新版好太多了。            
(5星)	 当年一眼相中吴卓羲            
(2星)	 本指望能重现寻秦记的辉煌呢，太失望了            
(4星)	 这个年代不是太久远，高二升高三的暑假，当年师妃暄真是惊为天人，杨怡和宋玉致也很美的，喜欢胡定欣就是从这部剧开始的，尽快后来一直都演情妇小三，还是喜欢胡定欣，人们都说，当年开始回忆过往时，表示你现在不快乐            
(5星)	 很喜欢唐宁和林峰，最后寇仲离开的时候甚是感人！            
(5星)	 婉婉，当时觉得就是天仙            
(NA)	 什么时候再看 杨怡 林峰 没注意啊            
(5星)	 我一直就没相通徐子陵是脑子进水还是怎么样，为什么就不肯要婠婠？后来我知道了，原著里他就根本没和师妃暄那个傻姑娘搅和在一起，都是编剧惹的货。            
(4星)	 吴卓羲吴卓羲~唐宁在里面也好美            
(5星)	 真的很精彩！            
(3星)	 想了半天，我还真的看过了            
(4星)	 当时更喜欢子陵一些。            
(2星)	 这不是大唐双龙传啊，这是感情片            
(4星)	 林峰+吴卓羲好基友            
(4星)	 与原著差好多 但好喜欢婠婠和寇少~            
(3星)	 杨怡年轻时真好看，越老脸上的线条越硬朗，女人呐，还是不要走女强人路线比较好，柔和一点，整个人都有光辉。            
(4星)	 TVB只要一走出飞鹅山，拍出来的场面就宏大很多。可惜女主们挫了点            
(4星)	 不要对我这么好，我怕我会爱上你            
(4星)	 大爱啊~ 可惜我的仲少和玉致没有完满的结局，是我心中永远的痛~            
(5星)	 新一代小生花旦出场之作 tvb新花旦独立之作~            
(4星)	 婠婠。。            
(4星)	 结局狗血了点            
(4星)	 曾经迷恋。            
(5星)	 这个算是很好了吧~就是有点点雷。。            
(4星)	None
(NA)	 那个时候 这两人都还不算帅啊             
(5星)	 喜欢彼时的林峰。最喜欢仲致恋。结局……很魔幻……            
(5星)	 基片            
(3星)	 唐朝开国皇帝李渊太没霸气，李世民就是一土包子脸肥头大耳的。杨怡在这里真的很不喜欢，利用人家的感情，还装得很无辜，寇仲就应该和玉致在一起，她的爱那么无怨无悔，为何两男主角都分别有俩美女在身边啊，齐人之福啊。胡定欣是个亮点，很不错，其他的都是平平常常能够规规矩矩了            
(4星)	 当年很喜欢的片啊，一定要看粤语啊！还因此跑去看了好几部tvb后来发现同质化太严重才没有继续....            
(3星)	 剧情太经不起推敲，结局太狗血，不过较之于王晶版的，我还是感到很欣慰的。            
(4星)	 秀宁是X货好不            
(3星)	 虽然也有很多的不足，也许这就是现在电视剧的走向，无论是不是言情剧，爱情总是在剧中占很大的成分……可是却又都喜欢把天下苍生挂在嘴边！            
(4星)	 其实这个片子不错。            
(5星)	 看见中央台辣个我无语凝噎了。。真的好想重看啊。。。。            
(4星)	 2R            
(3星)	 TVB剧补不完·~            
(5星)	 其实....不过附着着一个美好的回忆~            
(4星)	 竟然搞死一个            
(5星)	 经典一去不复返             
(4星)	 所有男人里面  最值得嫁的还是宋师道            
(4星)	 相比王晶版的大唐，这个好多了            
(5星)	 诶呦~悲剧。。没看过原著，所以可能。。但在这前提下觉得相当好看。         吴卓羲当年青涩地帅啊！就是最近（好像不能算最近。）和那谁谁谁在一起觉得有点。。看到一张和陈法拉一起的照片，好温馨啊。嗯，喜欢她~（题外话了。）            
(2星)	 北方有佳人，绝世而独立，一顾倾人城，再顾倾人国            
(4星)	 冲着唐宁看的，编剧真应该拉出去毙啦            
(5星)	 大爱 吴卓羲&amp;唐宁  这对组合。 也因为这个戏 开始关注 小定的奥。 妖女绾绾演的蛮好的 是个善良的妖女            
(4星)	 还是喜欢绾绾这样的妖女~            
(NA)	 宋玉致            
(3星)	 三星半！！！邪王帅的呀！！！            
(3星)	 对电视剧有期待，去看原著。五十六本，一个暑假。在我心中，男子当如寇仲，豪气霸气加灵气。纵使血顺剑留，马革裹尸，亦能以天下为棋盘，下生死之棋局。可惜电视里，只看到个为爱而生，又为爱而死的多情种。书中，寇仲因徐子陵跋锋寒的几句话放弃天下，而电视中竟是为了两个女人....            
(NA)	 经典就是经典。            
(4星)	 没看完，不过感觉还是不错啦~PS：发现自己弃了n多电视剧。。            
(2星)	 唐宁和胡定欣~            
(3星)	 现在回顾才发现腐点            
(4星)	 建议看完剧集后看原著            
(4星)	 好怀念啊，到现在都已经7年了。我老了，仲少不老——只要王某不糟蹋你。            
(4星)	 为了婠婠 为了那个精灵            
(4星)	 人、终究逃不过一个“情”字。该剧对情的刻画挺好的 。双龙都好帅啊 。            
(4星)	 看了新版的，觉得这版实在是帅哥美女            
(3星)	 高一和X一起看的~            
(4星)	 终于找到粤语版的了，开看~            
(4星)	 因为无聊重又看起这部连续剧，算了，其他的不说了，喜欢里面的寇仲和绾绾。            
(5星)	 我的爱~寇仲 玉致 绾绾            
(NA)	 又是小学时看的。。。            
(NA)	 当时就林峰啊！！！！            
(4星)	 徐子陵哪里娘了，说他是纯阴体质。美女出场安排得当，高潮迭起阿。武打很好看，跟艺术作品似的。婉婉妖气冲天，真是人神共惑阿。师姑娘绝对是位吹箫高手。影子告诉我们，打入对方最好的方式就是救他性命。参杂历史题材的武侠看着过瘾，寇仲拍的这么立志，大丈夫建功立业，非要总说为个娘们的借口有点歪            
(NA)	 宋玉致啊宋玉致            
(4星)	 帅哥美女            
(3星)	 头一次看，这回真的被伤到了.....            
(NA)	 婠婠，一个可爱的妖女            
(3星)	 原著多牛啊 这个 平淡了点            
