http://movie.douban.com/subject/1423043/	京华烟云
(3星)	喜欢这剧里的赵薇，我就看了半集，也算看过吧。
(3星)	是这样淡薄的性子，才能离了爱，依旧相敬如宾。
(4星)	一集一集看完了。受益良多。
(5星)	为此三天看了原著！
(4星)	这一版的姚木兰，赵薇演的挺不错的
(NA)	只能说结局太内个了 原著还没看完
(4星)	赵薇那次转型转得很不错，看出来相当努力
(3星)	赵薇的声音要是配音就好了
(3星)	小台你说得对，这个版本的孔立夫和姚木兰是绝配……
(4星)	赵薇演的比想象的要好
(4星)	我喜欢胡可的演技
(4星)	挺喜欢赵薇的。潘粤明跟董洁一样讨厌
(2星)	如果没看过小说，也许我会打三星半。我喜欢的莫愁和荪亚就这样被编剧毁掉了。赵薇的演技还是赞一下，虽然觉得她没把木兰偶尔表露出来的柔弱无助演到位，而且这个木兰也太圣母了吧o(╯□╰)o
(4星)	繁华梦如云烟过眼 错落的爱情 我只能许你来生 因为电视剧的演绎而想去看原著 强烈的悲剧色彩具有深切的感染力
(3星)	林语堂的原著很好，我爱民国。
(5星)	每个人物都很爱！
(4星)	姚木兰和孔立夫才是真正的柏拉图。。。
(4星)	单纯作为电视剧其实也还好。
(5星)	陈宝国！
(3星)	整部电视剧应该还算可以吧。曹丽华很悲剧，受新思潮影响的她追求自由的爱情也不是过错，但错就错在她的追求对象是曾荪亚，悲剧就悲剧在曾荪亚身边有个万年好媳妇姚木兰……哎，那个历史时期的爱情终究是悲剧的吧！
(5星)	纵然看上几遍也让人难以忘怀
(3星)	姚木兰简直被刻画成圣母了
(4星)	潘粤明是不是本色演出。
(NA)	最近电视又在播
(4星)	美得冒泡的姚木兰呀。
(1星)	狗血的剧情，吼一下，只能算原著的同人电视剧。改编，那是什么，可以吃么？
(4星)	偶像女子
(4星)	1、绝对不做完美女人，没好结果的。2、见情敌，第一要务就是不能低眉顺眼。3、不舍得死就别去做小。
(4星)	小赵成熟了
(NA)	-女神＞3＜。
(3星)	我真怕看这种拉锯战似的情感纠葛戏，当断不断。
(3星)	改编得果然是太厉害了，看得我都快忘了原著是什么故事啦
(4星)	这部开始赵薇变得越来越沉稳大气了。先看的书再看的电视剧。我很喜欢潘粤明
(4星)	人生人生，我也是其中之一小丑否？
(2星)	完全没拍出原著的感觉。
(3星)	今年又重新看了几集。。。
(3星)	木兰的悲剧最终成为happy ending。谁在身边谁就在眼里。总在眼里慢慢就在心里。。。
(4星)	喜欢本剧演员，看完片子就想去读原著，希望读了原著后不太失望
(3星)	编剧太没有人性了吧 国难历史活生生成了一部婚姻家庭伦理片 编剧拜托别那么低级行不行
(2星)	改得也厉害了点吧
(5星)	对赵薇第二个阶段的喜欢从这里开始。对《京华烟云》的喜欢也从这里开始
(NA)	這片的舞美順眼多了不是。
(2星)	1 不是同期声 难受2 这怎么也算“大制作”了吧 为什么布景那么丑 竟然还有采集露珠什么的外景是用绿拍的 用不用这么省啊= =看完补充3 狠多场景很粗糙4 诸如被雷劈死这种情节也太不符合整个故事的气质了吧 莫非原著也是如此？5 减一星
(NA)	电视上一放我就看 看了那么多年都没看完过！
(NA)	在成都没事儿闲得看的，姚木兰真是个好女人。
(NA)	情节太牵强
(3星)	看了原著再看这部电视剧，不喜欢把原著大改成这样。无可厚非，达到了电视剧的目的。可我仍然希望能把电视剧这部著作拍的细腻一点儿。作为电视剧三颗星，全部给的是演员的演技。
(5星)	姚木兰是个才女  曾荪亚是个畜生 曹丽华是个小三儿
(4星)	剧本改得太厉害了... 演员不错
(4星)	正经不错 小潘可算代表中国好男人的第一人
(4星)	跟着我娘看的
(4星)	我蛮无聊的，但这就是假期吧……
(3星)	为了潘粤明……五星。把原著改成这个鸟样，三星。
(3星)	还算不错 赵薇还是有些差距
(4星)	演员选的好，那就成功了一大半了。
(4星)	悲剧一场…………
(5星)	怎么让赵薇演这么憋屈的角色。。。。哎。。。
(3星)	前几年看过的。
(3星)	给姚思安莫愁红玉各一星吧。。
(5星)	nice
(4星)	继还珠后赵薇最美的一次，大家闺秀啊！
(3星)	不是说演得不好，可是剧本得水平跟原著差远了
(2星)	给两颗星是因为我觉得能把书改成这样也挺不容易。
(3星)	一生挚爱——宝国哥！！！
(5星)	书页不错呐
(4星)	赵薇完美蜕变~如此贤惠淑女。。。
(NA)	我只喜欢书
(1星)	跳啊跳的莫愁，不苟言笑的姚思安，没有霸气的马祖婆完全不符原型。订婚了素云还和经亚手牵手压马路，荪亚、牛怀瑜和莫愁竟然还有情愫，这也改的太不和情理...我草，最可恨的是，把体仁与银屏的事直接截去而安在荪亚与曹丽华身上，顺序全没了
(4星)	姚木兰。
(4星)	电视剧里赵薇还算比较知性
(4星)	觉得赵薇已经演的不错了
(1星)	不喜欢不尊重原著的
(3星)	赵薇不错，我觉得后来挑她来演花木兰就是因为这部戏~
(5星)	以前半夜起来看的~
(5星)	虽然没看完
(4星)	男人成熟的成长史
(3星)	如果没看过原著，可能觉得电视剧还行，但其实改编后的电视剧与林语堂先生原著中所要表达的内涵是有挺大区别的，电视剧中莫愁的性格与原著很是不同，而立夫、荪亚的变化也很大，同时将原本发生在体仁和银屏身上的故事放在了荪亚和曹丽华身上，显得变化太大，失去了原著的味道，让人不禁有些失望。
(4星)	赵薇转型成功之作。
(4星)	认真看完的电视剧，无论如何，支持赵薇
(5星)	有几处很感人的，北京的秋天和冬天
(3星)	我宿舍的大妈们说了，赵薇演得不好。我就觉得潘粤明配不上赵薇。
(4星)	高中时候每个礼拜会有那么一天让我妈送爱心午餐来学校以改善伙食，那阵子京华烟云在播，老太太总是埋怨因为给我送午饭没看到大结局。莫愁好漂亮，这里的赵薇多好
(3星)	不如赵雅芝那版
(3星)	莫愁漂亮死了
(5星)	还记得半夜看这部剧时的激动，真真是很好看。有空一定要去瞧瞧林语堂先生的原著。
(4星)	实在没有勇气看完原著，但是电视剧就很好看。
(5星)	姚木兰姚木兰～！豆瓣好厉害...
(4星)	央视的大戏怎么可能不看呢。。。旗袍喜欢。
(3星)	冲着赵薇来看，都说这里赵薇成功转型，但不难发现这里还有许多小燕子的痕迹。
(4星)	情节的改编还是很不错的。片尾曲尤其好听~
(4星)	赵薇呀赵薇！
(4星)	应该是好多年前看的央视吧。。。恩，高二
(3星)	半夜看热闹
(4星)	高考完的时候碰巧电视重放，就对着这部剧放声大哭~~~~~~
(4星)	就是和原著实在是不能比&gt; &lt;出入太大了……
(2星)	改得太离谱了，非常之ft
(NA)	又看了一遍，牛怀玉是个很真实的人。
(NA)	改得太傻。
(3星)	我一集不漏的终于看完了！一个星期啊！
(3星)	赵薇改戏路。
(3星)	改变了很多情节，人物性格也有较大改变，不如文字深刻。还是喜欢书
(NA)	和书有出入 不过挺喜欢赵薇演的姚木兰
(3星)	電視上演的，覺得還行，就看了看。
(5星)	赵薇最成功的一个角色。
(4星)	烟云飘走了，还会再飘走
(NA)	好
(4星)	我觉得赵薇演的真是很不错。。
(4星)	大气
(4星)	原著很好 片子不差
(4星)	从这部戏看到赵薇的蜕变。
(3星)	中规中矩
(3星)	冲着林语堂去的，传说中的诺贝尔提名，但看了几集后还是决定看原著（中文版），大师的文字是无法被超越的~
(3星)	2005
(3星)	跟原著相比，在主人公的爱情线上下了功夫。表演尚可，比较不错的是人物造型，挺养眼的。
(3星)	没有快进*2看不下去的片子.搞不懂,就为了一味凑集数,就把一个片子刻意地拉那么长有意义么?
(4星)	我要做姚木兰那样的女人
(NA)	喜欢
(3星)	cctv在重播，顺便看了一下。
(3星)	唱白脸的没唱好
(5星)	女子无才便是德。这话注定木兰是出悲剧
(4星)	姚木兰&amp;曾孙亚
(1星)	糟践了原著！
(4星)	不说编剧 赵薇演得不错~
(2星)	电视剧拍得太不靠谱了……
(4星)	姚木蘭是個很知性的女人，同時她也很精明，這樣的女人試問又有幾個能做到呢
(4星)	不温不火不冷不热。唉，浪费了一本好书
(4星)	我看的第一部黄维德的戏，当时被他的帅吓倒，惊为天人。他后来的任何一部戏都未曾超越过...
(1星)	电视里每重播一次我就要吐一次血。说句发自肺腑的：我十分想把这编剧拖出去毙了！
(3星)	那丈夫。。无语，让他去屎
(4星)	和原著相比改了许多，为了迎合现代市场的需要。只可恨把我最爱的木兰刻画的失去了原来的风味。不过赵薇还是比较符合我心中的木兰的形象。
(4星)	几段婚姻各自的悲欢离合，让我感慨，梦中纷踏而至的逃离让我痛哭失声，为什么那时候的大宅门里的悲欢总能牵动我的心？莫非前世我也是那深深庭院中的一个女子？
(5星)	我就是喜欢民国
(3星)	开弓没有回头箭
(NA)	以前看过的电视剧，不大能记起来了
(NA)	因为看了这个电视剧 把书买来看了 故事很不一样
(4星)	还不错
(5星)	忽略原著喜欢潘粤明
(3星)	难得赵薇也前凸后翘了起来
(NA)	人不是畜生，没必要互相施恶
(4星)	一个无可挑剔的女人
(3星)	赵薇还是演这类的角色感觉好。
(4星)	除了瞎编还是瞎编。唯一让我看下去的动力是赵薇的木兰。唯一让我给四星的理由，是赵薇和潘虹
(5星)	喜欢潘粤明的气质
(NA)	vv在里头好美 T-T
(3星)	赵薇同学的普通话为什么就是练不标准= =
(5星)	结局狗血了些。。。小三情节差嗲没气死我，可是我还是喜欢~
(2星)	陪我写综述
(4星)	乱世沉浮
(4星)	不喜欢这个电视剧的编剧，失去了很多京华烟云中原本的东西了，但是很喜欢赵薇的表演
(1星)	把书改的面目全非……
(NA)	她不喜欢，可总演良家妇女~
(4星)	与原著还是差距大的，潘粤明演的不好，其他都很好
(4星)	我觉得赵薇演挺好的.虽然我不太喜欢它.更爱北京了尤其是老北京
(3星)	还是书更好看！
(3星)	欣赏木兰
(2星)	作为一个电视剧乱七八糟无可厚非，可是它要玷污林语堂最经典的小说就让我忍无可忍了，干嘛不去乱编个剧名和角色，一定要叫这个名字。鄙视。
(5星)	秋天·西山爱北京的理由
(4星)	赵薇的气质演古人比较合适
(4星)	赵薇演的太好了，神态拿捏的很准！
(NA)	编剧: Yutang Lin / Zhang Yongchen导演: 张子恩 (Zien Zhang)主演: 赵薇 / 潘粤明 / 邱琦雯上映年度: 2005集数: 44语言: 国语官方网站: http://www.gt-m.com/movie/jinghua/in
(NA)	服装很华丽 赵薇很好很好..
(4星)	这还不错 不错不错
(5星)	里面的女孩都挺美的.关注各个家族的命运..也没看全.
(1星)	編劇簡直是厚顏無恥地朝原作者臉上吐口水，還有這麼多人給5星？反串嗎？
(4星)	喜欢里面多样的人物形象
(4星)	高考前的堕落~~
(4星)	赵薇确实演得不差.
(5星)	神州谁是自由民。。。
(1星)	太差了，完全是糟蹋原著的八点档
(4星)	赵薇穿旗袍的样子太漂亮了~
(NA)	真是林语堂死了，胡乱窜改人家的作品不负责任。
(4星)	见一豆友这样评论:总体来说，央视《京华烟云》是个彻头彻尾的失败：情节牵强附会，是非观混乱；角色个性矛盾，让人反感；故事小家子气，悲剧不象悲剧喜剧不象喜剧，既不符合当时历史环境也不符合现代社会潮流。除了有点原作似是而非的框架以外，没有了原作的一点点精神。叫作《京华烟云》实在是亵渎了这部献给抗战军民的作品。///如此点评不免让人反感.片子有不足,但也不至于此.什么叫做个性矛盾?那样的社会背景下,保持从始至终的个性,那不是人,而是神!!!何况是如此一个顾全大局的姚木兰!!!!
(4星)	老三真TMD贱
(3星)	只是因为喜欢赵薇。原著是我最喜欢的英文小说。
(4星)	特意去找来原著看~
(5星)	为数不多的看过小说又看电视剧没有失望的，赵薇在里面很出彩，很有书中木兰的味道，端正大气
(4星)	片尾曲
(5星)	造型美啊。。。
(NA)	与某人有关的，与记忆有关的，与逝去有关的。
(3星)	唉 有时候好感叹 同是女人 差距怎么就这么大呢
(4星)	我觉得不错
(1星)	喜欢赵薇。严重背离原著的情节，无法接受
(5星)	姚木兰这样的女子　爱啊～～
(2星)	乱改。
(4星)	05年时候看的~觉得赵薇的突破表演，里面还有胡可
(NA)	事实证明人是会变的，老刘就是一个实例
(3星)	书好
(5星)	喜欢赵薇这种感觉，喜欢这种年代戏
(4星)	早期喜欢的作品，为此还看了小说。很喜欢这里赵薇饰演的木兰。
(4星)	还不错！
(3星)	智慧女人木兰也。
(NA)	改编不佳
(4星)	好看啊，一点都不过时
(4星)	赵薇转型之作啊
(5星)	虽然改编的有点过，但作为电视剧还是有可看性的~
(4星)	赵薇演的最好的一部了
(5星)	演员都很给力
(4星)	木兰是个好女子，尊严二字当前。前期荪亚的善良与懦弱凡人常有。今日的安宁与自由是人类最大的进步与幸福呀。
(NA)	哇，莫愁太漂亮啦！
(2星)	个人觉得林语堂的小说挺二流的，不过电视剧就三流了。虽然力挺赵薇，但实在不喜欢姚木兰，好到让人觉得虚假。
(5星)	我很喜欢看这部戏，每次看都很津津乐道丫！
(4星)	还是很喜欢赵薇
(4星)	都说电视剧改动太多，改得不好。所以决定开始读起原著。不过，总体感觉不错，赵薇转型之作。
(4星)	  一看就被吸引了  蛮喜欢这种题材的电视剧  能反映一个时期的社会 但是看了剧评后想想  赵薇演的姚木兰的确不够  我看着也总觉得少点什么 
(2星)	老版只一个赵雅芝便可撑起全场，新版差太多了，只有立夫与木兰的相逢比老版风雅些，陈宝国与潘虹还可镇住场子，赵薇总还差点什么，黄维德版孔立夫带着安雪臣的样，演技不过关啊。
(5星)	林语堂的书。赵薇的姚木兰完美。
(4星)	赵薇演的真的不错。放假之前看了一集情深深雨蒙蒙……再看这个。果然人是进步的！
(4星)	姚木蘭，霸氣的大家閨秀!
(4星)	赵薇好漂亮啊
(4星)	这。。。只能说忍者无敌啊。说什么生女当如姚木兰的都是混帐老子。活着就是为了成为教科书上的范本么。不过小潘子在剧中倒是和现实里如出一辙，最大的出息就是都娶了个极为出众的老婆。
(4星)	最爱京华
(NA)	看到姚木兰的婚姻最后有了个好结局总是欣慰的。“人约黄昏，翩翩不再少年路”，喜欢这首《发现》
(5星)	赵薇的电视剧都很好看，电影都一般。记得当时在家看过一次，然后高一的时候每天下午吃完饭，大家都一起坐在教室里看。
(NA)	姚莫愁贼漂亮！！！
(4星)	赵薇萧瑟的妆容和语气真是深得我心。
(3星)	那会儿跟着我妈一块儿看的
(NA)	感觉林语堂这故事写的挺淡的，反倒电视剧拍的感觉挺不错的，也有可能是赵薇的原因~不过老先生有句话说的好，生女当如姚木兰~
(4星)	虽然有赵雅芝的珠玉在前，但是赵薇的表演还是很赞的，自从军旗装事件后，赵薇在影坛几乎消失匿迹，虽然拍了几部电影，但是不卖好，京华烟云算是转型之作。
(2星)	各种失望
(4星)	京味还是挺浓的。
(NA)	好喜欢里面的赵薇，太美了。
(NA)	平庸的电视剧。三星。
(4星)	初中喜欢林语堂
(3星)	有赵薇就觉得看不下去
(4星)	赵薇真的可以因为这部戏摆脱小燕子。
(3星)	华美，不能理解姚玉兰和孔立夫的怪异隐忍，因而觉得编排欠妥
(4星)	讲多都是眼泪。
(4星)	挺想看书的，大家手笔
(5星)	里边的旗袍真心漂亮，在大时代背景下的故事也好看
(5星)	最爱的一部剧.
(3星)	演员不够給力，有点糟蹋了
(4星)	潘粤明在里面就是渣男啊
(4星)	很喜欢很喜欢。若女子，必为木兰也
(3星)	老师在讲内部控制==我向晨曦要了本书来看。电视剧看过片段,撇开原著不谈,彼时风味相当传神,不知道有多少人改观了对赵薇的印象。但原著实是好极,几无描绘之辞,然性情,风貌,世态全乎跃然纸上。
(3星)	终于相信她不只是小燕子 
(3星)	对我来说，这还是一个充满可惜的故事
(4星)	我很想看林语堂原著啊
(4星)	高三时的回忆嘞，莫愁长得好白！
(5星)	喜欢里面内敛而善良的赵薇
(3星)	赵薇的木兰很有原著里的英气，可惜整个情节改太多
(4星)	制作精良啊
(4星)	还记得那句话：好一个姚木兰！
(5星)	虽然和原著相去甚远，但……还算不错。
(5星)	赵薇很有味道。
(NA)	赵薇 我的最爱！
(3星)	还行吧。
(4星)	每次看见电视上放都要看的电视剧！
(5星)	先看了一点电视剧，再看原著，再看电视剧的。觉得还是不错的。但是剧里太注重刻画木兰了。。不过要突出赵薇么，也就算了吧，不过剧里每个人都演得挺好的
(5星)	妈妈特别喜欢，赵薇彻底的转变啊！喜欢这样端庄大气的女子，不喜欢王琦瑶
(2星)	没什么意思我觉着
(4星)	很早时间看的 就记姚老子一把火烧了家底日本 鬼子没得逞
(4星)	觉得赵薇的扮相特备好看
(5星)	家仇国恨
(3星)	如果爱能回到从前，错过的花开，会不会依然美丽如初？
(5星)	无法自拔地喜欢赵薇
(4星)	赵薇最好的一部剧   孔立夫不错 
(4星)	这个角色算不算赵薇的巅峰？
(3星)	邱琦雯很漂亮
(5星)	大梦谁先觉。
(5星)	看了不止一遍~
(3星)	电视剧这玩意看点就算看过。。。不过赵薇还行是吧
(2星)	和原著差的好远啊……里面美好的女孩子都沾上了现代社会的浮躁气。尤其是莫愁，差太多了。失望……
(5星)	林语堂的原著作品赞，演员也不错
(4星)	第一次看赵薇不耍宝。。。着实惊艳
(4星)	我很喜欢姚木兰的，只是这个版本演绎大气的时候，我却觉得也在苦逼了一把。不过还是可以去看看，制作精良啊。
(4星)	喜欢赵薇演绎的姚木兰
(4星)	那时，木兰
(4星)	演员演得都还不错。当电视剧看看还行。。
(5星)	演员一般 但是书实在是太棒了~
(4星)	国产之经典
(4星)	没看完
(5星)	超好的电视剧，原著给力，电视剧也给力。喜欢姚木兰。喜欢赵薇。
(1星)	乱改一气
(3星)	我喜欢这种讲述民国时期名门望族的故事~
(NA)	如此长的剧，到最后也把我看累了，但看到最后姚思安放火的那场时，竟是泣不成声了，那一幕真的震撼我心了。没看过小说原著，看评论有些骂声，也不想去想太多了，以后补上原著就是。想到最开始时对木兰的隐忍百般不解，现在也不能说解了，只是看到改变的荪亚才给自己找了个心安的借口。但这部戏实在惨！
(4星)	喜欢木兰
(3星)	潘粤明演的好。
(4星)	虽然没看过旧版的，但是这部很好看，胡可很给力啊，几位长辈的表演太精彩了
(3星)	编剧失败 演员给力
(5星)	好看，老戏骨们的精湛演技！
(3星)	3.5星~喜欢片尾曲~
(4星)	如果不是赵薇演，那应该会是5颗心，因为剧情本身很好
(5星)	好喜欢！就是我心中木兰的样子。结局有点扯。
(4星)	以前斷斷續續看過一些，一直很喜歡潘粵明的。裏面的女孩子都很漂亮誒~
(4星)	出于对小说京华烟云的向往看了这部电视剧，姚木兰的温婉被端装刚烈取代，有些许改动。但私以为赵薇拿捏这个角色还是很好的。不过真心讨厌这部剧里的曾荪亚这个角色，每次看到都要振臂高呼——也就是电视剧，也就是改编的剧本，要不你到哪去找第二个姚木兰～～～～～
(3星)	后来对赵薇感觉良好 
(NA)	我只关心孔立夫
(NA)	细节各种美好
(NA)	完全觉得没看头啊  这种默默牺牲的女人
(5星)	那么好的片子，不知道为什么不受重视~为此我还专门看了原著，发现原著其实比电视剧更好，没那么拖沓冗长~不过，赵薇，真的演绎得很不错的呀~
(5星)	赵薇的成熟之作哦～
(4星)	我有次写作文还写了这个呢
(4星)	姚木兰为什么不和孔令夫在一起！！！！！
(4星)	木兰。。
(3星)	李征写的歌词啊 老曹很擅长唱这首~
(1星)	岂一个烂字了得···原著写得这么好的被拍成这样居然！
(3星)	时隔很久赵薇接演的电视剧。
(2星)	请尊重林先生！！
(5星)	最喜欢赵薇的一部电视剧。后来去翻了原著发觉改动很大，但电视剧版真心蛮喜欢。
(4星)	较之台湾偶像剧 才给的四个星 
(4星)	冲赵薇给4颗星
(5星)	我挺爱看的。赵薇的气质不一样了。
(5星)	大赞，很喜欢。若先生有知，大约也会喜欢的。
(3星)	无触动
(3星)	我妈爱看的，没看完的
(NA)	几年前看的，木兰很端庄，大气。想想赵薇也红了十多年了，我还是很喜欢她的。
(4星)	这也算是个讲演技的电视剧了……
(3星)	话说这部拍的还是不错的，我爸妈的那个年纪喜欢这部的
(NA)	那时还在上学。每天晚上都想偷偷看一点。
(5星)	最爱的姚木兰
(3星)	还不错的
(5星)	和原著相比，改动了很多
(2星)	還是看原著吧~面目全非。。
(5星)	虽然和原著相差甚远，可能编剧认为美好的爱情必定要经历一番挫折才有可赞美的价值。能亲眼目睹时代变迁，身处动荡是该感到幸运还是悲哀……
(4星)	超级喜欢这个~
(4星)	好看
(4星)	姚木兰就俩字：大气~真是不喜欢荪亚啊~潘粤明演的也好~
(3星)	╮(╯▽╰)╭潘粤明在里面特别欠抽。。。= =
(NA)	从这儿看到了她的端庄。。。
(3星)	剧情进展好缓慢，看的心急。赵薇演的总觉得体会不到介绍里说的那种才气胸襟什么的，还是面对荪亚负气离开时大哭那段演的挺真的。配角不错
(4星)	我很喜欢这个年代的戏~
(4星)	最喜欢的女性角色之一。
(4星)	看过后有看书的冲动了。
(5星)	很不错，只是对比原著改编的太多了~ 
(5星)	道家女儿，当年看原著记忆最清楚的一句话。但电视剧明显把姚木兰塑造成了儒家需要的主母，和原著便一个天上一个地上。但赵薇还是一贯的好，这种好，不需要解释，只需有她在，便是离不开眼的理由。
(NA)	觉得赵薇在这部电视剧中好美，诠释了一个中国女性全部的优点。。。
(3星)	潘虹演的婆婆很得体
(4星)	我也不是很喜欢那么圣母。
(4星)	大概是觉得  赵薇演得真像木兰
(5星)	赵薇真有气质啊，看之前还不这么觉得
(4星)	赵敏演得真的很好！有书的影子，又有自己的特色！
(3星)	改了好多
(3星)	剧情傻逼到毫无逻辑 里面的人没一个知道自己在干嘛 三星给到位的表演 对潘粤明的印象很改观 赵薇演得大气
(3星)	啊我心中的经典就被搞成了这个样子
(4星)	经典
(3星)	微姐不一样了··
(5星)	内地是有好的电视剧的。关机器屁事！
(4星)	温柔的爱会有回报。
(4星)	就是看过电视剧了，所以书一直懒得看
(4星)	和原著虽有出入，不过最后宁为玉碎不为瓦全的结局设置不错。
(5星)	看了三遍。
(5星)	赵薇表现不错
(4星)	电视剧也不错，但还是比较喜欢书。
(NA)	赵薇不错
(3星)	把小说改得太多了，差点就凌乱了
(5星)	角色一个一个的，还是很好看的。
(4星)	说真的这剧把女的拍的都很好看~~
