http://movie.douban.com/subject/2156738/	三毛流浪记
(4星)	 小孩子真不适合看，会有童年阴影            
(4星)	 童年的时候就觉得三毛好惨..好惨....            
(4星)	 小时候看完这片就开始多愁善感了            
(5星)	 小时候看的时候哭死我了。            
(4星)	 还是漫画比较合适            
(4星)	 还真看过            
(5星)	 上海滩孤儿的艰难生活的真实写照            
(5星)	 和哥哥弟弟们一起看过做开心的电影             
(5星)	 小时候看了好多遍            
(3星)	 乃不要虐我心！！            
(5星)	 记忆  ！            
(NA)	 以前没看懂 就一直觉得挺惨的             
(3星)	 电视剧不如电影。            
(4星)	 你敢说你没为他哭过！            
(5星)	 小时候租碟子看的啊            
(4星)	 老上海的            
(3星)	 呃            
(5星)	 太悲伤了            
(3星)	 儿时回忆            
(NA)	 那个社会真实的写照，流浪的孩子            
(4星)	 嘿嘿嘿            
(NA)	 记忆中好像是悲剧。            
(5星)	 小时也看哭过，觉的三毛太可怜了~            
(4星)	 小时候守着电视机看呢~            
(5星)	 所谓童年就是这么不知不觉的。。看夏日的阳光从温暖毫无忧愁到刺眼满是灼伤的痕迹。            
(4星)	 但是我小时候看的很恐怖            
(4星)	 记忆里 被收养的 三毛 在祈求朋友带他逃的时候 其中一个伙伴却死乞白赖想留在那个光鲜华丽的家庭 至今让我觉得 害怕 ~            
(4星)	 小时候的回忆啊            
(5星)	 泪流满面            
(4星)	 在浴缸里的壮举让我印象太深刻了            
(5星)	 1997            
(4星)	 苦逼啊。            
(5星)	 小时候的最爱            
(5星)	 和三毛一起成长            
(NA)	 喜欢喜欢！！！            
(5星)	 知道了张乐平。            
(3星)	 现在三毛挺帅的            
(3星)	 小时候看的，并不很喜欢            
(4星)	 孟智超            
(4星)	 这娃子现在真帅。            
(4星)	 揭露社会阴暗一面            
(4星)	 童年的记忆~            
(4星)	 眼泪流下来。            
(NA)	 第一次在姑姑家看过            
(NA)	 电视剧            
(4星)	 童年的回忆与感动~            
(3星)	 还可以吧。。。。            
(3星)	 小时候就特别排斥看这片子 觉得三毛太可怜了            
(4星)	 儿时的回忆，现在恐怕不让放了吧            
(5星)	 太惨了 记得当初看到三毛好不容易把身上涂黑成衣服  结果一场雨什么都没了            
(4星)	 一个时代的回忆            
(3星)	 大千世界            
(NA)	 看見這個鼻子想起來木偶奇遇記            
(NA)	 在我童年的印象里留下了阴影            
(2星)	 总觉得这个三毛长得好恶心            
(4星)	 几年级看的来着            
(5星)	 童年回忆            
(NA)	 流浪里格流浪~赤脚走过马路哩个弄堂~            
(3星)	 剧情基本忘记            
(5星)	 爱爱爱            
(4星)	 记得三毛圆溜溜的鼻子            
(4星)	 可憐的三毛啊            
(3星)	None
(NA)	 他的鼻子怎么那么奇怪            
(4星)	 黑色幽默            
(4星)	 小时候看到啦 回忆啊            
(4星)	 就是小时候一种记忆            
(4星)	 这个年代出生的孩子都应该看过才对。。            
(5星)	 那个时代的经典。            
(5星)	 好            
(4星)	 小时候会唱这歌            
(3星)	 小时候挺排斥看这个，不忍心看三毛受苦            
(5星)	 光看封面已经不确定是不是小时候看的那部了，但似乎只找到这么一部三毛的电视剧，记得是一年假期播的，那年假期就献给看了，反复看都没关系。            
(4星)	 小时候可爱看了，不过现在也不知道三毛到最后找到妈妈没啊？            
(4星)	 哈哈哈！最爱啊，老想吃三毛的烧饼了~            
(NA)	 = =我看过。。。            
(5星)	 记得小六子。记得拿油漆和报纸当衣服            
(4星)	 童年回忆，经典            
(5星)	 乱世沉浮记。            
(4星)	 很喜欢三毛呀            
(5星)	 电视剧上看的，很好！            
(5星)	 据说孟智超家超有钱            
(5星)	 寒假暑假必放的电视剧啊。听得最多的就是你这个小瘪三            
(3星)	 这片子对小孩来说太黑了~            
(4星)	 依稀有记忆的片，古灵精怪的三根毛。            
(4星)	 光光头上三根毛 圆圆鼻子向上翘 嗷嗷嗷嗷嗷            
(4星)	 当时看的时候很认真呀，有位高中同班同学的初中同学在这部剧里演三毛的一个好朋友，复杂的关系，所以有关注过这部剧。            
(3星)	 回忆            
(4星)	 三毛在旧社会里饱尝艰辛，幼小的我看着三毛也初次体会到了人间的冷暖。。。            
(3星)	 尓豪在里面演过一个摄影师            
(5星)	 曾经每到这个电视剧的时候都不想看，躲在被子里，却老是探出头来看，哭的稀里哗啦。            
(5星)	 陪伴了我多少个童年里的下午，印象最深就是三毛给自己画了件衣服哈哈哈。            
(4星)	 就是总是杯具，看完很沉重            
(4星)	 印象很深，但又忘了讲的是什么            
(3星)	 我是在做回忆录么。。还真是三毛~MIA，小时候才不像人人现在这样BS小资装小资~~~~~小时候明明可以一切都很坦率……连小心事也都是隐秘但阳光的，阳光的……            
(4星)	 研究过他的鼻子= =||            
(5星)	 不打五星怎么对得起这个小赤佬！            
(5星)	 突然发现中国也有那么多经典的剧            
(3星)	 孟智超现在都认不出了            
(5星)	 三毛的髮型 從未被人模仿            
(4星)	 模糊的记忆~当时不愿意看三毛可怜的遭遇~看到自己心疼。            
(4星)	  童年回忆。            
(NA)	 爸爸 打点滴和漫画            
(4星)	 有一集挖眼珠 好恐怖            
(NA)	 小时候很喜欢看。            
(4星)	 经典！            
(NA)	 想当初我家刚买了VCD 我很骄傲的 家里买了套三毛的爹 小朋友都来我家看             
(3星)	 我觉得年幼的时候看这么沉重的剧集有点太早，每次看完都很郁闷，导致后来拒绝看了。            
(NA)	 我有主演签名            
(4星)	 看过好几遍,都没机会看到结尾            
(5星)	 很感人，特别是小时候看的时候            
(4星)	 小时候就把我看哭            
(3星)	 我连这个也看过。嘿嘿。            
(3星)	 五分啦其实  记得但是没有什么喜欢不喜欢            
(2星)	 不喜欢这个三毛            
(3星)	 sanmao            
(NA)	 那是我觉得最上海的上海            
(3星)	 蛮代表性的三毛。。现在小三毛也长大咯。。小时的回忆。。            
(5星)	 大饼裹上大葱  被师父收养  被好心的女人收养    感动过我``            
(3星)	 断断续续看过一点。除了同情以外，可惜没有同时代的共鸣和感慨。            
(4星)	 小时候超喜欢，总想像三毛一样流浪            
(4星)	   小学 暑假的时候  都等着时间看            
(5星)	 记得小时候。。。            
(4星)	 真挺怕看这种的            
(3星)	 看着有点压抑            
(3星)	 难看            
(4星)	 美好的回忆啊~            
(5星)	 应该看过吧，忘了            
(3星)	 小时候很爱看            
(4星)	 儿时的经典            
(4星)	 印象最深的是三毛的鼻子很可爱            
(3星)	 只记得歌了            
(3星)	 小时候我妈老威胁我说再不听话就把我跟三毛调一下...            
(4星)	 感动……            
(4星)	 小时候看得那个揪心啊            
(4星)	 几个小演员都演得挺不错的，包括反派人物“黄大炮”，给人印象深刻            
(NA)	 小时候给看哭了 印象挺深的            
(5星)	 童年的回忆            
(3星)	 小时候看的感觉像在上课接受教育            
(NA)	 漫画家张乐平作品改编            
(NA)	 小时候看过，忘了，拾回我的记忆！            
(NA)	 看得心里内个苦啊....没看完 就觉得三毛永远找不到家了要给瞎子小女孩眼珠子内集印象最深            
(2星)	 覺得很悲傷很可憐啊 不忍心看的趕腳            
(5星)	 好喜欢好喜欢            
(3星)	 笑声里掺杂着一些小心酸。。。            
(4星)	 还记得，小偷教小孩用手指夹沸水里的肥皂...太惨了~            
(3星)	 还是喜欢电影版的            
(3星)	 纠结着看这个。。            
(NA)	 那个时候特别佩服这小演员，演的真就是三毛。            
(3星)	 小時候的消遣就是這戲            
(5星)	 三毛浴缸拉屎，我一辈子都忘不掉勒~~~~~~            
(3星)	 3.5星。            
(3星)	 怀旧啊            
(5星)	 记得去奶奶家上课，学写作。她说写文章要有铺垫，就像三毛流浪记里面，那个男的放下帽子，特意拍了下这个帽子。之后剧情中帮助三毛逃跑。。所以那个帽子就是一种交代，一个铺垫。            
(4星)	 小学暑假片子~加颗星给我的童年            
(3星)	 最有型的少儿发型！小演员太老成，不喜欢            
(4星)	 很经典。            
(NA)	 难忘的经典回忆！            
(4星)	 小时候喜欢的。            
(5星)	 儿时的回忆~            
(3星)	 这个谁没看过啊            
(4星)	 小六子才是活生生的孩子，三毛太脸谱化了            
(4星)	 小时候觉着特好看~            
(NA)	 压抑黑暗片            
(4星)	 十里洋场小三毛……            
(4星)	 笑中流泪啊            
(3星)	 典藏吧，高级的幽默            
(4星)	 现在的小孩连三毛是谁都不知道了            
(4星)	 当时很喜欢其中一个小孩儿 好像叫小六子            
(3星)	 toujours préfère le livre            
(NA)	 “三毛里格三毛，流浪里格流浪，赤脚走在马路里格弄堂”我到现在还会唱整首诶= =||            
(3星)	 结局绝望            
(4星)	 三毛好苦            
(3星)	 童年            
(NA)	 张乐平爷爷～            
(4星)	 以我当时那个年纪..可以说是初次深刻地体会道了生活不易这一道理..            
(3星)	 三毛里格三毛            
(4星)	 陪伴着小时候            
(NA)	 好经典呀            
