http://movie.douban.com/subject/3197006/	越狱  第四季 Prison Break Season 4
(4星)	 We are captives of our own identities, living in prisons of our own creation. Not everything is as it seems.            
(5星)	 竟然结局了 唉            
(NA)	 终于结束了~            
(3星)	 一切就这样结束了 3年的日夜相守仿佛黄粱一梦般随着迈克一起静静地入土为安。            
(4星)	 终于睇晒了...            
(3星)	 狗尾续貂，越看越没味。最后把史高飞写死了，我还以为史高飞要和sara过上幸福美满的生活呢～            
(3星)	 就像毒瘾一样，虽然很不想这么干，但我还是干了，我还是继续看越来越拉七八糟的越狱。。。为了Michael吧。。。不过就这样结束了,曾经高三时的antidote,还是有些感触。可以说是人生中第一部美剧吧:)            
(4星)	 21&amp;22 完结 7月21日附送特别篇             
(4星)	 嗷终于完了...            
(4星)	 不想看了。            
(NA)	 烂尾，关键是米勒一季比一季胖，太幻灭了            
(5星)	 kellerman成Boss了。。哈哈哈哈。。            
(2星)	 一季更比一季差。michael的死因还百度了半天= =。我是有多不专心。            
(5星)	 最终完结，不管过程好不好，对我来说有着铁一般的意义。            
(2星)	 什麼亂七八糟的編劇和結局。我和我娘說Michael小時候經常流鼻血後來沒流了 後來他又開始流 後來他死了 只有31歲。。。我娘說 你別亂說。。。            
(4星)	 We are captives of our own identities living in the prison of our own creation”。             
(4星)	 这个结尾也可以?最后一幕还可以。            
(2星)	 抢到scylla之前的剧集不错，后面就是一塌糊涂            
(NA)	 怎么胖成这样？吃啥了            
(5星)	 花了三天            
(4星)	 所以说……聪明的人都不会有好结果的…吗……            
(4星)	 SARAH回来了！！！可惜最后和MICHAEL天人永隔            
(3星)	 某男同学痛苦的看完四季之后发誓这辈子不再看美剧……可怜的娃            
(2星)	 大家都华丽丽的升级了，对于Bellick的死我感到很痛心，Alex果然和黑妞有一腿！            
(4星)	 其实后半段完全没必要。。里面两个女人我都很喜欢~            
(5星)	 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊，结尾不应该是这样！你活过来啊！            
(3星)	 比第二季好一点点，mahone完美！mahone威武！！micheal走韩剧男主角路线了！！linc进化为脑残            
(3星)	 终于收尾了。            
(5星)	 老子爱死迈克了            
(5星)	 终于看完了，MS终于赢了，我也赢了。            
(2星)	 米帅雪佛兰广告比这精彩            
(4星)	 千辛万苦、心神憔悴终于将其看完            
(3星)	 补了好多年啊。。。            
(3星)	 就是为了结个尾吧            
(4星)	 终于团结起来了Michael死咗            
(4星)	 Hands-on dad:Like,if the baby needs a bottle in the middle of the night.I will totally keep your side of the bed warm until you geback.热泪盈眶。            
(4星)	 很欣赏这种快节奏、大信息量的叙事方式。            
(5星)	 结局有些伤感，但还是挺美好的。爱的力量是强大的。            
(4星)	 我的英雄发福了，最后还死于几滴鼻血。大概，天妒英才，就是形容你。            
(2星)	 为了不虎头蛇尾，耐着性子看完了。真TMD的无聊的剧情，无病呻吟。            
(3星)	 最后两集            
(NA)	 科技前沿；伟大的神Michael            
(4星)	 sara回来是最大看点。.我喜欢sara，喜欢michael            
(4星)	 和妈妈在暑假一起看  爽            
(5星)	 506            
(5星)	 我力荐它的理由是因为那个大结局吧。            
(4星)	 终于西天取经完毕，结果孙悟空因绝症离开取经团。虽然不喜欢这个结局，但也只有这样结局比较符合逻辑。不然超人始终存活，最后还是会走向平庸。            
(4星)	 每集我都在想、、如果MICHEAL偷到SCYLLA、、我就去偷考卷=V=大爱MAHOME和T-BAG~~            
(4星)	 不愧为最后一季，很美剧的结局            
(5星)	 这部mahone变帅了····我爱sucre~            
(4星)	 终于结束了，不是最完美的结局，但也不是最纠结的。片尾曲聽著好難受。。。閃光燈的背後不是笑容。。。Mahone穿喇叭褲真夠帥的。。。            
(3星)	 如果男主不那么庞大。。            
(4星)	 斗智斗勇的帅男好片！！哈哈            
(3星)	 第一部完整追完的美剧            
(NA)	 我不想打分了            
(4星)	 花两天时间看完22集的直接后果就是左眼疼痛&amp;淋巴浮现……间接后果即为激发了我所有的消极因子。一切皆为一场空。我要睡一天一夜来打压之。            
(NA)	 终于完结了啊            
(2星)	 PB系列真的是虎头蛇尾            
(2星)	 已经找不到看S1时候的心情了, 狗血            
(5星)	 结尾终于落泪了，一直压抑不安的心情在最后得到了纾解，michael的死让人感动惋惜，多好的一个爹啊。            
(4星)	 竟然今天才看到特别版~            
(4星)	 I can&#39;t promise a miracle,but I&#39;ll always be trying.            
(3星)	 总算over了            
(5星)	 为什么他最后死掉了。。。            
(NA)	 经典            
(4星)	 finally a warm endingbut I am really sorry that machael can&#39;t live to enjoy the peaceful life that he struggled for            
(3星)	 虽然后半段后难看，但是结局Mike挂掉还是很惆怅的~            
(4星)	 米帅挂了……            
(5星)	 结局的突变让人有点喘不过气.            
(4星)	 像轮回一样，又重新开始了，只希望各回各位，我的正常的生活在哪里啊            
(5星)	 - May 19, 2009            
(3星)	 终于结束了。            
(4星)	 happy ending is more preferable            
(NA)	 be the change you want to see in the world!            
(4星)	 终于看完了···还是很不错的···编剧为了让结局出人意料做得有点OVER了···            
(3星)	 用一个星期的时间补齐最后一季。不管怎样，三年的时间，从第一季的惊艳到随后的拖沓，从单一越狱线索到纷繁复杂的人物关系，我想不仅观众甚至编剧可能都难以掌握其中了吧。结束总是伤感的，更何况是以一个天才的死来收尾……            
(2星)	 太扯了,kellerman就这么突然出来做救世主了?这么轻易就take down the company了??我就晓得最后ms会挂...不过话说第三季没看都能接上也让我很无语...唔...还是第一季精彩...            
(2星)	 捏着鼻子看完的...终于结束了...其实这一季的前几集还可以，但和前面一样，编剧实在无法保持水准，终于还是露出了本来面目，烂得无以复加，导致再也无法续约了。安息吧，米帅...            
(3星)	 冲结局加一星，都累了。。            
(4星)	 再见 michael！再见 prison break!            
(4星)	 终于看完了            
(4星)	 为PB终于结束鼓掌，不管最后那块墓碑有多么地狗血。            
(2星)	 终于结束了            
(4星)	 终于播完了            
(5星)	 这个结局也许是最好的            
(3星)	 终于完了            
(4星)	 the end            
(4星)	None
(3星)	 太拖了实在            
(5星)	 Jesus!            
(4星)	 Scofield,Mahone,Sucre三个都满爱的~~最后的音乐是Lay It Down Slow，活着的人好好地活下去吧。            
(4星)	 终于玩完了。看着累死了            
(5星)	 每一季都给了5星！这部剧是我第一部真正意义上追的美剧不说也投入了不一样的感情！            
(5星)	 给结局5星            
(5星)	 嗯，还没完，不知结局如何呢，期待啊。。。            
(2星)	 根据本剧纵向比较的打分            
(3星)	 这一季，这一季 22 结局            
(4星)	 Finally... eventually... it&#39;s over            
(4星)	 编剧心理阴暗阿|||            
(4星)	 touching ending            
(2星)	 曾经有那么一瞬间，我觉得没那么差了……结果又峰回路转，扶摇直下了……            
(4星)	 赶快完结吧……            
(5星)	 DNA决定一切            
(1星)	 无以伦比之绝顶烂！            
(4星)	 最后一集的结尾像极多线叙事电影的结尾，音乐安静详和，自由无限可贵。            
(NA)	 连着看第三和第四季还成，第二季真的不怎样            
(5星)	 真不希望这是最后一辑！！！            
(4星)	 嘛嘛,我对这个大结局还是很满意的,毕竟相比史沟飞我更控mahone多些啊            
(5星)	 终于结束了            
(3星)	 Over~~            
(4星)	 四年，一个结束，结束在，最好的时刻            
(4星)	 没啥说的            
(4星)	 没再看下去            
(4星)	 终于结束了，从大四看到现在。            
(NA)	 不能再演下去了...没谱了~            
(4星)	 比第三季强            
(4星)	 The End.            
(4星)	 发福的史搞飞大团圆以及小小的遗憾            
(5星)	 时隔两年，终于全看完了。            
(3星)	 明知无可期待而欲罢不能            
(4星)	 很长一段时间，都是一份记忆            
(5星)	 麦克没有死            
(4星)	 31岁.            
(4星)	 米帅太肥了.我喜欢alex,大叔控            
(5星)	 看了几年，断断续续，终于结束了。我不知道导演为什么要Michale死？让结局并不那么完美。不过，最后人人都去了该去的地方，找到了最后的“归属”。            
(3星)	 还真是圆满！            
(5星)	 MICHAEL J. SCOFIELD10.8.1974-11.4.2005Husband,Father,Brother,Uncle,FriendBe the change you want to see in the world            
(2星)	 虎头蛇尾，anyway，终于看完了            
(NA)	 得啥子脑瘤....            
(3星)	 看到后来无聊了~~            
(4星)	 嗯，这季还是蛮有看头的            
(3星)	 这部电视剧伴随着一段四年的生活一同结束。虽然一季没有一季精彩，但习惯性的追随。            
(5星)	 陪伴着我的大学生活。至今最精彩绝伦的美剧。            
(4星)	 四年，真是老的老，亡的亡，前浪都倒在了沙滩上            
(NA)	 苏格雷在这一季里完全忘记他的女人了么            
(5星)	 音乐也很好。            
(4星)	 终于完结了，给4颗星致敬一下，毕竟等待了如此之久。michael的离去在我意料之中，所以能平静接受。            
(4星)	 finally over            
(5星)	 再见迈克尔。            
(4星)	 终于完结了。每个人都有了归属。            
(4星)	 狗血的四季            
(3星)	 最后的两集还不错，不过结尾不是很喜欢            
(2星)	 finally..come to an end..            
(4星)	 小米好胖。            
(3星)	 没看完，忘记是看到那集停播了，貌似看不下去了            
(5星)	 冲着这结局……我还是得给五星。            
(2星)	 最后一集也太牵强了吧...            
(4星)	 在第123季之后我的眼睛里只剩下拼命抑制，解脱了么。            
(4星)	 快点结束吧            
(4星)	 it&#39;s over。            
(3星)	 PB的结局告诫编剧大人们，千万不要把剧情搞得太复杂，否则当你无法自圆其说的时候（譬如只好让死人屡次复活...），只能用一个傻帽式的结局来忽悠观众。            
(4星)	 终。            
(3星)	 啊又开始了            
(4星)	 一部比一部不行了，前些天用PB做桌面，个MM居然说：你咋找了一群乡下人...            
(1星)	 熬完。            
(5星)	 看得我心惊胆战……            
(4星)	 放弃            
(3星)	 和迷失同时结束，终于完结            
(4星)	 越狱神奇的结束了，如果越狱说要再拍十季，我也不觉得奇怪。故事早已跑题到令人发指的地步了。而我的越狱情绪还一直在KEANE的 SOMEWHERE ONLY WE KNOW的年代，从第三季开始已经看不到迈克的演技，可能前两季已经耗尽了他的三分钟热度，也许就是黔驴之技了，而后期马宏这么受人爱戴，早已是预料之中的事情。            
(2星)	 在第二季就应该完结了            
(NA)	 结束了...            
(2星)	 美国            
(3星)	 不要把观众当sb            
(4星)	 剧终了。。《越狱》的日子也结束了。。            
(5星)	 就这样完了么 大学就这么过去了            
(4星)	 想起来还是第一季最好看。似乎大家都变得迟钝了，不像一堆精英在一起，反而像一堆饭桶，唉。尤其mahoon和micheal，都变得脑瓜不灵了。sara这个角色处理的不好。似乎只剩下tbag惊艳依旧。            
(3星)	 我还是跟不动了...            
(3星)	 总算牵强的结束了，了了一桩事情            
(5星)	 我爱你 再见 再也不见  谢谢你陪我度过的日子  可是最终还是个死结            
(4星)	 终于不用再逃跑了...            
(3星)	 越來越離譜，不打算追了            
(NA)	 早就不看了……            
(3星)	 没头没尾            
(5星)	 陪伴我4年勒啊~We are captives of our own identities living in the prison of our own creation            
(5星)	 不知不觉 看了4年了            
(NA)	 米帅长残了。。。            
(2星)	 编剧完全失控了            
(3星)	 跟随三年，总算大结局了。            
(5星)	 终于结束了。            
(5星)	 終于結束.原來已經四年.            
(4星)	 都没有prison了，哪来的break?            
(5星)	 好吧，第四季总得看完吧。            
(2星)	 Be the change you want to see in the world 欲变世界,先变其身.            
(5星)	 Bye~3 years            
(NA)	 到16。。我还是会坚持到底的。。            
(3星)	 终于完了!            
(3星)	 终于大结局了             
(2星)	 随便跳出一人就能拯救世界 s!            
(2星)	 正在考虑放弃            
(3星)	 终于看完了……后面觉得拖得有点长了……还是有点悲哀的感觉啊……片尾曲不错，其实我认为结局起码是耐人寻味的，算是意料之外情理之中吧……            
(4星)	 PB的回归...            
(NA)	 “不久某天，我们会泛舟海上远离尘嚣，我保证。”            
(4星)	 结局完美吗？            
(4星)	 当年眼睛贱看了大结局梗概、 最后一集不忍心看呐 一拖再拖。追了那么多年都成泡影。            
(5星)	 4月17 17集回归            
(3星)	 最后结束了。也只能这样了吧！            
(2星)	 我还是忍了，感叹时光飞逝，等来这结局            
(5星)	 终于看完了，也是，你陪了我走完大半个大学。            
(3星)	 lay it down easy            
(4星)	 哎··            
(3星)	 看不下去了，这一季也太过分了            
(4星)	 PB是我第一次完整的从一开始播放就追到最终的美剧            
(5星)	 很怀念 越狱 以后要收藏一张碟            
(2星)	 改名英雄前传得了，越来越垃圾，放弃。            
(3星)	 从最最初始的惊心动魄到最后的草草收尾，4年一越而过            
(5星)	 原来真的会哭的。            
(4星)	 whatever it&#39;s finally over            
(3星)	 michael你變肥鳥~要努力keep fit了！            
(5星)	 一部越狱。陪伴了我整个大学生活。            
(4星)	 终于结束叻，从大学到现在的追看，从开始哈米帅，到迷恋小马哥...曲终人散的时刻还是很温馨的            
(NA)	 2009.05.20            
(4星)	 终于在号称最后一季中再现第一季的紧迫感。就让令人厌的第三季远去吧！            
(4星)	 死亡才是你的终点。            
(4星)	 2008~2009            
(4星)	 终于结束。            
(4星)	 好么,到这就结束了...            
(2星)	 放弃之            
(5星)	 一部美剧，一些岁月，            
(5星)	 到最后居然喜欢上了Bellick            
(3星)	 我觉得能坚持到第五季的都是神人            
(4星)	 居然比上一部好看了            
(NA)	 再一次被编剧坑了……乱七八糟的这是什么剧情呀……            
(5星)	 啊，这个漫长的过程~终于结束了。            
(NA)	 好吧，第四季到了拿到SCLE以后就真的很没料            
(5星)	 阿历克斯太美了。。。。            
(5星)	 自由自由自由自由自由。            
(3星)	 好吧·看完了·起码我喜欢William Fichtner    Robert Knepper   Amaury Nolasco这三个演员            
(4星)	 米帅这季已经肥的不像样了，大猩猩最后折的那只纸鹤真是煽情。一个星期煲完四季，爱mahone！（真的太想吐槽最后马宏和黑人女警接吻两个人的表情了）            
(4星)	 收尾稍微有点乱 两季前的人还出来了不少 有些牵强 Michael的死有点仓促            
(4星)	 结局很完美很温馨，犯罪的其实都是政府，人民永远都是被逼的。患难见真情，患难交真情....            
(3星)	 越到后面，越讨厌Micheal他哥啊！            
(NA)	 不是24集么？怎么写的是22集            
(NA)	 总算折腾完了            
(5星)	 最后一季果然最爽，看得我心潮澎湃的~            
(4星)	 终于完了            
(4星)	 尽管是由差强人意到狗尾续貂，但还是没法说服自己停止。太咸湿了这个结局TTTTATTTT            
(5星)	 看第一季的时候我以为我喜欢的michael，第二季的时候我以为我喜欢的是t-bag，第三季我又以为自己喜欢的是将军，第四季结束了很恋恋不舍，原来我一直爱的是alex            
(5星)	 刚看几级，好期待最后的大BOSS！            
(NA)	 弃剧            
(5星)	 i don&#39;t wanna run anymore            
(3星)	 囧            
(4星)	 I hate this ending            
(3星)	 这苦盼四年的结局啊 你如此狗血为哪般？            
(4星)	 米帅胖了 莎拉老了 林肯冲动鲁莽 小苏够义气 马宏让人心疼 T bag 小善良 四天追四季 要结束的时候我却觉得好难过            
(5星)	 也算是美好的结局了，总要有人付出的。最后一幕，还是挺想泪奔的……            
(4星)	 。。。。。            
(4星)	 michael死去，或许是对这个世界平衡的一种交待与取舍，面对如沐浴阳光的自由空气时，一切都变得值得。最喜欢马宏和苏克雷。他们让这些所谓的“犯罪”充满了爱的力量与正义的光芒。            
(5星)	 不管怎么样 我还是给五星            
(4星)	 相比前面的 太紧凑了            
(NA)	 迈克这一季怎么胖到这个地步？            
(3星)	 麦克终究离开了 为什么得这么遗憾落幕了？            
(3星)	 终于都结束了。            
(3星)	 太过罗嗦 没完没了。实在不明白男主就这样的结局了是为了什么。四部越狱越看越像鸡肋。但是还是很好看的。只是第三第四部 还有最后一越 略失所望。            
(4星)	 brad董存瑞式牺牲后，我承认我真的被震撼到了，当然还有那个想改头换面成科尔普发的t-bag当他想重新做人的时候，别人却总不是不给他机会。。。            
(3星)	 越来越扯。。。michale就这么挂了啊。我的kellerman终于又出现了！！！ kellerman！！！！！！            
(4星)	 这剧情一而再再而三，我都快要乏了。            
(4星)	 剧情很跳。但还是很好看！            
(3星)	 编呗 谁不会啊 。            
(4星)	 michael~你怎么了michael 你怎么这么胖            
(5星)	 拖了一两年，到结局的时候突然很难过。还是最开始的时候好，你活着，聪明的活着。            
(4星)	 我算明白了，编剧就一负责洗牌的。            
(4星)	 虽然被批的一塌糊涂，可终结篇划下了一个句点，再也没有了。            
(4星)	 迈克尔死了...            
(1星)	 还可以更侮辱下人类的智商吗 难道编剧这是为4岁孩子看的？我打一个字都感觉大脑被强奸一下 能拍出如此之烂 我深感佩服            
(5星)	 再见! Michael             
(5星)	 还是没放下            
(4星)	 最后一季了。。。终于要结束了。。。            
(4星)	 结局很难过            
(3星)	 当年看的第一部美剧 追得可生猛了 现在都没那个精神气儿了            
(4星)	 算是都有了交代。MS好肥了。            
(NA)	 胖了            
(4星)	 胖得啊 哎呦            
(4星)	 终于消停了！！！但是麦克却死了。。5555555。。。舍不得啊~~            
(2星)	 剧情又是一家人相残，但是比24里设计得还要awful。12集结尾的twist一开始就想到了，因为如果要制造剧情只能在Self的身上做文章，真出现的时候非但没有惊艳之感反倒只让我觉得编剧黔驴技穷。S3那么好的创意到了S4非但没延续反而让编剧自己否了，深表惋惜。            
(5星)	 动作！            
(5星)	 我爱费尔南多！            
(1星)	 我亲爱的越狱啊，原谅偶给你打了1星+垃圾片标签~怪只能怪那个万恶的编剧，搞出了这万恶的最后一集。矛盾冲突的最高点没有得到升华，反而走进了死胡同。江郎才尽了……            
(5星)	 相当之经典    追了这片子好久了   终于在昨天都看完了    lay    lt   down   slow    作为结束曲真的挺不错啊      麦克终于不用再跑了                
(4星)	 终于看全了看完了 爱你 michael            
(3星)	 哎~            
(NA)	 终于走到终点            
(5星)	 第一部看完整季的美剧。最后那段配乐有泪点。虽然这个男人一季比一季胖。可是我还是爱他的双下巴。            
(3星)	 又一个坑了广大观众青春的东西 什么P结局啊！！（摔碗            
(4星)	 第四季            
(5星)	 一星给ms，一星给TB，一星给Belick，一星给Mahone。还有一星给半圆满的结局。            
(4星)	 michael还是走了.眼眶有点小湿.            
(NA)	 超人，你们都是超人啊。            
(5星)	 还是哭了，每天一季，开始暴痘。虽然有Michael死了的狗血剧尾，还算的上美满~~            
(3星)	 复杂但不够紧凑，不过是我的第一部美剧，看到结局还是很感动的。。            
(NA)	 死人全活了，只要剧情需要！            
(5星)	 Michael竟然是被电死的。            
(5星)	 再聪明的头脑，就算逃得脱劲敌追捕，也逃不过命运安排。结局真让人心酸。            
(4星)	 T-BAG是他父亲的悲剧，MICHAEL何尝不是？两人都用不同的方式斩断轮回的链条，只不过,MS用的是能让自己解脱的方式。            
(4星)	 这个纠结到我直接忽略第三季,嗷嗷嗷....            
(4星)	 艹！帅哥屎了！            
(NA)	 没完没了的鸡肋            
(2星)	 终于越狱在麦考尔越见发福的身躯中落下帷幕。            
(4星)	 Michael  你胖了。、            
(3星)	 没心没肺的编剧硬是把Michael给写死了....            
(4星)	 完结。Michael T-bag  Mahone             
(3星)	 感情分             
(4星)	 终于全结束了。            
(2星)	 编剧江郎才尽，越来越胡扯：太扯了，差点看不下去。            
(4星)	 说句实在话比二三季都精彩，可惜，完结了，可惜我没看完            
(4星)	 只因为他死了  要不就是5星            
(NA)	 不得不说，最好看的只有最后的结局、、、            
(4星)	 米帅简直胖得不可饶恕。。。。第四季双下巴都出来了···            
(1星)	 你要有多胖才知足，马宏好            
(5星)	 纠结的结局            
(3星)	 太···曲折了！            
