http://movie.douban.com/subject/2085721/	小龙人
(5星)	 喜乐&amp;甜麦圈            
(4星)	 现在想想虎头蛇尾的原因在于旅程的冗长            
(NA)	 我喜欢小龙人奶糖……            
(4星)	 他妈到底是谁？            
(4星)	 京都绘本之鞍马の天狗:http://jackyzhang820325.spaces.live.com/            
(5星)	 OMG，我的童年啊～            
(4星)	 说实话我已经记不起具体的情节了 后来结局怎么样了...            
(NA)	 已经不记得什么了            
(4星)	 不错。            
(4星)	 我头上有犄角 哈哈             
(NA)	 现在想想是个很黑暗的故事            
(5星)	 我有许多的秘密~就不告诉你~就不告诉你~就不告诉你~            
(4星)	 我有许多小秘密小秘密，就不告诉你就不告诉你就~不~告~诉~你~~            
(4星)	 “我有许多小秘密，就不告诉你～”            
(5星)	 头上有犄角，身后有尾巴~~            
(5星)	 我们都爱看！            
(5星)	 其实我没看到结局            
(5星)	 天上有五十个星星！            
(5星)	 头上有犄角犄角~身后有尾巴尾巴~            
(NA)	 假期又看一遍！爽            
(4星)	 怀念啊~            
(4星)	 就不告诉你就不告诉你。哈哈。            
(4星)	 我小时候真的被你吓到了            
(3星)	 不知道为啥,我不是很喜欢这个            
(5星)	 回忆是说明我已老            
(3星)	 那时候暑假总放            
(3星)	 记得当年看过后很郁闷            
(NA)	 很囧            
(4星)	 傳唱至今不老寳歌 )))            
(4星)	 小时候最爱看的电视剧.天天都要等着看.遗憾的是,只播放一次就不放了.陈嘉男与我同年,现在的他怎么看怎么象7几年的人了.嗯,我象9几年的.            
(4星)	 就不告诉你就不告诉你            
(5星)	 我头上有只角.            
(4星)	 童年的回忆啊！！！！陈嘉男现在好胖orz            
(5星)	 就不告诉你，就不告诉你……            
(3星)	 那片儿里还喝喜乐呢！～            
(5星)	 我有许多小秘密小秘密呀小秘密....小秘密呀小秘密,就不告诉你....            
(NA)	 就不告訴你，就不告訴你，就不告訴你。。哎喲~怎麽了嘛            
(3星)	 就不告诉你，就不告诉你，就不~告诉你~。            
(4星)	 的确是童年啊 呵呵。怎么评分呢 总之当时真的很喜欢看 还买了原声磁带。            
(3星)	 对歌记得比片子熟。            
(3星)	 觉得很恐怖            
(5星)	 童年的記憶。            
(5星)	 挖 童年的幸福回忆啊            
(4星)	 我有许多的秘密，就不告诉你。。。            
(NA)	 小时候看的            
(5星)	 小时候百看不厌。            
(3星)	 找妈妈的故事。童年回忆：雪地找妈妈的镜头印象很深。            
(4星)	 那时还有一种类似于喔喔佳佳的奶糖，就叫小龙人，淡绿色，很清凉，很好吃的！            
(4星)	 哈哈，差点没有收这部            
(5星)	 就不告诉你!            
(5星)	 有下载了，重新看！            
(NA)	 重金求购喜乐酸奶一罐            
(4星)	 回忆童年...            
(5星)	 看过，无限喜欢，无限怀念！            
(5星)	 我有许多小咪咪~~小咪咪~~~            
(4星)	 小时候突然在家大哭就是因为看这个，默妈妈还以为我被谁打了=。=            
(NA)	 当时那个哭啊。。= =            
(NA)	 哭死了            
(5星)	 小时候就看它了。。。            
(5星)	 我脑门儿比他大            
(NA)	 我有许多小秘密··小秘密···            
(5星)	 童年的象征            
(NA)	 小龙人四人组和柯南四人组组成非常类似，有且必须只有一个女孩            
(4星)	 这个就。。。哈哈哈ww            
(NA)	 人生中第一次迟到就是看他看得。。。。            
(2星)	 男主太诡异导致我一集也不敢看。但我会唱这歌。            
(NA)	 哈哈            
(5星)	 我有许多小秘密。            
(NA)	 现在无聊了还会哼我头上有犄角。。囧            
(NA)	 小时候觉得特惊悚            
(NA)	 我一定看过＝　＝～            
(4星)	 1。小龙人的妈妈是谁！！2。终于找到多年来总是梦见甜麦圈的原因了。3。奇奇你太可爱了！怎样才能生出这么可爱的小娃娃呀！            
(NA)	 就不告诉你~就不告诉你~            
(NA)	 补遗            
(NA)	 我头上有犄角~身后有尾巴~北京的四合院~全都被拆完啦~            
(5星)	 我小时候长得超级像小龙人。。。。。。。。            
(4星)	 最爱.小龙人曾是我儿时幻想中的第一任男友:)            
(5星)	 这算最好的了            
(2星)	 可怕的回忆！！！！            
(4星)	 他说，我有许多小秘密~~            
(4星)	 有台在重播啊！！！！            
(NA)	 翠翠婆婆            
(5星)	 小时候好喜欢看~为什么不重播。。。            
(4星)	 就不告诉你就不告诉你            
(5星)	 ！！！！！！！！！！！！！！！！            
(5星)	 我还会唱里面好多歌            
(NA)	 &#34;我头上有犄角...&#34;            
(5星)	 我爱小龙人            
(5星)	 哭得稀里哗啦的            
(3星)	 真不知道说的什么故事了            
(3星)	 小龙人            
(4星)	 3-4岁的最爱~!~            
(3星)	 我小时候很不喜欢唉。。。男不男女不女的。。。唉。。。i唉。。。            
(5星)	 “就不告诉你，就不告诉你，就不~~~告诉你”            
(3星)	 今天的豆瓣猜给我推荐的，我就加上了。小的时候不爱看，我要看圣斗士，表弟就跟我抢着看这个。但是现在我们已经十几年没见过了            
(NA)	 ....            
(4星)	 “我是一只小青龙，我有一个小秘密小秘密...就不告诉你，就不告诉你...”瞧瞧我们小时候多任性。哈哈            
(5星)	 他们现在在做什么?            
(4星)	 兒時的記憶了...            
(4星)	 小时候的~            
(5星)	 剧情好囧。。。哈哈哈            
(5星)	 不知道能不能找到了，结局是什么来着一会去看看。吼吼~            
(NA)	 闸门。            
(1星)	 小时候放长假一个人在家，不喜欢看又不得不看的片子，那时很厌恶这部片子，现在回忆起来仍觉得神秘遥远而古怪            
(5星)	 哇靠!!!!!!!!!!!!!!!!!!!!!!            
(NA)	 大老龟大老龟            
(4星)	 儿时的记忆 、我是一个小龙人  。小龙人。            
(5星)	 看哭了，呜呜。            
(NA)	 80年代            
(NA)	 头上有犄角 身后有尾巴            
(5星)	 俄狄浦斯情结            
(5星)	 我以前可爱看啦现在我都还记得剧情呢！！！            
(1星)	 片子难看歌难听 讨厌8需要理由额 制片也是讨厌鬼1个            
(1星)	 这是一部极其拙劣的片子            
(4星)	 小学，透过窗户看别人家的电视            
(5星)	 啊~二年级的暑假...            
(4星)	 TN。            
(5星)	 小神龙!!!            
(3星)	 小时候很爱看 剧情差不多都忘记了``            
(NA)	 oh,my love.            
(5星)	 想好久了。            
(5星)	 当年那个痴迷啊……            
(5星)	 喜欢~~：）            
(4星)	 还真是特别喜欢过。当年还有个老师非说我像奇奇。            
(NA)	 memories,don&#39;t change to blue            
(4星)	 结尾没看到啊啊            
(4星)	 一直到现在我还记得那首主题曲。            
(NA)	 头上有犄角~~            
(5星)	 你娘的现在的小孩看得都是什么呀              
(4星)	 我一直觉得这个片很害怕很惊悚            
(4星)	 我那一去不复返的童年，我那哼唱着主题歌的童年，荡着秋千唱着大老龟，晃着脑袋唱着就不告诉你，幻想着自己的脑袋上也能长出龙角。这一切的美好消失无踪影，只剩下忧伤的回忆。            
(5星)	 就不告诉你。就不告诉你。            
(5星)	 以前看的时候哭啊。            
(NA)	 经典            
(1星)	 小时候就很讨厌看的东西。            
(5星)	 竟然还有这个……            
(NA)	 儿童            
(3星)	 童年啊            
(5星)	 那时候 哪个迷恋啊             
(3星)	 豆瓣上居然连这部儿童片都有~~            
(5星)	 我头上有犄角犄角~我身后有尾巴尾巴..我是一条小金龙~我有许多小秘密,就不告诉你~~~!!!            
(NA)	 经典中的经典~~我头上有犄角~~我身后有尾巴~~谁也不知道~~我有多少秘密~~            
(5星)	 就不告诉你！            
(NA)	 555555555555555555.........我老了！            
(2星)	 太悲伤了。。。所以我小时候很讨厌它            
(3星)	 小时候看过。总觉得小龙人的外貌太难看。            
(5星)	 我的痛啊~看着这个就难过...            
(NA)	 我都忘了说什么了，但是主题歌很好听！            
(3星)	 全剧赤果果充斥着无数广告，冯小刚和这比真是小乌见大乌。            
(5星)	 记忆啊。。。            
(4星)	 我还唱过这歌呢            
(3星)	 小时候看觉得还不错，现在回忆起来，剧情实在松散了些            
(4星)	 还可以            
(NA)	 瓦卡卡            
(5星)	 就不告诉你，就不告诉你。就不告诉你。            
(4星)	 主题歌记忆犹新            
(NA)	 我有许多小秘密 小秘密            
(5星)	 好神奇.还记得那个什么穿上后可以隐身的披风..            
(5星)	 童年            
(4星)	 现在风行有全集了~~~重温            
(NA)	 找妈妈            
(NA)	 小龙人            
(5星)	 我一直记得小龙人白天站在石桌子上的一幕            
(5星)	 小时候看过电视听过磁带流过眼泪。            
(3星)	 就不告诉你 就不告诉你 就不告诉你            
(NA)	 一直不太喜欢小龙人,怎么长成那样啊?而且主题曲也很不好听..不过,Anyway,童年回忆之一.            
(3星)	 貌似记不得结局了。            
(NA)	 看着看着就扑到了妈妈的身上            
(4星)	 我有许多小秘密，就不告诉你……            
(3星)	 我有许多小迷迷 小迷迷...            
(5星)	 我们这一代人的集体记忆。            
(3星)	 窝头上有鸡脚~我身后有尾巴~我有许多笑眯眯笑眯眯笑眯眯~九不高苏尼~九不高苏尼~九不~呜~高苏尼~那个时候应该很喜欢看吧- -为啥现在想起来有点小恶心            
(3星)	 80后我估计没人没看过这个节目清楚的记得这个节目首播是在一个六一儿童节的傍晚            
(5星)	 我的童年再也囬不去了            
(NA)	 给了我最完美的梦            
(NA)	 http://www.tudou.com/playlist/playindex.do?lid=1948389&amp;iid=9598048那个头发蓝不拉几的小孩真是吓死我了，记得小时侯就不怎么爱看那个片，92年了都还能拍出那么无聊的片……最后再说一句：小龙人真的很恐怖！~            
(5星)	 哈哈～  除了名字其他都忘了～            
(5星)	 小时候看，特心疼            
(NA)	 主题歌！            
(NA)	 很小的时候看过，每次想起来都想哭了，妈妈是世界上最美好的词汇。            
(NA)	 很可怕！很害怕！噩梦！            
(4星)	 中国人都看过的吧~            
(4星)	 不久前又温习了一遍……            
(3星)	 .            
(4星)	 童年里的记忆            
(5星)	 我头上有犄角 我身后有尾巴 谁也不知道 我有多少秘密            
(5星)	 哭过             
(3星)	 小时候真不爱看，那天见到陈嘉南，发现他和小时候长的一样，哈哈            
(NA)	 就不告诉你，就不告诉你，就 不 告 诉 你~            
(4星)	 怀念，里面有个小胖子            
(NA)	 有史以来最牛×的儿童电视剧～～～            
(3星)	 简直想不起来是什么时候看的，但那是个暑假，除了这点，长了2个小犄角的小龙人哪            
(5星)	 北京孩子都看过            
(5星)	 因为共同的记忆 共同的怀念            
(3星)	 很喜欢，当年的科幻启蒙，想起龙母，居然还有一种时代的无力感，爽            
(5星)	 童年             
(3星)	 给俺留下心理阴影D故事，绝对不会重温！            
(NA)	 我是一条小青龙小青龙呀我有许多小秘密小秘密            
(5星)	 至今仍会唱插曲。。            
(4星)	 绝对没看过结尾，一直留着呢            
(5星)	 我头上长犄角~~~就不告诉你~~就不告诉你~~就不~告~诉~你~            
(5星)	 儿童时期的经典阿            
(5星)	 哦买噶的!犄角犄角!            
(4星)	 我头上有犄角,身后有尾巴            
(5星)	 天哪~~居然还有它~~多年后想起来很幸福的电视剧。。。            
(4星)	 故事的开始无比迷人...            
(3星)	 依稀记得是个小孩子的故事,还有朗朗上口的主题曲,可是谁也不知道我有多少秘密.            
(3星)	 小时侯就觉得小龙人很恐怖            
(4星)	 为了看它，我还逃暑假班的舞蹈课。            
(NA)	 我有一个小咪咪...            
(3星)	 感觉找妈妈的那部分有点诡异。。            
(4星)	 童年            
(NA)	 我有许多小秘密，小秘密－－，小mimi＝＝|||            
(NA)	 小时候看的            
(5星)	 他妈妈到底是谁呀？            
(5星)	 小时候非常爱看的电视剧！            
(NA)	 谁把这个找出来的，太好玩了!            
(NA)	 有点忘记内容了，看了好多集啊！            
(NA)	 内时候等八点一到就坐电视前等中央一套的日子一去不复返了吧.            
(5星)	 就不告诉你 就不告诉你 就不告诉你            
(3星)	 童年美好的回忆 就不告诉你 就不告诉你 就不告～诉～你～ 怎么突然红起来了～            
(5星)	 找妈妈的故事            
(2星)	 我有许多大咪咪 大咪咪            
(NA)	 凑个数            
(3星)	 我们小时候的电影，还有多少人记得呢？今天突然看到。好经典的片子。            
(4星)	 怀念小时侯            
(NA)	 一直就觉得演小龙人的这个小男孩长得很怪诞，果然不是人类么..            
(4星)	 小时候喜欢的，至今还记得那首歌            
(4星)	 我有一个小秘密 小秘密 就不告诉你 就不告诉你            
(4星)	 我是一个小龙人 我有很多小秘密~            
(5星)	
(5星)	 有点不记得了 但是歌一直会唱＝＝            
(5星)	 小时候很喜欢啊！！！            
(4星)	 我头上有犄角，我身后有尾巴~~小时候各种跟着唱啊 = =~            
(4星)	 哇哈哈            
(4星)	 里面的很多插曲我都会唱。小时候还看哭了呢。童年回忆啊。            
(5星)	 这还不是经典么！亲！            
(3星)	 小龙人为什么不穿裤子            
(5星)	 无言。            
(5星)	 其实这个挺先锋的。            
(4星)	 结局忘了            
(4星)	 哈哈哈            
(NA)	 臥談談到了            
(5星)	 怀念啊            
(5星)	 童年留下印象最深的儿童电视剧，当年特别喜欢，满心的回忆和温暖。            
(NA)	 我头上有只角 只角 我身后有尾（yi）巴 尾（yi）巴            
(4星)	 我有很多小mimi~            
(4星)	 哈哈哈··小咪咪~            
(5星)	 小时候很喜欢看啊。。            
(NA)	 童年时代的最爱！            
(3星)	 囧啊，话说我小时候看时就很不喜欢~            
(5星)	 直到现在，我还相信这世界上有小龙人！最好的，最最好的！            
(5星)	 好爱啊  现在还想看            
(4星)	 童年的回忆~            
(4星)	 小时候天天看呀            
(4星)	 我有许多小秘密.....            
(5星)	 我好像一直没有看到最后一集 好多童年时看的动画片 都私心的给了五星 记忆就是最无价的             
(5星)	 MB小时候冒着作业做不完的风险都要看的奇幻大戏，必须得五星啊！            
(4星)	 我头上有犄角~犄角，我身后有尾巴~尾巴…我是一条小青龙~小青龙，我有许多小秘密~小秘密，就不告诉你~就不告诉你~就—不—告—诉—你——！            
(NA)	 妈的，内流满面。。。。。            
(NA)	 印象太深了             
(4星)	 就不告诉你 就不告诉你            
(4星)	 已经没什么映像了~            
(5星)	 我小时候看的时候哭死了            
(5星)	 属于童年~            
(3星)	 找妈妈            
(5星)	 我要再看一遍            
(5星)	 印象深刻的是 当时就已经有了万恶的软广告.... 大大泡泡糖            
(4星)	 儿童科幻剧启蒙            
(3星)	 其实我想说，为什么这么长，老受难，老找不到妈妈，最后还敷衍了事，草草收场，我就不信了，小龙人能满足！他太可怜了，最后仍旧没有妈妈            
(3星)	 就不告诉你就不告诉你～就不告诉你～            
(5星)	 喜欢看这个电视剧，除了故事情节吸引我以外，我觉得主角跟我长得很像。。。            
(NA)	 偶像            
(NA)	 这都有~太怀念了~~            
(NA)	 T            
(4星)	 这个太经典了吧            
(4星)	 就不告诉你，就不告诉你～            
(4星)	 小龙人找妈妈，哭死我            
(4星)	 那盒磁带~            
(NA)	 儿时的最爱。            
(1星)	 它頭上內犄角是我這一輩子想起來就害怕的東西。            
(NA)	 貌似一直都没能看结局            
(5星)	 其实我真的一点印象都没有了            
(5星)	 至今难忘的旋律和情节！            
(NA)	 最詭異的兒童電視            
(4星)	 那会大人都说我小时候像小龙人&gt;_&lt;            
(3星)	 我有许多小秘密，小秘密小秘密，就不告诉你就不告诉你，就不告诉你~~~~晕倒||            
(4星)	 记得那时候很喜欢看的，可就是怎么也想不起最后的结局了。。。            
(5星)	 小时候跑到邻居家看。。。            
(5星)	 还想看，童年的回忆啊。            
(5星)	 当时看的那个老泪纵横啊            
(4星)	 就不告诉你 就不告诉你 就不告~诉~你~！            
(1星)	 为什么只给一颗星呢~因为这部片根本就是我的童年阴影！怎么可以给小盆友看那么悲情的故事啊！！！            
(5星)	 TAT 泪流满面。            
(4星)	 ……其实我记不得了……            
(5星)	 哇，我已经忘了结局是什么了。。。            
(4星)	 “我有许多小秘密”总是会被我和谐成“小咪咪”突然发现：最近在重播！！            
(NA)	 竟然有人没看过小龙人。。OMG            
(5星)	 我头上有犄角。。。            
(3星)	 阿就不告诉你，就不告诉你            
(4星)	 每个星期必追的。。。原来那么小就开始追剧了。。。            
(3星)	 好遥远的回忆            
(4星)	 其实现在已经想不起来剧情了，只记得那时候看这片子的时候就会很激动。很多年以后，还会一遍一遍重复那首歌“我有许多小秘密……”            
(4星)	 其实我觉得小龙人的样子有点恐怖            
(3星)	 完全不记得了            
(5星)	 小时候看 吓得半死、、、            
(4星)	 那个年代，已经很好了            
(5星)	 儿时美好的回忆啊。“我有许多小咪咪小咪咪”            
(NA)	 五颗星给十八年前的自己。            
(4星)	 我头上有犄角，我身后有尾巴            
(4星)	 就不告诉你，就不告诉你…………            
(5星)	 小犄角            
(5星)	 超级喜欢看！！！            
(3星)	 歌曲比剧情更长命...            
(NA)	 以前，妈妈叫我小龙人。            
(4星)	 我头上长犄角～～～            
(NA)	 小龙人            
(3星)	 啥都不记得了。            
(5星)	 居然在魔幻片里找到的这个。。。对幼年时我们这个年龄的人影响确实颇大，有机会我还想看            
(5星)	 激动啊            
(3星)	 没有多少的印象了，但是小时候看得还是比较多的吧            
(5星)	 太经典了！            
(5星)	 昨天晚上安徽台的娱乐节目上看到陈嘉男了。就想起来这个。啊！我的童年！            
(NA)	 翠翠婆婆            
(3星)	 其实到现在，我都没什么印象~就记得这个挺纠结的~~看的我的小小心灵也挺纠结的~            
(5星)	 我有很多的秘密，就不告诉你！            
(4星)	 经典的80后的动画，现在的真人动画很少这么精彩的            
(5星)	 赞！            
(5星)	 就不告诉你，就不告诉你，就不~告诉~你~当当~            
(3星)	 我头上有犄角，我身后有尾巴            
(5星)	 已变成一个透明的东西，我什么也记不得了，但确实是那个时代我干过的一个事，我能用它记忆，这就很好            
(3星)	 小雷人……            
(4星)	 我头上有犄角，我身后有尾巴。。。            
(5星)	 主题曲是我的成名曲            
(5星)	 我的至爱啊！想当年严重影响到我幼小的心灵和简单的生活~可是现在却怎么也找不到了，我要看~我要看~我要看！！！            
(5星)	 很强大的            
(1星)	 我幼年时期的“恐怖电影”            
(5星)	 怎么都要看的动画片            
(1星)	 污染了我的童年！！！            
(5星)	 就不告诉你就不告诉你～～            
(5星)	 就不告诉你，就不告诉你，就不告诉你。            
(5星)	 最后他妈到底谁呀？最后都没看到！            
(5星)	 龙女妈妈龙骨啊~            
(5星)	 我居然还记得主题曲！！~            
(4星)	 当年太小,几乎忘了所有情节            
(1星)	 不好看，但经典            
(5星)	 十分怀念的一部片子.小时候经常看到哭.            
(NA)	 小龙人之歌永远传唱            
(NA)	 童年的回忆            
(5星)	 回家务必看的电视剧~            
(4星)	 小时候的回忆            
(5星)	 邂逅自己的童年            
(5星)	 经典            
(4星)	 现在回想起来，小龙人的造型确实挺雷人了！            
(5星)	 很恐怖            
(5星)	 啊啊啊好想重温！            
(NA)	 记得那时年少            
(5星)	 我有许多小秘密。就不告诉你。伴随整个小学            
(NA)	 光阴流转啊            
(3星)	 找妈妈 爬雪山~            
(5星)	 我童年的珍藏啊~~~            
(4星)	 小学时候觉得很好看            
(4星)	 曾经坐在盆子里裸体观看            
(5星)	 算是儿时的一个里程碑~~了            
(5星)	 亲爱的你们，都长大了吗？我还记得奇奇喜欢喜乐的。            
(NA)	 我日...这片子都有...估计这人都有啤酒肚了吧            
(3星)	 就不告诉你，就不告诉你……            
(5星)	 哇。            
(NA)	 很想看重播~但是始终没有~            
(5星)	 害怕            
(5星)	 就不告诉你,就不告诉你,就不告诉你~~~            
(4星)	 呜~~找妈妈。            
(4星)	 小龙人早长大了            
(4星)	 现在再看，挺傻的            
(3星)	 小时候的恐怖片            
(4星)	 一直觉得小龙人的角很好吃...很想尝一口...|||            
(4星)	 当时看觉得好恐怖哦            
(NA)	 现在想想那个造型怎可怕。            
(4星)	 被雷到了            
(5星)	 给五颗星是因为它代表着我们的童年。不管故事的好坏与否，却是一场美丽的回忆。            
(5星)	 印象比较深，小学的年代            
(4星)	 我头上有犄角，我身后有尾巴            
(NA)	 现在我还时不时哼哼我有许多小秘密小秘密。。。            
(3星)	 喝肉汤那段            
(4星)	 好早的特摄片……            
(NA)	 小时候的记忆，守在电视机旁。            
(5星)	 太美好了 童年。。            
(3星)	 我当年一直觉得这个很恐怖。。。            
(3星)	 现在看来很傻，但是当时看得如痴如醉的儿童电视剧。            
(5星)	 这娃儿现在不能看了 可是小时候每次看都哭到不行            
(5星)	 最好的.            
(4星)	 现在还记得主题歌怎么唱呢。            
(5星)	 超可爱 儿时的回忆            
(4星)	 小时候居然被龙人形态的小男主角萌到过……            
(5星)	 没看过只能说明你没有童年。            
(5星)	 我是一条小青龙 小青龙 我有许多小秘密 小秘密            
(4星)	 我有一个小秘密小秘密就不告诉你～ 不时还哼唧哼唧            
(4星)	 最近好怀旧 小时候看得哭的稀里哗啦的            
(3星)	 小时候            
(4星)	 我只记得我们一帮人在幼儿园的操场上大喊太阳公公            
(5星)	 哦，80后的代表作...            
(5星)	 很经典！喜欢小龙人！我头上两只脚两只脚，我身后有尾巴有尾巴！谁也不知道，我有多少秘密！            
(5星)	 小时候的回忆             
(4星)	 蓝飘带，黄飘带，蓝色的天空中的色彩，黄色是大地的情怀。泉水妈妈变成泉水的时候，我哭了。            
(5星)	 小时候梦到过小龙人的妈妈。            
(NA)	 童年的回忆,永远是最美好的...            
(3星)	 现在想起来幼稚,当时十分迷恋.            
(NA)	 童年 ......            
(NA)	 天啊 这个！ 就不告诉你就不告诉你就不告诉你~~~~~~~            
(NA)	 经典。            
(2星)	 噩梦啊            
(NA)	 太煽情了...估计现在看会受不了..            
(5星)	 就不告诉你            
(4星)	 中国大陆            
(NA)	 = =那装束真灵一            
(5星)	 小时候的恐怖片            
(5星)	 基本忘了 就记得很感人 头上有角            
(4星)	 就不告诉你~就不告诉你~就不告诉你~就不告诉你~            
(5星)	 朦胧中还记得这个电视剧，隐隐约约的感觉，怀念、、、            
(NA)	 小秘密小咪咪哦~~            
(4星)	 就不告诉你，就不告诉你，就不告诉你            
(4星)	 小时候真是每集必看啊~~            
(NA)	 曾经有个人很喜欢的            
(4星)	 童年。            
(NA)	 天上有~无数个星星~那个最小滴就是我~            
(4星)	 结局？忘了            
(5星)	 为什么现在看不到了呢            
(NA)	 小时候的最爱            
(5星)	 我头上有犄角~            
(5星)	 陈嘉男．我看好你的．            
(4星)	 我有许多小秘密 就不告诉你            
(4星)	 我是只小龙人，小龙人。。。不能以现在的眼光来评判它，还记得的就是翠翠婆婆了            
(5星)	 没办法,记得当时锁上自个儿门,家人都以为我去上课了,等他们去上班后,我爬起来看&#34;我有许多的MIMI&#34;            
(5星)	 我头上有犄角 我身后有尾巴            
(NA)	 很小的时候看过。情节不记得了、、            
(NA)	 我就一直在纳闷了，为啥没有重播呢？？            
(5星)	 其实我虾米都不记得了，但我真的很想再看看            
(5星)	 关于童年            
(4星)	 到后来看不明白了。。            
(5星)	 小时候妈咪不在家的时候偷偷看的。。。嘿嘿。。。因为要练琴            
(NA)	 我有许多小秘密，就不告诉你。            
(3星)	 奇奇還是一漂亮妞            
(NA)	 哦麦高这个太怀旧了……            
(5星)	 我是一条小青龙～            
(3星)	 当年吓倒我了            
(3星)	 就不告诉你就不告诉你  ------- 小毛人            
(4星)	 唉，每次都不由自主的往身后看看有没尾巴            
(4星)	 小时候唯一一部拍给小孩子看的电视剧ms            
(5星)	 我仰慕他的发型很久了            
(5星)	 我头上有犄角,我身后有尾巴~            
(5星)	 就不告诉你，就不告诉你，就不~~~告诉你            
(NA)	 我有许多小咪咪...囧            
(NA)	 电视剧            
(NA)	 谁没有看过……?            
(5星)	 奶奶的，至今不知道结局！            
(5星)	 ……            
(3星)	 我好像就没看到结局，妈妈好像是一个巨大的龙骨。            
(NA)	 现在没事还会唱天上有无数个星星。。。真好。还有那个喜乐。。。            
(NA)	 其实我都忘了,只记得自己在洗澡是一直一直唱着那首歌            
(3星)	 其实我不喜欢这电影，觉得很恐怖。。。不知道为什么            
(5星)	 很想看重播~但是始终没有~            
(5星)	 就不告诉你            
(5星)	 五星级催泪弹！！！！            
(5星)	 托儿所的时候..            
(NA)	 前段時間找出來看了下,不明白自己小時候爲什麽會喜歡啊...            
(NA)	 我是一个小龙人，小龙人            
(4星)	 我还真看过            
(4星)	 80后共同的会议阿！！            
(4星)	 童年回忆             
(4星)	 有点恐怖            
(5星)	 小时候就觉得烂尾，但还是喜欢            
(4星)	 编织我童年的所有噩梦            
(NA)	 我有一个小秘密，就不告诉你。            
(NA)	 怀念 ...            
(2星)	 不知道为啥就是不喜欢            
(5星)	 这也是个经典。。可惜老不见重播。。我头上有犄角 犄角 我身后有尾巴 尾巴            
(4星)	 这么惨的剧情，这真的是儿童剧吗。。。            
(NA)	 就不告诉你！            
(5星)	 真希望再看一次。            
(5星)	 具体内容已经不太记得了...            
(NA)	 如果能回到过去            
(4星)	 好可爱~居然还有这个            
(NA)	 我看过很多遍呢！            
(4星)	 为何这么囧的歌词我这么爱唱。            
(5星)	 蓝飘带，黄飘带            
(5星)	 这~~~~歌曲很好~~~~后面一部分其实看得我有点怕= =那时感觉这部剧好长啊~~            
(5星)	 记得以前看时老哭~            
(NA)	 突然好多回忆            
(5星)	 暴喜欢。。。            
(NA)	 头上有犄角~~~~~~~~~~~只记得这个了，呵呵            
(3星)	 当时看起巨心痛。现在看肯定有点囧。            
(5星)	 俺确定幼儿园时，排过小龙人的集体舞            
(5星)	 就不告诉你~            
(5星)	 最害怕的事是被父母遗忘。            
(5星)	 就是因为《小龙人》害得我到现在都还没去过深圳……呵呵~            
(5星)	 谁没看过！站出来！            
(4星)	 哈哈，这个经典了            
(5星)	 这五颗星星呢，完全是按照小时候看这部电视的心情去给的。我那时候看到小龙人的妈妈死掉，唉，心都碎了～            
