http://movie.douban.com/subject/4903593/	万凰之王 萬凰之王
(1星)	 简直是TVB古装戏里最特么恶心我的一部了，选角能让人匪夷所思到这个地步也算是亮点了……陈锦鸿在剧中的表现又一次巩固了他在我心目中“最叉烦的男演员之一”的称号，之二还有陶大宇。            
(1星)	 除了宣萱，还有什么能看的？？？编剧你能不能不要把皇帝写成傻子？？            
(3星)	 每一个小叔都爱嫂子，每一个太监都爱妃子；金枝欲孽山寨大奥，宫心计山寨大长今，万凰之王还不如这俩呢，对白全是大白话，非得经常有一句“为何~？为何XXX！~”为何这么狗血呢？            
(4星)	 时过境迁，我们总能学到一点。            
(1星)	 为了牺牲了的大量的化妆品送一分            
(NA)	 皇帝费尽心机，每天就是讨各个妃子欢心每个妃子都有个曾经的相好            
(4星)	 前几集很2b 后来变好看了~            
(2星)	 剧情弱爆了好么,虽然宣萱和胡杏儿我都喜欢!            
(2星)	 看了两集就弃剧了。            
(2星)	 拳皇贵妃娘娘  前期像苦瓜 后期像夜叉            
(3星)	 这么搞笑的电视剧我居然看完了~啊哈哈哈！这世界上真的会有哪个妃子傻逼到在菩萨面前吐槽自己跟别人偷情！然后其实皇上躲在菩萨后面听到愤然推倒菩萨雕像！这神马剧情啊！三星全部给胡杏儿！            
(2星)	 妆化得太浓了  跟死人似的  衣服太过华丽丽 又屯又难看  显得萱萱跟包子脸都很老  还有陈锦鸿也根本没有皇帝范儿好么  不过他演的是窝囊的道光我就忍了  皇帝太他妈二逼了。。            
(3星)	 康熙完了是雍正 现在连道光也不能幸免            
(2星)	 这个剧太无语了            
(NA)	 好难看。。。。。。            
(1星)	 时间再多也不要浪费在这剧上            
(1星)	 TVB……你是肿么了            
(3星)	 三星也不是真心要给的，但是演员演那么多集那么辛苦……唉……妆容太丑了，剧情也很弱            
(3星)	 腻。            
(NA)	 半夜快进完，宣阿姨的妆那么浓更显老态啊            
(NA)	 15才弃，好佩服自己            
(2星)	 。。。挺难看的            
(2星)	 看了几集直接跳结局弃剧。            
(3星)	 陈锦鸿真心没有演皇帝的范儿……            
(4星)	 2011年看的最后一部戏结束了，但庆幸是这一部好剧。戏里的每个人，都在变，但是最后能改变自己的，只有自己对于自身的认识。她们每个人也许都赢了，但她们也可能都输了。而知道自己要去走的路的，依然只有自己！            
(3星)	 化妆化的实在是...            
(NA)	 记得小时候看宣萱就错气, 没想到那么多十年过去,水冰月伊兰依旧错气到西            
(3星)	 宣萱老了呢~最深印象就是那小红嘴唇，跟鸡屁股似的~            
(3星)	 看完了 结局很不喜欢。。。            
(3星)	 斗得不够狠，减一星。不愧被港媒封为“史上最丑港姐”，真的很丑。            
(NA)	 直接从后半段开始看的人哈哈哈            
(3星)	 111208 下午 公司 youku-111225 14:07home            
(2星)	 &lt;27 完结&gt;喜欢变好后的皇后凉凉和变坏前的全皇贵妃凉凉。结局真是烂透了！！！            
(3星)	 最没气势的太后和皇上啊            
(3星)	 名侦探伊兰。嘿嘿。            
(2星)	 又名: 名侦探伊兰，哈哈哈哈，别介样儿好吗！胡杏儿真心丑啊，TVB最近是香肠嘴控吗？还有一个徐子珊到处都能看到~( ＞﹏＜)太狗血太没逻辑了这剧情，TVB你真的无法超越自己            
(NA)	 。。原来评价那么差。。。。            
(3星)	 三星。断断续续看完的。萱萱真的老了，变身贵妃之后的妆容，实在是难以接受。萱萱面相很硬，适合那种短发俏丽活泼的形象。看她的第一部戏是天降奇缘，一晃也过去十几年了吧，萱萱真的老了，我也跟着一起长大了。            
(4星)	 看完結局多多少少有點沉重.靜瑜跟恭親王奕(就是靜瑜的孩子)都被編劇燒死了,結局草率得令人髮指,但是卻不經意間戳破了愛情的那層紙.當然,故事的主人公換做葉赫那拉氏的話會更加引人入勝.            
(3星)	 开头觉得没劲 中间还有点儿看头 结尾太仓促了            
(NA)	 劇情還是略顯tvb套路，特別是末尾，還有那句“人在做，天在看”~哈哈~胡杏兒一直都不喜歡啊，ps整個劇是有多麼的大濃妝啊~不過還是不錯看的~            
(4星)	 渐入佳境            
(2星)	 太缺了！            
(3星)	 自古多情空余恨，此处难觅有情天。 情到尽时转无情，无情更比多情累。            
(4星)	 额~~最后那幕真是浮云~~            
(NA)	 哈哈，名侦探伊兰！            
(NA)	 翻盘太多，情理不通。场景小气，不似皇宫。台庆弱了            
(2星)	 感觉成本非常的小，每次来个造反大概就10个人在死而复生的打斗。            
(2星)	 烂透了...            
(5星)	 追到今天终于看完了，从第一集就开始深深入迷，宫廷剧我看得少，这部会永远存留我心，权力的斗争会导致人迷失，而后宫里唯有心狠手辣才能自保。            
(3星)	 留了两集今晚看大结局！            
(2星)	 TVB已经牛逼到篡改历史了            
(3星)	 拳皇登后的辣几套衣服真的不是寿衣咩！！！名侦探依兰笑死了~~~            
(3星)	 哎呀我娘亲。。。你们变化太快。。。我受不了。。。            
(4星)	 我竟然只想说。我赞同何童            
(2星)	 真的很垃圾，剧情莫名其妙。难道你们不觉得里面的勾心斗角很幼稚吗？他们完全都可以什么都不做……人物刻画也非常失败……            
(3星)	 无语的一部            
(3星)	 结局 那么悲惨            
(NA)	 宣萱真的老了。。。。            
(NA)	 TVB多打发时间啊~我到底是多空虚啊~            
(NA)	 儿童宫斗剧            
(4星)	 值得耐心一看的TVB古装剧！胡杏儿实在太美了~~~~            
(3星)	 kill time             
(1星)	 7集……哪尼？道光皇帝？雷崩……            
(3星)	 看到11。。。弃（皇帝有介么弱气的么！……皇后他爹我说怎么看着介么眼熟是金轮法王啊我去！！            
(1星)	 从编剧到道具再到演员，烂的跟坨屎            
(4星)	 因为是TVB的，所以还是觉得比大陆那些炒得很火的片子好看，看戏确实也要看演员！            
(2星)	 服装不错，妆容和发饰真的不敢恭维，又俗又艳！而且我一直觉得胡杏儿好丑好丑，欣赏无能啊！把观众当弱智耍，那皇帝也够窝囊的，小学生也编不出这么烂的剧本啊，一朵奇葩！            
(2星)	 男主不帅，萱萱老了，胡杏儿演技太差。主要是情节太烂了，坚持不下去！有没有发现萱萱的衣服特别旧，肯定是好多部戏里都被穿过的！            
(3星)	 看着看着就睡了。            
(3星)	 其实吧 我看完了这个  开始是在优酷看 后来去深圳  看的是翡翠台还是什么台播的粤语字幕版 还是粤语的有赶脚·····在回来看配音版····绝对是配音的问题  好怪啊·····            
(3星)	 3集弃            
(3星)	 看到最后竟发现喜欢沅苑多一点，看似无情却有情。依兰虽然赢了却遗世孤独，也许就是高处不胜寒。胡定欣演坏女人的水平和郭羡妮有的一拼。最后对这部剧的化妆师真是不想说什么了。。            
(NA)	 第四集，弃剧            
(2星)	 不得不说 看起来很廉价 但是又不得不说 我居然看完了 我是有多无聊 最近几年tvb的剧集水准是直线下降 皇帝很二逼 原本嚣张恶毒的皇后最后为情自杀 即将圣母 原本最具圣母气质的萱萱 360度大转变 可能连她阿玛都不认识了吧            
(1星)	 草泥马！当观众傻逼！！            
(NA)	 好恐怖的女人            
(NA)	 实在想不懂为什么让陈锦鸿演男主角，要长相没长相，最重要的是演戏好假，永远都是差不多的表情。。。            
(3星)	 其实后面几集还蛮掉胃口的，三星半，喜欢胡杏儿            
(3星)	 又见宫斗剧，过程是复杂且惊心动魄的，但是结果一定是美好的，斗吧斗吧，话说看到第四集真的就看不下去了，还好没喜欢的演员，果断弃！！            
(4星)	 这个剧的美工服饰化妆是最接近清朝人审美观的-红绿蓝黄。故事还算紧凑，剪辑认真，每一个伏笔都算用了心思。萱萱老了，但是气质依旧。刘家辉程锦宏还在。            
(4星)	 记得当年的流金岁月，萱萱绝对第一女主角，杨怡打酱油，胡杏儿连打酱油的都算不上，现在已经是当家花旦，独当一面了，长江后浪推前浪啊~~~            
(NA)	 在看。不晓得有没有不同于之前的后宫之争。            
(3星)	 看到胡杏儿这个造型，我还能说什么好呢，TVB真是越来越没有人了 =，=            
(NA)	 全片无高潮。。            
(3星)	 当胡杏儿被贬为慎妃之后，开始有亲和力了，剧情也逐渐让人喜欢了，结尾太仓促混乱，从萱萱替皇上铲除反臣余孽至登上皇后宝座，草草收场。            
(2星)	 片子开头整一大段旁白营造历史感做得真失败。浓妆艳抹血盆大口，弃。            
(NA)	 陈锦鸿一天不去拍巴不得爸爸2我就再也不看他参演的剧了……还是等金枝2吧！！            
(4星)	 好！            
(3星)	 虐心            
(2星)	 不吐槽编剧的常识了，能写成这样真心佩服，大浓妆，烂道具小场面什么的也算了，流水作业就这样吧……重点是我居然能够全看完了            
(2星)	 陪看            
(3星)	 不怎么样            
(3星)	 睡前打发时间的。有点无聊啊。。。~~~ 主要是人都演得怪怪的            
(3星)	 胡杏儿的各种红唇。。            
(2星)	 噗。。。慈禧都来了            
(3星)	 胡杏儿很讨喜！整剧一般。            
(NA)	 其实看这玩意儿不适合学粤语，看完了学的都是平身免礼姐姐妹妹皇上皇后皇太后            
(3星)	 演员看得我憋闷            
(4星)	 万凤之王，注定孤独。女人一辈子只有两条路可以选。你愿意做永远的新欢还是寂寞一世的旧爱？那马错比，我一个都不想做。            
(3星)	 宣萱出彩，剧情一无是处，打发时间            
(3星)	 看似无情却有情            
(1星)	 编剧智商破下限            
(NA)	 宣萱始终还是不能温柔到底。            
(NA)	 名侦探伊兰            
(3星)	 依兰瞪着大眼睛说..我相信真相只有一个！那时候就喷了..名侦探依兰啊..            
(3星)	 典型后宫暗斗戏~非典型大浓妆比拼            
(2星)	 男主角都好丑 女主角老了 那个胡杏儿真的有范了。。。            
(3星)	 其实整部剧就是在讲慈禧是怎样练成的T.T ~宁可我负天下人，莫让天下人负我。            
(3星)	 看了开头感觉很狗血，就没看下去            
(3星)	 唉。。。和金枝欲孽啊宫心计啊都差远了。。。。胡杏儿古装造型还可以，萱萱的实在有点。。。。不过很适合硬气的伊兰。每个男人都是一个君王，在他自己的国度里，出现的女人不过都是一介妃子，即使成为了皇后也有被废。不如当上皇后并尽量保持讨好顺其心意方可一路向北。            
(2星)	 两星全给胡杏儿的那个角色。            
(NA)	 为什么陈锦鸿的每个角色都那么让人吐槽无力            
(2星)	 没有美女的清宫戏真是没法看啊！            
(3星)	 不愧为《名侦探依兰传》            
(2星)	 某投资方大赞这个剧本，还说内行人一看就知道这剧本写的好。我真想啊呸呸呸死你们啊！            
(3星)	 觉得还成。。分怎么那么低            
(3星)	 真尴尬            
(3星)	 各种叔嫂乱啊            
(4星)	 道光皇帝的那段屈辱历史，意淫得不错还算。关于权利的争夺是YVB永不过时的题目。（PS:从这部剧的台词里，嗅了到一股新闻稿的感觉~）            
(3星)	 一般            
(2星)	 不知道是不是看得多國內的穿越古裝劇,再看看香港的古裝劇,感覺港劇的化妝極其濃妝豔抹,超越了觀眾在大陸劇中培養的美感,而且能明顯感覺得出港劇中新進演員的渣演技在說對白時顯露無遺,很多人物面容對比起內地的顯得異常扭曲...            
(2星)	 全妃她是万能的是不死的。皇帝他是牛逼的是一会儿爱一会儿不爱的。皇太后是变态的。皇后呢？？皇后必然是精分教的。。            
(3星)	 看了之后觉得胡杏儿的视后得的还蛮有道理的。            
(NA)	 【2011-10-31】            
(3星)	 其实我就是为了听粤语而看的～男女主角都不是我的菜～            
(3星)	 没什么好看的。。。            
(4星)	 结局那么幻灭！！！            
(3星)	 彩蓝真是太有手段了，伊兰后面变得好恐怖。。果然权势会让人发疯            
(4星)	 结尾不算满意啊~ 倒是可以继续拍第二部，很想看看做了皇后之后的萱萱的手段啊！  不过萱萱老了好多，浓妆一脸怨妇样子！            
(1星)	None
(4星)	 可以看看，但是宣萱换个人演就更好了啊！            
(3星)	 那个妆。。。。            
(2星)	 其实我是很无聊很无聊才去看的~            
(3星)	 哈哈            
(NA)	 很惹人厌烦的片子，断断续续的看完了，无能的皇帝+那么几个争来斗去却不美艳的后宫妃嫔╮(╯▽╰)╭            
(NA)	 皇上要不要这么弱受啊，临死被大臣骂是昏君下半辈子只能靠自己老婆就开始对老婆各种冷暴力。。。没用的男人！！伊兰又木有错。。。唉好吧，我干嘛要为个烂片忿忿啊。。。            
(2星)	 无语。名侦探依兰。            
(3星)	 金枝欲孽果然是不能超越的。狗血剧。两星半。我爱流金岁月之前的宣萱，又或许是那时的TVB？            
(NA)	 这剧比法证好看多了啊~            
(2星)	 狗血电视剧            
(2星)	 千万不要化大浓妆啊。整个后宫的女人简直太不可思议了。            
(3星)	 在我妈身边驻足的时候围观一阵            
(3星)	 宫斗果然没什么爱。。。。 = =            
(2星)	 花了考前宝贵的三个晚上看完了...什么恩怨情仇的就只觉得里边最有情有义的就是一老太监和一小太监. 一个无私匿藏自己喜欢的姑娘30年一边还各种觉得对不起主子. 一个滴血给皇帝供水...什么太监没法用下体思考所以阴险, 明明就是没有下体干扰变得有血有肉...还有最后那个是什么莫名其妙的open ending唉..            
(1星)	 这里人怎么都这么善变得无天理呀~~全剧唯一讨喜的就是陈山聪~唉……可惜这丫嗓音太纠结，如若不是配音，功力会减弱不少。            
(4星)	 香港史诗电视剧永远颜色鲜艳，浓妆艳抹！色调太重了！            
(3星)	 剧情似曾相识，斗来斗去，最后全死了！哎！            
(3星)	 太一般了，剧情太弱了！            
(3星)	 看到微博里有人说 这部片应该叫 名侦探依兰  太贴切了            
(2星)	 五集弃。丑样的男人女人们，桑不起啊。            
(3星)	 胡杏儿凭此剧得视后，其实！#……（）&amp;￥            
(3星)	 名侦探伊兰！！！哈哈哈哈            
(4星)	 还不错，就是最后结尾肿么那个样子。。。还有，美术有点太艳丽夺目，过了。tvb的演员一波接一波的演，但是每次看这个的时候都被身边的女同事说我“骨子里很复古”，姐真心无奈啊。。看个古装片就复古啊？亲，我是穿越来的乃不知道吗？。。囧            
(5星)	 宣萱后期很霸气的说，喜欢这样的女人，虽然有些不折手段。皇帝太昏庸了，哎~            
(3星)	 这结尾傻爆了。反正宫斗到最后就是各种面目全非阿。            
(4星)	 琼楼玉宇万凰栖，只恨半点不由人！            
(3星)	 如果，忽略简朴的服装、寒酸的场景、部分弱智的勾心对角以及胡杏儿浮躁外在的表演，整体来说，这个剧，还是不错的。            
(2星)	 垃圾。            
(3星)	 只觉得陈锦鸿演的假假的很尴尬, 宣萱仿佛瞬间老了十几岁...几个老配角倒是觉得还是很到位. 剧情转折有些剧烈, 胡杏儿的角色让我想到了金枝欲孽里的尔淳, 就喜欢起来了.             
(3星)	 还是金枝最经典，觉得陈山聪还是挺帅的，下一步怒火街头            
(1星)	 有斗么？？？？            
(3星)	 TVB你一模一样的故事到底要讲多少遍。然后，我也一集不落跳跳进进的看完了。            
(NA)	 宣萱，你的大睫毛和红贼纯子，让朕好忐忑哦。            
(3星)	 哎  有点失望            
(3星)	 终于磨蹭完了 宣萱那个是慈禧么            
(3星)	 宫斗剧自从金枝欲孽之后就不精彩了，果然还是最先做的好的最赢            
(2星)	 实在看不下去。。。。。。。。。            
(NA)	 很好笑。看了大結局，那四隻怪物印象很深刻，尤其是那隻蟾蜍，很肥很噁心。但這戲開頭的3d效果很假很好笑。我享受在小豬家一齊傻傻地看大結局的過程，這個感覺很好，我很喜歡。            
(NA)	 又名也太扯了！            
(2星)	 锺雪心 伊兰才对吧 一旦被编剧看上就会成为超过人的存在            
(3星)	 结局比过程有看头，名侦探伊兰太搞笑了            
(2星)	 不喜欢这类型的后宫片。单纯的勾心斗角，无趣死了。            
(2星)	 烂尾啦！！            
(3星)	 纯粹赞宣萱的侦探头脑，噗~~            
(NA)	 又名: 名侦探伊兰 这个又名又的跟我不谋而合了 最后怎么又全他妈死了。。。            
(1星)	 再次被脑残的编剧打败，最近看的这一切，我真心已经无力吐槽了。。。宣萱你是闹哪样啊，名侦探伊兰亲！！！！我这么能忍的都因为不想看见你的名侦探小红嘴连大结局都不想看了！！！！            
(4星)	 因为胡杏儿才看的，真的是演技不错。            
(NA)	 还好不是圣母路线            
(NA)	 吐槽點再多也無法澆熄俺對TVB古裝的愛..（¯﹃¯）            
(3星)	 我竟然从头到尾追完了            
(4星)	None
(3星)	 又名: 名侦探伊兰 看到豆瓣上的片名介绍我已经笑喷了             
(3星)	 现今TVB剧最兴虎头蛇尾又或是虎头都没有。前面数十集平平而大结局都要以一小时再现其最擅长的峰回路转式狗血。无论如何胡杏也凭沅宛夺视后这就够。万凰之所以远不及金枝以后亦无可能成经典因它压不住，欠成熟深沉。主题曲是林日曦邓智伟关菊英的组合，却也未见有当年讲不出声的精彩。            
(2星)	 渣。。。            
(2星)	 豆友译名：《名侦探依兰》            
(3星)	 看到最后突然觉得宣萱其实演技很好，剧本从头到尾在行为上钮钴禄伊兰都没什么错，可她就能把那种令人厌恶的“看似有情最无情”的感觉演出来，我承认理智上觉得她是没错，但是就是散发出一种假仁假义，内里阴毒的气息，令人讨厌。。。我认为她有点聪明过头了，不要说在男权社会的古代，就是在现代面对这            
(3星)	 元谋人大败滇金丝猴            
(3星)	 三观崩坏剧=_=            
(1星)	 我极少极少给TVB一颗星，但这次我真的HOLD不住了，狗血剧情，狗血演员，狗血狗血狗血！            
(3星)	 为了萱萱才看的 实在不咋地啊。。。萱萱你不适合演清宫戏好吗。。。            
(3星)	 我终于明白为什么他们爱看宫剧了,因为就是现实            
(2星)	 这么差得电视剧我居然被我追完了            
(2星)	 烂尾            
(3星)	 坏人变好 好人变坏 矛盾双方在一定条件下相互转化            
(4星)	None
(2星)	 挺无聊的，和金枝欲孽没得比、里面女人的妆化太浓了，看着难受、            
(3星)	 TVB省钱省疯了吧。            
(3星)	 不得不说在中后端确实精彩起来。。但是哇。。个结局实在是令人很不舒服。。又名名侦探依兰是个什么情况？！！            
(3星)	 编剧想要传达的是：一人即使做了再多错失只要改邪归正都是可以原谅的，而一个人即使是被逼无奈走错路的必须万劫不复。一个女人即使在竞争中再失败只要和爱的男人死在一起就是成功的，一个女人即使功成名就只要男人不爱就是失败的。我只想说，去你麻痹的。给三星完全是给宣萱的演技分。            
(3星)	 很狗血的追完了。这剧最神奇的是一开始的奸角到后面都变圣母了，一开始的圣母到后面变成奸角了。皇帝真心废啊。            
(5星)	 人心险恶            
(2星)	 名侦探伊兰从小白兔蜕变为大灰狼之路。            
(NA)	 噗            
(3星)	 名侦探依兰            
(1星)	 化妆到剧情到选人无一可赞~            
(2星)	 剧情离谱 披着后宫戏的外衣玩柯南 不过那戏服头饰倒是精致得很            
(3星)	 应该叫《名侦探--宜兰》+ 《大长今-宜兰》            
(2星)	 名侦探依兰 噗            
(4星)	 开头不出彩的剧唯一的优点：绝对不会烂尾。。膜拜霸气侧漏的名侦探依兰姐姐！            
(3星)	 有时就是这样，坏人做了百件坏事，最后想悔过，竟会得到原谅；好人做了百件好事，最后做了一件坏事，却会被说“你变了”。虽然最后觉得伊兰很可怜，但她毕竟还是不聪明，张弛有度 在合适的时间做合适的事情才是王道。            
(3星)	 傻缺皇帝桑不起昂桑不起，依兰姐姐要是V5多些搞死那个BLX圣父皇帝，携大阿哥直接垂帘听政多好，后来也就木慈禧神马事鸟            
(NA)	 好讨厌宣萱的嘴脸-_-...            
(4星)	 就是妆太浓了            
(3星)	 爽雷大概就是这个样儿的吧……卧槽，为什么这个名字还有“名侦探依兰&#34;，尼玛hold不住了哟……            
(4星)	 这位导演对每个人物的拿捏都挺细腻 剧情张弛有度 主角、配角都把角色演绎得很深刻 结局的安排应该是打算拍续集 无奈赶不上好时代 这部比《法证3》要好~            
(NA)	 不是沒有好看的地方...不過整體不喜歡...            
(2星)	 希望杏兒可以同山聰係埋一起 希望伊蘭變返從前嘅佢 同皇上好好咁係埋一齊            
(3星)	 結局好唏噓～依蘭變得好狠唉～            
(3星)	 三星都有点多            
(1星)	 看了豆瓣上那么多精彩的评论后，不知道该写啥了，就一个结果，果断弃！！！            
(NA)	 TVB就这水准了吗。皇帝没气场。            
(3星)	 勾心斗角永远能扯几分眼球。道光爷果然不负史上最具争议清帝之名。经典台词：點解!            
(4星)	 金枝欲孽之下，宫心计之上。我觉得还不错呀！            
(NA)	 萱萱真的太老了。            
(3星)	 不养眼            
(2星)	 格局小、气度小、卡司小，这样一部三小的宫斗剧有啥看头？            
(NA)	 看了一集就弃了。。。太难看了。。。            
(NA)	 基片。相爱相杀的基片。=3=             
(5星)	 怎么分数那么低？我天天追着看，剧情很扣人心弦，值得一看。            
(2星)	 实在看不下去了。宫斗剧果然金枝欲孽是经典            
(2星)	 太难看了！！太弱智了！！但还是每天都欢乐的追着。            
(2星)	 2011            
(2星)	 看这部片。。就觉得。。。。那个皇帝简直。。孬死了。            
(1星)	 编剧是不是看过宫杀啊，真是烂中自有烂中手            
(4星)	 一开始觉得是一堆丑女人在玩过家家，后来终于觉得有点儿帝王之气。然而我始终想不通的是，每一个心思无比缜密的人都不懂得隔墙有耳这个词的咩？！每次剧中人一说话，我就揪心啊揪心！不过，结局还不错，不是大团圆噢~！            
(NA)	 剧一出各种吐槽四起，吐槽史实就不说了，吐槽情节的算是戳中硬伤了。编剧很多处的确情理牵强。不知为什么大家都那么喜欢把太监宫女拉到宗人府（人家明明是管皇亲国戚的地方）。另外值得一提的是剧中仪式众多，不知是不是编剧考据过的。            
(3星)	 剧情狗血到一定境界。。皇帝笨到观众都为他着急。。            
(NA)	 TVB最难看的古装剧之一            
(2星)	 宫廷斗争戏里没什么新意，还是比不过当年的金枝欲孽，还好有宣萱算是镇得住场面，，，化妆像是给死人化的。。。            
